arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
junto	<font color=red>CHP:</font> chicapacha\n<font color=blue>AYM:</font> purapata\n<font color=orange>ENG:</font> together
media noche	<font color=red>CHP:</font> chicarama\n<font color=blue>AYM:</font> chikärama\n<font color=orange>ENG:</font> midnight
mitad	<font color=red>CHP:</font> chicata\n<font color=blue>AYM:</font> chikata\n<font color=orange>ENG:</font> half, middle
de igual medida	<font color=red>CHP:</font> chicatac̈ha\n<font color=blue>AYM:</font> chikatata, kijpatupunkama\n<font color=orange>ENG:</font> an equal measure
separar cría de la madre y ponerla en otro corral	<font color=red>CHP:</font> chicurz\n<font color=blue>AYM:</font> chikuruña\n<font color=orange>ENG:</font> to put young sheep in separate corral
antes de media noche	<font color=red>CHP:</font> chicz̈ tuqui\n<font color=blue>AYM:</font> chhipu chhipu, chhiptuqu\n<font color=orange>ENG:</font> before midnight
avisar	<font color=red>CHP:</font> chiichiiz\n<font color=blue>AYM:</font> parlaña\n<font color=orange>ENG:</font> to inform, to warn
hacer hablar	<font color=red>CHP:</font> chiikatz\n<font color=blue>AYM:</font> parlayaña\n<font color=orange>ENG:</font> to call upon to speak
hablar	<font color=red>CHP:</font> chiiz\n<font color=blue>AYM:</font> parlaña\n<font color=orange>ENG:</font> to speak, to talk
llover	<font color=red>CHP:</font> chijinz\n<font color=blue>AYM:</font> jalluntaña\n<font color=orange>ENG:</font> to rain
lluvia	<font color=red>CHP:</font> chijñi\n<font color=blue>AYM:</font> jallu\n<font color=orange>ENG:</font> rain
llevar	<font color=red>CHP:</font> chijtchz\n<font color=blue>AYM:</font> apaña\n<font color=orange>ENG:</font> to take, to carry
poner señal a animales	<font color=red>CHP:</font> chimpiz\n<font color=blue>AYM:</font> chimpuña\n<font color=orange>ENG:</font> to mark animals
señal de hilo (para marcar animales)	<font color=red>CHP:</font> chimpu\n<font color=blue>AYM:</font> chimpu\n<font color=orange>ENG:</font> string to mark animals
chinchilla	<font color=red>CHP:</font> chinchilla\n<font color=blue>AYM:</font> chinchilla\n<font color=orange>ENG:</font> chinchilla
ayudante	<font color=red>CHP:</font> chinta\n<font color=blue>AYM:</font> yanapt'iri\n<font color=orange>ENG:</font> helper, aid
murciélago	<font color=red>CHP:</font> chiña\n<font color=blue>AYM:</font> ch'iñi\n<font color=orange>ENG:</font> bat
ave de color café claro	<font color=red>CHP:</font> chipi chipi\n<font color=blue>AYM:</font> p'isqura\n<font color=orange>ENG:</font> a light brown bird
alegrarse	<font color=red>CHP:</font> chipz\n<font color=blue>AYM:</font> kusisaña\n<font color=orange>ENG:</font> to be happy
pita	<font color=red>CHP:</font> chiqui\n<font color=blue>AYM:</font> ch'iqa\n<font color=orange>ENG:</font> string
pepa de verduras picantes	<font color=red>CHP:</font> chira\n<font color=blue>AYM:</font> chira (pepa)\n<font color=orange>ENG:</font> seed of chili pepper
combinación de dos colores de llama (negro y blanco)	<font color=red>CHP:</font> chiru\n<font color=blue>AYM:</font> chiru\n<font color=orange>ENG:</font> combination of two colors on llama (black and white)
palo con plumas usado en baile antiguo	<font color=red>CHP:</font> chirwana\n<font color=blue>AYM:</font> lawar phuyunchata\n<font color=orange>ENG:</font> pole with feathers used in ancient dance
adivinador	<font color=red>CHP:</font> chirwanu\n<font color=blue>AYM:</font> yatiri\n<font color=orange>ENG:</font> diviner
cría de llama/de oveja	<font color=red>CHP:</font> chita\n<font color=blue>AYM:</font> qallu\n<font color=orange>ENG:</font> offspring of llama/sheep
criar (animales)	<font color=red>CHP:</font> chitz\n<font color=blue>AYM:</font> uywaña\n<font color=orange>ENG:</font> to raise (animals)
bandera blanca utilizada en fiestas	<font color=red>CHP:</font> chiwandira\n<font color=blue>AYM:</font> wantira, wiphala\n<font color=orange>ENG:</font> white flag used at fiestas
cabra, chivo	<font color=red>CHP:</font> chiwatu\n<font color=blue>AYM:</font> chiwu\n<font color=orange>ENG:</font> goat
blanco	<font color=red>CHP:</font> chiwi\n<font color=blue>AYM:</font> ch'iwi, janq'u\n<font color=orange>ENG:</font> white
amanecer	<font color=red>CHP:</font> chiwz̈quic̈ha\n<font color=blue>AYM:</font> qhanaña\n<font color=orange>ENG:</font> to dawn
comunicar mensaje de otro	<font color=red>CHP:</font> chiyanz\n<font color=blue>AYM:</font> yatiyaña\n<font color=orange>ENG:</font> to communicate message of another person
palabrear	<font color=red>CHP:</font> chiyaz\n<font color=blue>AYM:</font> parlakipaña, ch'axwaña\n<font color=orange>ENG:</font> to talk a lot in vain, to chatter
reprender, amonestar	<font color=red>CHP:</font> chizinz\n<font color=blue>AYM:</font> arusiña\n<font color=orange>ENG:</font> to reprimand, to admonish
amonestación, advertencia	<font color=red>CHP:</font> chiz̈inta\n<font color=blue>AYM:</font> artt'ata\n<font color=orange>ENG:</font> reprimand, warning
hilos de adorno en bordes de algunos tejidos	<font color=red>CHP:</font> chjajla\n<font color=blue>AYM:</font> phala\n<font color=orange>ENG:</font> decorative strings on edges of some weaves
llama lanuda	<font color=red>CHP:</font> chjajlka\n<font color=blue>AYM:</font> thapa t'ampulli\n<font color=orange>ENG:</font> llama with a lot of wool
pelar	<font color=red>CHP:</font> chjajpa\n<font color=blue>AYM:</font> sillp'iraña\n<font color=orange>ENG:</font> to peel
cáscara	<font color=red>CHP:</font> chjajpi\n<font color=blue>AYM:</font> sillp'i\n<font color=orange>ENG:</font> shell, peel, husk, rind
triquina, triquinosis	<font color=red>CHP:</font> chjajrachjajra\n<font color=blue>AYM:</font> tunq tunqu\n<font color=orange>ENG:</font> trichina, trichinosis
mariposa que vive en leñas	<font color=red>CHP:</font> chjajrchjajrñi\n<font color=blue>AYM:</font> t'iju t'iju\n<font color=orange>ENG:</font> butterfly that lives in firewood
piel resecada	<font color=red>CHP:</font> chjajri\n<font color=blue>AYM:</font> p'asp'a innaqa, ch'uñurata, t'aqarata\n<font color=orange>ENG:</font> dry skin
descolar, despegar	<font color=red>CHP:</font> chjajtz\n<font color=blue>AYM:</font> qhaqhaña\n<font color=orange>ENG:</font> to unglue, to detach
dar	<font color=red>CHP:</font> chjals\n<font color=blue>AYM:</font> churaña\n<font color=orange>ENG:</font> to give
colocar	<font color=red>CHP:</font> chjals\n<font color=blue>AYM:</font> uchaña\n<font color=orange>ENG:</font> to put, to place
pedir la mano	<font color=red>CHP:</font> chjalz\n<font color=blue>AYM:</font> mañaqaña\n<font color=orange>ENG:</font> to propose (marriage)
unir hilos	<font color=red>CHP:</font> chjalz\n<font color=blue>AYM:</font> paytaña\n<font color=orange>ENG:</font> to join/to twist threads
mal molido	<font color=red>CHP:</font> chjama\n<font color=blue>AYM:</font> chhama\n<font color=orange>ENG:</font> coarsely-milled
hoja grande de plantas	<font color=red>CHP:</font> chjañi = lapji\n<font color=blue>AYM:</font> jach'a laphi\n<font color=orange>ENG:</font> big leaf
botar	<font color=red>CHP:</font> chjatkatz\n<font color=blue>AYM:</font> jaqsuña\n<font color=orange>ENG:</font> to throw out
contestar descortesmente	<font color=red>CHP:</font> chjayz\n<font color=blue>AYM:</font> jinq'aña\n<font color=orange>ENG:</font> to talk back, to respond rudely
enfriado	<font color=red>CHP:</font> chjejchi\n<font color=blue>AYM:</font> thayantata\n<font color=orange>ENG:</font> to be cold
bolsa de coca	<font color=red>CHP:</font> chjejjkje\n<font color=blue>AYM:</font> wistalla, walqipu\n<font color=orange>ENG:</font> coca bag
enfriar	<font color=red>CHP:</font> chjejz\n<font color=blue>AYM:</font> thayaña\n<font color=orange>ENG:</font> to cool off
hartarse de comida	<font color=red>CHP:</font> chjekz\n<font color=blue>AYM:</font> sist'asiña\n<font color=orange>ENG:</font> to be stuffed, satisfied (food)
detener, agarrar	<font color=red>CHP:</font> chjelinz\n<font color=blue>AYM:</font> katuña\n<font color=orange>ENG:</font> to hold back, to retain
producir mucho	<font color=red>CHP:</font> chjelinz\n<font color=blue>AYM:</font> puquña\n<font color=orange>ENG:</font> to produce abundantly
tres	<font color=red>CHP:</font> chjep\n<font color=blue>AYM:</font> (chip) kimsa\n<font color=orange>ENG:</font> three
llenado	<font color=red>CHP:</font> chjijpchic̈ha\n<font color=blue>AYM:</font> phuqhantata\n<font color=orange>ENG:</font> filled
lleno	<font color=red>CHP:</font> chjijpi = chjipji\n<font color=blue>AYM:</font> phuqha\n<font color=orange>ENG:</font> full
llenar	<font color=red>CHP:</font> chjijps\n<font color=blue>AYM:</font> phuqhaña\n<font color=orange>ENG:</font> to fill
llenado de por sí	<font color=red>CHP:</font> chjijpsic̈ha\n<font color=blue>AYM:</font> phuqhantasi\n<font color=orange>ENG:</font> filled by itself
cortarse la piel con cuerda	<font color=red>CHP:</font> chjijrs\n<font color=blue>AYM:</font> jat'irasiña\n<font color=orange>ENG:</font> to cut own skin with rope or thread
avecilla acuática de color plomo con patas finas	<font color=red>CHP:</font> chjijru\n<font color=blue>AYM:</font> ch'akatiya\n<font color=orange>ENG:</font> small grayish waterbird with thin feet
desgranar cereal húmedo	<font color=red>CHP:</font> chjijrz\n<font color=blue>AYM:</font> muchhuraña\n<font color=orange>ENG:</font> to thresh humid cereal
sacar grasa de la tripa	<font color=red>CHP:</font> chjijrz\n<font color=blue>AYM:</font> lluchhuraña\n<font color=orange>ENG:</font> to remove grease from intestines
sembrar, colocar las semillas	<font color=red>CHP:</font> chjijs\n<font color=blue>AYM:</font> sataña, yapuchaña\n<font color=orange>ENG:</font> to sow, to plant one by one
ano	<font color=red>CHP:</font> chjijtz\n<font color=blue>AYM:</font> ch'ina\n<font color=orange>ENG:</font> anus
bajar algún objeto	<font color=red>CHP:</font> chjijunz\n<font color=blue>AYM:</font> ituqaña\n<font color=orange>ENG:</font> to take/to bring down
bajar	<font color=red>CHP:</font> chjijwz\n<font color=blue>AYM:</font> apaqaña, ayaqaña, isuqaña, saraqaña, iraqaña\n<font color=orange>ENG:</font> to descend, to take down
bajar, descender	<font color=red>CHP:</font> chjijwz̈quiz\n<font color=blue>AYM:</font> saraqaña\n<font color=orange>ENG:</font> to go down, to descend
tender, extender	<font color=red>CHP:</font> chjinz\n<font color=blue>AYM:</font> jant'ukuña\n<font color=orange>ENG:</font> to spread out, to hang out
cuero tendido	<font color=red>CHP:</font> chjinzkizi\n<font color=blue>AYM:</font> jant'uku\n<font color=orange>ENG:</font> spread out leather
lleno	<font color=red>CHP:</font> chjipji = chjijpi\n<font color=blue>AYM:</font> phuqha\n<font color=orange>ENG:</font> full
chistoso, chiste, broma	<font color=red>CHP:</font> chjira\n<font color=blue>AYM:</font> k'usk'u, sawka, k'uskxayaña\n<font color=orange>ENG:</font> funny, joke
llevar	<font color=red>CHP:</font> chjitz\n<font color=blue>AYM:</font> apaña\n<font color=orange>ENG:</font> to carry
vientre	<font color=red>CHP:</font> chjiwi\n<font color=blue>AYM:</font> puraka\n<font color=orange>ENG:</font> belly
bajar el precio	<font color=red>CHP:</font> chjiwkatz\n<font color=blue>AYM:</font> riwajaña\n<font color=orange>ENG:</font> to lower the price
medida del pulgar al dedo mayor	<font color=red>CHP:</font> chjiya\n<font color=blue>AYM:</font> chhiya\n<font color=orange>ENG:</font> measurement from thumb to middle finger
imitar	<font color=red>CHP:</font> chjiz\n<font color=blue>AYM:</font> yatjasiña\n<font color=orange>ENG:</font> to imitate
carne	<font color=red>CHP:</font> chjizwa\n<font color=blue>AYM:</font> aycha\n<font color=orange>ENG:</font> meat
rectangular, oval, ovalado	<font color=red>CHP:</font> chjojkjo\n<font color=blue>AYM:</font> chhuqhu\n<font color=orange>ENG:</font> rectangular, oval
soltarse, desatarse	<font color=red>CHP:</font> chjojks\n<font color=blue>AYM:</font> llukst'aña\n<font color=orange>ENG:</font> to come untied, to break loose
desvestirse	<font color=red>CHP:</font> chjojkz\n<font color=blue>AYM:</font> ansusiña, q'alsusiña\n<font color=orange>ENG:</font> to undress
mazorca	<font color=red>CHP:</font> chjojllu\n<font color=blue>AYM:</font> chhuxllu\n<font color=orange>ENG:</font> cob (of corn)
herido, dolorido	<font color=red>CHP:</font> chjojri\n<font color=blue>AYM:</font> chhuxrintata\n<font color=orange>ENG:</font> wounded, sore
herirse	<font color=red>CHP:</font> chjojritz\n<font color=blue>AYM:</font> chhuxrintasiña\n<font color=orange>ENG:</font> to wound oneself
ocultar	<font color=red>CHP:</font> chjojs\n<font color=blue>AYM:</font> imantaña\n<font color=orange>ENG:</font> to hide
guardar para otro	<font color=red>CHP:</font> chjojwanz\n<font color=blue>AYM:</font> yaqhataki imaña\n<font color=orange>ENG:</font> to save, to watch for another
guardar	<font color=red>CHP:</font> chjojz\n<font color=blue>AYM:</font> imaña\n<font color=orange>ENG:</font> to take care of
oculto	<font color=red>CHP:</font> chjojzaca\n<font color=blue>AYM:</font> imantata\n<font color=orange>ENG:</font> hidden, secret
heder	<font color=red>CHP:</font> chjonanz\n<font color=blue>AYM:</font> jiq'iña, thuskhaña\n<font color=orange>ENG:</font> to stink
negrearse con humo	<font color=red>CHP:</font> chjooz\n<font color=blue>AYM:</font> ch'arantasiña\n<font color=orange>ENG:</font> to become black from smoke
hollín	<font color=red>CHP:</font> chjowa\n<font color=blue>AYM:</font> qhisimi\n<font color=orange>ENG:</font> soot, ash
buscar a tientas	<font color=red>CHP:</font> chjujlz\n<font color=blue>AYM:</font> jan injasis thaqhaña\n<font color=orange>ENG:</font> to grope
choza	<font color=red>CHP:</font> chjujlla\n<font color=blue>AYM:</font> jant'a uta\n<font color=orange>ENG:</font> hut, shack, cabin
granos menudos	<font color=red>CHP:</font> chjujtu\n<font color=blue>AYM:</font> chhujtu\n<font color=orange>ENG:</font> small grains
granos grandes y pequeños mezclados	<font color=red>CHP:</font> chjujturara\n<font color=blue>AYM:</font> chhaxru\n<font color=orange>ENG:</font> small and big grains mixed
derretir	<font color=red>CHP:</font> chjujtz\n<font color=blue>AYM:</font> umatatayaña\n<font color=orange>ENG:</font> to melt
besar	<font color=red>CHP:</font> chjulz\n<font color=blue>AYM:</font> jamp'att'aña\n<font color=orange>ENG:</font> to kiss
hace tres días	<font color=red>CHP:</font> chjunamaj\n<font color=blue>AYM:</font> kimsüruta, waruru\n<font color=orange>ENG:</font> three days ago
lanudo, velludo, barbón	<font color=red>CHP:</font> chjuncja\n<font color=blue>AYM:</font> chhunkha, t'arwarara\n<font color=orange>ENG:</font> woolly, hairy
generoso	<font color=red>CHP:</font> chjuñi\n<font color=blue>AYM:</font> q'apa\n<font color=orange>ENG:</font> generous
cambiar de dirección	<font color=red>CHP:</font> chjuuz̈quiz\n<font color=blue>AYM:</font> mayst'aña\n<font color=orange>ENG:</font> to change direction
llamar a la reunión	<font color=red>CHP:</font> chjuwanz\n<font color=blue>AYM:</font> anthapiña, jawstapiña, tuwaña\n<font color=orange>ENG:</font> to gather (for a reunion)
evitar que animales se acerquen a la chacra	<font color=red>CHP:</font> chjuwanz\n<font color=blue>AYM:</font> jark'aña\n<font color=orange>ENG:</font> to keep animals away from field, to shoo
Paco chulo (avecita de água)	<font color=red>CHP:</font> chocalina\n<font color=blue>AYM:</font> paqu chulu\n<font color=orange>ENG:</font> Puna Plover (small water bird)
tallo de tola para techo	<font color=red>CHP:</font> chojjza\n<font color=blue>AYM:</font> saxilla\n<font color=orange>ENG:</font> pole of tola for roof
duro	<font color=red>CHP:</font> chojru\n<font color=blue>AYM:</font> chuxru\n<font color=orange>ENG:</font> hard
círculo de tola del techo	<font color=red>CHP:</font> chojzi cjata\n<font color=blue>AYM:</font> mujuna\n<font color=orange>ENG:</font> bottom circle of tola that binds arches together
pequeños arcos de tola al norte y sur del techo	<font color=red>CHP:</font> chojzi kjara = anjil kjara\n<font color=blue>AYM:</font> chirimuya\n<font color=orange>ENG:</font> small arches of tola on the N. and S. sides of roof
arcos de tola del techo	<font color=red>CHP:</font> chojzi z̈oñi\n<font color=blue>AYM:</font> uta mujina\n<font color=orange>ENG:</font> arches for roof
límite de terrenos	<font color=red>CHP:</font> choko\n<font color=blue>AYM:</font> linti\n<font color=orange>ENG:</font> boundary marker
lana	<font color=red>CHP:</font> choma\n<font color=blue>AYM:</font> jawi, t'arwa\n<font color=orange>ENG:</font> wool
lloviznoso	<font color=red>CHP:</font> chomara\n<font color=blue>AYM:</font> jalluch'illchi\n<font color=orange>ENG:</font> drizzly, misty
mal trenzado, suelto	<font color=red>CHP:</font> chomara\n<font color=blue>AYM:</font> llawchhi\n<font color=orange>ENG:</font> poorly braided, loose
