a'ạjtaba'	Mata caballo.
p̂uya'yaij, p̂uya'yai'	Dolor del estómago, agrio, fermentado.
quebaqui	Cortar uñas, cabello.
que'baqui	Sacar fotografías.
quebosje'	Doblar algún objeto como ser olla, lata, etc.
quebostaqui	Perona que dobla algún objeto suyo.
queburje	Amellar filo del cuchillo, machete, pala, etc.
quec̣haqui	Apretar alguna cosa u objeto de uno mismo.
quec̣he'je'	Apretar con fuerza.
quec̣he'naqui	Amasar.
quec̣he'taqui	Apretar.
quejtyefe	Pierna junto a la cadera.
quenej	Cadera.
quepje'	Apretar algún objeto o cosa.
quepsis	Jatata con dos varillas.
queptacdye'	Fotografía.
queptaqui	Sacar fotografía, poner mango a cuchillo.
queptaquis	Máquina fotográfica.
quéquev'	Clase de ave, cacaré.
quepyis	Trampa.
quejraqui	Afeitar, raspar, limpiar.
queraquis	Afeitadora, raspadora, limpiadora.
querec̣ha	Dinero, plata.
querec̣ha cam' mạ'jete	Codicia, avidez.
querec̣haij, querec̣hayeja'	Ganar dinero.
querechyi	Morder, rechinar (dientes).
querechyejoi'	Ataque de mal viento.
quererejjeyaqui	Raspar.
queshyi	Gritar, chillar: jochi colorado.
quete'	Flor: de caña, arroz.
quetsaqui	Moler caña.
quev'je'	Acomodar el feto en la matriz.
quevjan'	Buscar.
quevaqui	Buscar.
quevja	Busquemos.
que'vaqui	Acomodar feto en la matriz para facilitar el parto.
quiban'yi	Cerrar los ojos.
quiba'saqui	Enojado, aburrido, vivir enojado.
quị́bi	Verruga o quirichí.
quic	Sembrar.
quicsi'	Sembrado.
quictyi'	Ropa usada.
quịch	Directo.
quichĉan	Directamente arriba, abajo.
quịchĉan tsun	Mediodía.
quịchĉanjoi'	Saludo al medio día.
quịchen'je'	Poner en dirección.
quịchij	Seguir, continuar.
quichje'	Arrectar, endereza.
quịchi'vaqui	Cazar al acecho, esp.
quị'	Sembrar.
quijadye'	Mezquindad, tacañería.
quijaij	Mezquinar, negar.
quijatuqui	Mezquinar algo.
quijbo	Peta del monte de color amarillo.
quijnacdye'	Miedo.
quijnaqui, quijñe'	Temer, tener miedo.
quịjodye'	Chaco.
quịjoij, quịjoja'	Chaquear.
qui'joij	Apagarse.
quimiri	Tigre pequeño.
quin'jeyaqui, quin'jete	Gatillear.
quị́qui, quị́ja', cäti	Sembrar.
quị́qui', cäti	Vestirse.
cätiĉa'	Vestirnos.
quiquijnaquity	Cobarde, miedoso.
quiquijnatu'	Avispa (peto) amarilla y negra, vive debajo de la tierra.
quirca	Papel, libro.
quíro	Kilo.
quiruru'	Ambaibo, corteza usada para hacer soga.
quis	Suegra.
quisbánaqui	Infeliz, aburrido, triste.
quisbuij, quisbuty, quisbujyi	Cara fruncida, arrugada, fruncir de enojo.
quị'si'	Ropa, tela, trapo.
quishje'	Quebrar, romper cosas dura.
qui'shaqui	Quebrar huevo (sale el hijo), quebrar cosa vidriosa.
quishac tŝọij	Quebrar a pedazos.
quitivarej, quiti'	Taitetú.
quítsa'	Peni.
quiv'je'	Persona que apaga fuego, lámpara, maquina.
quiv'joi' qui'joi'	Apagar de por si misma.
quiyo'yi', quiyo' quiyo'yi	Llanto de anta.
quiyu'yi	Silbado a la anta.
q̂ue'beij, q̂ue'bei'	Barranco o zanja.
q̂ueben'jeyaqui, q̂uebe'ñe'	Trenzar.
q̂ue'bes, q̂ue'bety	Bajura, un lugar más bajo que el otro.
q̂uefje'	Colocar debajo o entre medio de otras cosas.
q̂uei'je'	Raspar.
q̂uei'taquis	Cuchilla de tractor, o sepillo para madera.
q̂uem'je'	Desportillar, sacar un pedazo.
q̂uememejje'	Partir algún objeto por varias partes.
q̂uemi'miij	Cacharro, gastado.
q̂uemi'mi'si'	Migas, migajas, sobras.
q̂uemi'vaqui	Quebrar en pedazos.
q̂uen'je'	Sacar, cortarle la pierna de animal, quebrar pierna.
q̂uen'ĉan	Ocho.
q̂ueñi'ñiij, -ñii'	Quebrar, desgajar.
q̂uepje'	Colgar marico cruzado sobre hombro.
q̂uesh	Descompuesto.
q̂ueshyi	Caer de arriba.
q̂uev'joij	Desviarse, ir por otro camino.
q̂uev'yi	Desviarse.
q̂uev' cại'	Ir por otro camino o desviarse con alguien.
q̂ueyaqui	Raspar.
q̂ueye'daqui, q̂ueye'dyete	Raspar flecha u otra cosa, desgranar choclo.
q̂uishin'	Hinchazón, seca.
q̂uishin'yi	Tener seca hinchazón.
q̂uibaqui	Tejer jatata.
q̂uichjeyaqui	Llenar, completar de carga.
q̂ui'chij, q̂ui'chii'	Muchos, en cantidad.
q̂uim	Izquierda.
q̂uimon'yi	Cuando vuelca la canoa de por si.
q̂uin'	Hoy día, ahora.
q̂uin' ĉhat	Ahora si, está bien.
q̂uin'dye	En este momento, ahora.
q̂uin'dyem'	Recién, por fin.
q̂uinve	Izquierda.
q̂uinves un	Mano izquierda.
q̂uinvejtaqui	Zurdo, con la mano izquierda.
q̂uin'veya'	Más tarde.
q̂uin'veya'dye	Más tardecita.
q̂uiñu'	Una papa silvestre, comestible.
q̂uipdyi	Rincón.
q̂uipsis	Jatata con una varilla.
ra'baqui	Remendar ropa, canoa.
racam'	Pegar.
racam'je'	Pegar algo.
rajyi, rajyi'	Sonido de andar en el monte (animal o persona).
rajsijcaqui, rajsijban', rajsijque'	Sonido de hacer caer árboles.
rajsijque' son	Tumbar árbol.
rámi	Hambre, con mucha hambre, con fuerte deseo sexual.
raptaqui	Remendar alguna cosa.
raptacdye'	Remiendo.
rata'tayequi	Temblar de miedo o de frio.
ratatajyi	Saltar (pescado o animal).
ratben'sis	Hongo de la piel, sarampión.
rebacsi	Encontrarse, ir a encontrar a alguien en el camino.
re'baqui	Componer, arreglar, ensanchar.
rébete	Encontrarse en el camino.
refjeyaqui	Colgar tela, cortina, extender ropa.
repjeyaqui	Pegar algún cuadro en la pared.
reptaqui	Remendar, añadir, ensanchar.
repteja, reptete	Encontrarse por el camino.
ribin	Raíz.
ribro	Libro.
ricaricaij	Tocar caja o tambor, hacer caja o tambor.
ricaricaj	Caja o tambor.
rijmadye'	Eco de un sonido.
rijtety, rijtes	Adulto, mayor de edad.
rijti, rijti', rijtiĉa'	Ser adulto.
rimonaraj	Lima (fruta).
ríshaij, ríshayeja'	Rezar.
ríshayaqui	Rezar a un santo, ídolo.
robocje'	Doblar alguna cosa.
ro'bodye'	Poción de brujo (hecho de fruta del monte, que puede matar, veneno).
roc bu'yis	Atravesaño, palo del techo de la casa.
rocjeyaqui	Atravesar, poner atravesado.
roctaqui	Armar el esqueleto de una casa.
roctacva'joij	Armando el esqueleto de la casa.
rocve	Viento del norte, sol pasado las doce.
rodo'	Ruido de animal.
rodo'doij, rodo'yi	Ruido de animal.
roi'muñi	Saltar algo, pasar por alto.
roi'je'	Saltar para subir en algo.
roi'qui	Latir, palpitar.
roijya'	Canilla.
roi'yi	Saltar, brincar, bajarse, largarse.
roj	Caracha.
rojcaqui	Atravesar, poner palos para puente, construir esqueleto de la casa.
rojcoij, rojcojcoi'	Atravesad.
rojcos	Palo atravesado por el camino.
rọjo'	Insecto llamado chicharra.
roquen' tsun	Después de las doce del medio día.
roquen'je'	Llevar en brazo.
roroij	Picado de una abeja llamada roro'.
roro'	Abeja negra.
ro'yacdye'	Baile.
ro'yaqui	Bailar.
rucrucyi ĉojtyi', ruc rucdyij	Palpita fuerte el corazón, asustado, etc.
ru'dyei'ya'	Sepultura, cementerio.
ru'dyety	Persona enterrada.
ru'dyuij	Estar enterrado.
rudyu'je'	Enterrar, llenar, terraplenar.
rudyu'naqui	Terraplenar.
rudyu'taqui	Enterrar.
rụi'cu'	Estar parado (persona).
rụi'cu'ĉan	Visible, en cuerpo.
rụi'cuijcuij, rụi'cujcui'	Estar parado.
rụi'cujcuty, rụi'cujcus	El que está parado(a) (persona).
rụi'cu'tyity	(Hombre) Mortal, ser humano.
rụij	Correcto, justo, verdadero.
rụij cạqui, rụij cại'	Hacer algo correctamente, justo, directo.
rụijje'	Corregir, poner recto, decir la verdad.
rụijjoij	Acontecer.
rụijtye'	Hacer correctamente.
rụijtaquis	Corrección, reforma.
rujyetŝọij	Caer con explosión de arriba, del cielo.
rujyi, rujjajiti	Salir, atacar entre mucho (avispa).
rum tŝọij	Caer al agua.
rumu'	Llevar algo en la ropa.
run'quen'	Estar parado.
run'quen'yi	Pararse.
rupejchui'	Cerrar, encerrar, tapar.
rupejjeyaqui	Tapar, cerrar hueco, encerrar con cerco.
rä'eban' ịvaj	Disminución de la luna.
rä'i, rä'eja	Terminar, terminarse, acabar, gastarse.
räi'säjyi, räi'säjyi	Con la frente inchado, furioso, enojado.
räj	Todos, ambos.
räjjeyaqui	Terminar, terminarse, acabar.
räj qui', räj qui've	De buen tamaño.
räjĉan	Siempre.
räjen'	Casi todos, la mayor parte.
räjjotaqui	Terminarse, acabar.
räjqui', räjquity	Chuchío que esta en su medida.
räjyaty tạ́ra'	Choclo (maíz).
räm'yi	Tener calambres.
räñäjñäij, räñäjñäi'	Tronco seco, persona parada (que no trabaja).
rärä'ejoij, rärä'ejoi'	Contagio, extender a todos.
räsä'säyeva'joij	Paseando, mirando (leng. fam.).
räsh	Sano (no borracho), sano (no enfermo).
rätsä'je', rätsä'naqui	Embarrar algún objeto, embarrarse, volcarse en el barro.
rä'tsäij	Grueso, espeso, espesar.
rävä'väij, rävä'vädye'	Temblar de frio.
sa'baqui, sapjeyaqui	Amarrar.
sac tyeij	Levantarse, pararse rápido.
sac ja'yacsi	Hacer parar, levantar, enojar, alborotar.
sacjeyaqui, sacyi, sactaqui	Levantarse, salir.
sacacaj	Levantarse e irse (entre varios).
sacacdye'	Fruta.
sacan'je', saca'ñe'	Ajustar, endurar (la tuerca se tomó), dar volumen a la radio.
sacaqui	Chupar fruta.
sacavadye'	Clase de pescado (boca ancha).
sacñi	Marchitarse.
sacti	Salir, irse, empezar el viaje.
sacvaty	Clase de tela (con tejido abierto).
sadam	Captar, escuchar bien a una emisora, idioma.
sajaja	Mosquitero.
sạji'	Red para pescar.
sajquen'jeyaqui	Escurrirse, filtrarse.
sajrai'	Lugar bajo, abierto en el monte.
sajsajyi	Sisear.
sajvaij, sajvai'	Con aberturas, tejido abierto.
sama'	Mantener mojado.
sama'chui'	Mantener mojado.
sama'je'	Mojar.
samaij, samayeja'	Mojarse.
san'quejĉoij	Escribir en un libro, en una lista.
sana', sa'naij	Arrastrarse con la barriga.
sánacdye'	Escritura, mensaje escrito.
sana'je'	Derribar, hacer caer, enfermar, debilitar.
sánaqui, sáñe', sánete	Escribir.
sánaquis	Máquina de escribir, instrumento de escribir.
sancochaj	Sancochada.
sancochajje'	Sancochar.
sanje', sanyequi	Sacar uno, una flecha, un lápiz, etc.
san'jeyaqui	Escribir, anotarlo en la cuenta.
sapa'je'	Atravesar, cruzar, traspasar, llegar (honda de radio).
sapajpaquen, sapajpaquemun	Muy alto (serranía).
sapato	Zapato.
sapen'yi	Doler.
sapje'	Amarrar.
saptacdye'	Cosa amarrada.
sára'iij, sára'ii'	Hacer marico (bolsón que tejen los Tsimane').
sára'ij	Marco.
sa'sa'	Cerebro.
sasa'baba'	Están atados.
sasavintyi'	Clase de peta muy grande.
sa'si	Coca.
savte	Una planta usada a curar (injibre).
seijbo'je', seijbo'joij	Chirapudo, vestido de ropa vieja.
sei'je'	Cortar (carne, cuero).
seijva'joij	Chirapudo, andrajoso, volverse chirapudo.
seijvaty, seijvas, seijvaij	Ropa chirapuda.
sei'tacdye	Operación (no del vientre), circuncisión.
sei'taqui	Operar (no del vientre), circuncidar.
se'je', se'yi	Ponerse de acuerdo, admirar, estar contento de, querer.
sejnaqui	Cansado, con calor (animal), con palpitación.
sejsejyi	Cansado, con lengua afuera (como perro con calor y con sed).
sen'yi, sen'sen'yi	Respiración ruidosa, estertorosa.
sequej	Sangre de toro, árbol.
seque'nacdye'	Violín.
seque'naqui	Tocar violín.
sevaij	Ropa usada, vieja.
se'vaqui, se'viti	Escuchar, entender, obedecer.
sévayaj	Ciempiés, grande.
se'vetaqui	Escuchar, oír de.
seyaqui	Cortar.
se'yity, se'yis	Valiente, buen cazador, buen trabajador.
si'	Chala de arroz.
si'bacdye'	Chicote, guasca.
si'baqui	Azotar, guasquear.
sibuijje' - te	Lucha entre dos personas, esforzarse.
sicdye'	Plantación, producto.
sicojyiti, sicojyitiĉa'	Luchar a brazo.
sich	Salitre.
si'chaqui	Picar.
sichjajiti	Picar: mosquito, marihuí.
sidyi'dyiij	Picar: pulga, escocer.
sijje'	Sacudir árbol para sacar fruta.
sijnaqui, sijñe'	Sacudir planta sacar fruta.
sịjta'	Joporobobo (planta).
sijsa	Cerere de rio.
sijsijyequi	Temblar, sacudir.
síma'	Bibosi.
simi'	Chicha, bebida.
sinaqui, siñe', sinte	Barrer.
sinaquity	Escoba.
sinve	Orilla de río, laguna.
sinyi	Filo.
síñi, síñeban	Bajarse (hinchazón), marchitar.
siñiti	Andar por la orilla del (río, laguna).
sipjeyaqui	Azotar, dar un chicotazo.
sipi'je', sipi'dye	Herir (no matar).
siquijje'	Sacudir árbol, planta.
siren'yi	Gotear.
sírite	Cabeza seca, ave.
sirijje'	Dormir de borracho.
sirijnaqui	Tener relaciones sexuales ilícitas.
sirim'je'	Tomar, probar un poco.
siri'maqui	Tomar bebida poco a poco.
siriti	Salir poco, gotear (aceite).
sisja'	Entramos.
sisvaj	Entre.
sisdye'	Entrada.
siscajcaqui	Ir a ver de inmediato, ir de golpe, ir todos juntos.
sisij	Pez, simbau, buchere.
sistujtuqui	Venir de inmediato, ir de golpe.
sita'	Chala de maíz.
siti, siti', sisja'	Entrar.
siti, sitaqui	Entrarlo, encerrar.
sitiche' tsun	Oeste (literalmente: donde entra el sol).
sivijvi	Aleta de pez, ala pequeña.
siyamo	Cedro (árbol, madera).
siyajsiyaj	Sardina.
so'je'	Ensartar (pescado en liñada), figurativo: entrar, traspasar.
sóbacdye'	Paseo, visita.
sóbaqui	Pasear, visitar, viajar.
socyi	Afloja.
socsocyi'	Tener dolor de cabeza.
socjeyaqui	Bajar la carga de la espalda.
soco'raqui	Ensartar.
socor'je', socor'yi	Ensartar, pasear portadas las calles.
soijje'	Jalar, sacar.
sojoij	Llegar a ser dulce (como joco o camotes dejados en el sol).
sojquiti	Encostar, estacionar, llegar a su destino.
somaqui	Liar, hacer masa.
so'maqui	Dar a algún familiar.
so'me'-te	Da.
son	Palo, árbol.
son'	Varón, macho.
son' bu'yi	Potente, arrogante.
son' yu'ti	Dominante, potente, actitud de macho.
sona'are'	Pez, surubí.
sondaroij, sondaroyeja'	Ser herido, matado por soldados.
sóno'	Saliva.
sonojno'	Rocío.
sontica	Anillo.
sóñi', son'	Varón.
sóñi'yi, sóñi'yi'	Corajudo, portarse como macho con coraje.
sóñi'je'	Tenerle coraje.
sóñi'yedyes	Paz, fuerza (lit. para coraje).
sópe	Pared, muralla, corral.
sópeij	Cercar.
sópetuqui	Hacer cerco, corral.
soquemje'	Traspasar, bandear, penetrar (como frío en una heladera).
soro'ta	Huso.
so'taqui	Coser, ensartar.
sóto'	Pozo, cueva de animales.
so'vo'	Carne humana, cadáver.
sovocje'	Aflojar.
sọyo'	Demonio, Satanás.
sọyo'naqui	Criticar fuertemente, blasfemar, meterse en la brujería.
súbun, súbun'	Tapar (como hierba tapando la senda), llenar pozos.
sucyi	Sisear (gato, tigre).
suịjje'	Atolondrar, aturdir.
suịjjoij	Enloquecer, tontear.
sum'	Firme, duro, apretado.
sụmyui'tyi	Hacer entre muchos un trabajo.
surum'je'	Sorber, tomar un poco (despacito).
suyu'	Cabeza de grano (trigo, arroz).
sä'yi	Gruñir (humano, de hacer fuerza).
säsäcsa'	Uno que come frecuentemente.
säcsaquis	Cuchara, instrumento para comer.
säcsedye'	Alimento, comida.
säcsedyeij	Preparar comida.
säcsequi	Ir a comer, comer en pensión.
säcsi	Comer.
sän'	Sábalo (pez) en el idioma mosetén.
sänaquety, sänaques	Cadáver, muerto.
sän'dye'	Muerte.
sändyes	Destinado a muerte, para muerte, terminar en muerte.
säñej	En extremo, dormir muy pesado.
säñej tŝọij	Desmayar, caerse muerto.
säñequi	Ir a morir.
säñeti	Venir a morir.
säñi	Morir, eclipse de (luna, sol).
säntaqui	Perder a un pariente en muerte.
säntaquity, säntaquis	Huérfano.
särä'	Unidad, pieza de algo largo (palo, yuca, pala, arma, etc.).
särä' bu'yis	Mujer estéril, sin hijos.
sä'räban	Dejado en la playa o en el seco (canoa dejado cuando baja el agua).
sä'räij	Pieza, porción cilindrico.
särä'räij, särä'räyeja'	Andar con cosa larga en la mano (pala, arma).
sären'jeyaqui, sären'yi	Brincar de asustado.
säsäcsa'	Glotón, persona que come demasiado.
säsän'	Golondrina.
säsä'räräty	Piezas de palo, chuchío, etc.
sä'ti, sä'teja'	Encallado, atascar.
sätjeyaqui, sä'te', sä'tete, sä'taqui	Tapar botella, cerrar (puerta), llenar (de gente, mosquitos, humo).
sätje'	Cerrar, poner candado.
sättacdye'	Tapa (botella).
sättaqui	Tapar, cerrar.
sätsis, sättyity	Apretado, completamente lleno.
shababaty	Pulmón.
shạ́ban'	Borrar, limpiar.
shạ́biban'	Borrar algo de otra persona.
sha'bo'	Chulupi grande.
shacan'je'	Hacer girar perno, tuerca, encender radio, darle volumen, amasar en mano (bollo de barro), desgranar grano en la mano.
shacjeyaqui	Raspar, cortar.
shạcri' jeyaqui, shạcrijriij	Ebrio, un poco borracho.
shacrin'yi	Sucio de tanto caer.
shactaty, shactas	Áspero, cortante.
shachjeyaqui	Vaciar, botar, derramar en cantidad.
sháfai'	Cera del oído.
shại'je'	Pelar, separar, romper con la mano.
shaja'jaij	Sonar sonido débil: de lámpara, lluvia, motor.
shạjbe	Pejichi, tatú grande.
shạjbo'boij	Viejo con cabello blanco.
shạjbo'boyeban	Anciano viniendo con cabello blanco.
shajje'	Cernir.
shajmaqui	Hacer división con hojas.
shamtaqui	Tapar (como ropa en un cartón con papel).
shajraqui	Cernir.
shajraquity	Cernidor, urupé.
shajshadye've	En la gotera del agua.
shajshadye'	Gotera, canal del techo.
shajvas	Esponja.
shajyi	Sonido de pez nadando.
shamacdye'	Palo de balsa para hila algodón.
shamaqui	Hilar, poner doblar.
shamij	Hoja de motacú.
shamita'	Hoja caída y seca.
sham'je'	Blanquear, limpiar, borrar.
shamrui'ban, shamrui'ban'	Dormir sucio (idiomático).
shamruij	Dormir abajo en el suelo por estar borracho.
sham'taqui	Pintar su casa.
shan	Hoja.
shánajnai'	Concha.
shanajoij	Deslizamiento, desprender tierra, piedra de la serranía.
shandyes, shandyety	Color verde.
shaparyi	Sonido de hoja seca.
shaporo	Arete, aro.
shapuij	Enloquecer.
shapuijtyi', shapui'si'	Persona loca, tonta.
shaputui'	Persona que quiere tener relaciones sexuales (mayormente ilícito).
shạ́qui	Borrar, untar, pulir, limpiar.
shạ́quity	Borrador, toalla.
shara'	Árbol (cari cari),
sharaj	Churuno largo, calabaza monte.
sharje'	Hacer ruido en el monte.
shásha	Flor, adorno.
sháshadyes	Florero.
shasha'tata'	Atado, mazo de flechas, etc.
sháshatuqui	Adornar, poner adorno.
shashdyi, shashdyi'	Pasar varias veces, reproducir muchos, multiplicarse.
shatactyity	Múltiple, cable, hilos, etc.
shata'taij	Llevar flechas en la mano.
sha'vaqui	Apedazar, picar yuca para hacer chicha.
shavyi	Llorar, chillar, gritar, gemir.
shavdyij	Llorando.
shavnaqui, shavñe'	Llorar seguido, ser llorona.
shayaqui	Sacar la fibra de un árbol.
shẹi'je'	Romper alguna cosa.
sheijqueij, sheijqueja'	Chirapudo, andrajoso.
sheijquety	Persona con ropa vieja.
sheje'sheje'yi	Resuello ruidoso, estertoroso.
shejvin'dye'	Chiste, calumnia.
shejvintuqui	Chistear con algún familiar.
shejviñi	Chistear.
shepres, sheprety	Inútil que no trabaja.
sheresherej	Ventón, pez.
sheshejvintyi'	Uno que es chistoso.
sheshejvinsi'	Mujer chistosa.
shevajjeyaqui	Amontonar, juntar muchos.
shevan'je', sheva'naqui	Tostar (café, maíz, chivé).
shevaqui, shevva'te, shevte	Cortar con tijera, abrir lata.
shevaquis	Instrumento para abrir, cortar.
shevecjeyaqui	Cortar con cuchillo, tijera.
shevevejjeyaqui, shevevejjete	Cortar tela con tijeras.
shevi'vaqui	Cortar cuero.
shev'jeyaqui	Cortar, sacarle algo.
shevujriqui'	Clase de árbol (fruta como jabón).
shị'	Anta.
shi'are'	Clase de pez (cachorro).
shíbo'	Chonta.
shicanje'	Desmayar, aturdir, confundir, herir.
shicurity	Clase de pez (bagre pintado).
shichjeyaqui	Limpiar la nariz.
shidyen'yi	Mocoso, le sale moco por las narices.
shịdyi'dyiij, -i'	Estar con secreción mucosa.
shi'e'	Sucha.
shijmii'	Puntuda.
shijraqui	Sobar, friccionar, untar el cuerpo.
shim, shimtyi'	Delgado (tela, papel, cerco, persona).
shimaij	Tener manchas blancas en la piel o empeine.
shimaj	Enfermedad de la piel manchas blancas o empeine.
shim'shim'yity	Persona chismosa.
shímimij	Zapato pez.
shim'shim'yi	Ser malo, vivir mal, con enojo.
shínaij-i'	Pelo rubio.
shinaty-s	Persona que tiene pelo rubio.
shína'joi'	Árbol que se está secando las hojas.
shicavava'	Clase de rana.
shíñu	Langosta.
slip	Clase de insecto (petilla).
shípa	Casa de los brujos.
shipijraqui	Limpiar el oído.
shipna	Estera de hojas de chuchío.
shipnaij, shipnayeja'	Hacer esteras.
shị́ri	véase ÓYA. Lombriz.
shiricje'	Pelar, sacar pelo del cuero, tener las mangas de camisa enrolladas.
shiri'caqui	Arremangar: camisa, pantalón.
shị́shi	Ají pequeño (aribibi).
shitan'yi	Resbalar.
shitijje'	Botar, tirar por abajo.
shiva'	Parabachi.
shijvaca'cai', shijva'ca'caij	Enturbiar.
shivajnarety	Pez parecido al bagre o toro (tujuno).
shịva'vaij	Burbujear el agua (de un animal dentro el agua, de un neumático pinchado dentro el agua), enturbiar.
shivira	Sarna.
shiviraij	Tener sarna.
shóbo	Zapallo.
shocam	Atardecer, cuando entra el sol.
shocbedye'	Espuma, enfermedad de la boca.
shocdye'	Chicha.
shocdyeij	Hacer chicha.
shocjeyaqui	Lavar ropa.
shọ́co'	Tocura, langosta, salta monte.
shochyi	Resoplar, gruñir (animal).
shọi'dye'	Flojera.
shọijjoij	Estar con flojera, rendido, acobardarse.
shọijtaqui	Hacer bulla, acobardarse de.
shojbi'	Hinchar.
shojoij	Subir, aumentar (río, laguna).
shọjsho	Secreción mucosa seca.
shomeroroj	Sombrero, gorra.
shomon'je'	Envolver, cubrir, proteger, guardar limpia.
sho'pa'	Cuero, piel, cascara.
shopjeyaqui	Mostrar alguna cosa de una bolsa.
shoyi'yiij-i'	Flojo, tonto.
sho'que'	Tojo.
shoyi, shoijja'	Tener flojera, acobardado.
shu'	Palabra de auxilio.
shu'adye'	Robo.
shu'aij	Robar.
shu'atuqui	Robar algo de algún pariente.
shucaqui, shuque', shucte	Acerrar madera.
shu'caqui	Aserrar, cortar con serrucho.
shu'caquis	Serrucho, sierra.
shucben'yi	Echar espuma de la boca.
shu'ij	Ave, yacamí.
shuj	Correr, andar rápido, ¡Shuj! ¡Corra!.
shujshujyequi	Sonido de ave grande volando.
shujyi	Arder, reventar en llamas.
shujqui	Fiebre, con fiebre alta.
shuju'jui'	Sonido de fuego, de llamear.
shuju'jui'tyi'	Estar ardiendo.
shum	Estera, palabra genérica.
shum'	Jejene.
shumi, shumeja'	Hacer, fabricar estera.
shumur'	Lastimar músculo o piel.
shunje'	Bajar de arriba (de un árbol).
shupqueti	Llegar, salir a la casa de visita.
shupqui	Salir lo de adentro hacia fuera.
shupqui fi'tyi'	Orgasmo, tener orgasmo (hombre solo).
shupquiya'	Boca de río.
shụquen'sis	Enfermedad sarampión, viruela loca, granitos salen en el cuerpo.
shu'qui	Está borracho.
shu'queja'	Emborracharse entre varios.
shurcu' shurcu'	Andar, ir, salir, sonido de andar.
shurje'	Desatar.
shuru'	Chuchió.
shush	Carne, jane de fruta.
shúshi, shúshi'	Que tiene carne.
shushi, shushi'	Planta que dan papas dentro de la tierra.
shushu'aty	Hombre ladrón.
shushu'as	Mujer ladrona.
shäctäty, shäctäs, shäctäij	Áspero.
shäjä' shäjä'yi'	Tronar levemente, retumbar.
shäjä'jäi'	Sonido de lluvia en el monte.
shätejyi	Sufrir un golpe en el cuerpo, estar cansado.
shäti	Ropa que se achica.
shätiij-tii'	Comido por jochi colorado.
shätij	Jochi colorado.
ta'	Misa, para atar.
tạ'	Ají.
tababajjeyacsi	Agarrar, ir agarrando.
tạbaij, tạbayeban	Podrirse, madera, papel, etc.
tạbaty-s	Algo que esta podrido, papel, etc.
tạbedye'	Pescado.
tạbi, tạbeja'	Pescar.
tac	Diez.
tac tyeij	Que se emborracha y se enferma lapido.
tạcac bu'yi	No crecer, no desarrolla, sigue el mismo tamaño.
tạ'caij, tạ'cai'	Sobrar.
tacacajyi	Empujar, persona que empuja a otros.
tạca'cayequi (de ida), taca'cayeti (de venida)	Encostar callapo, aterrizar (avión), evitar peligro.
tạĉan	Quedarse, quedar todavía.
tạcaty	1. Persona que desde principio no cambia su carácter (buena, malo) 2. Que no tiene principio.
tạcche'	Quedarse.
tạco'	Hamaca de niño.
tacjete	Empujar, pasar (pelota).
tacjeyaqui	Volcar la ropa.
tacve	Quedarse allí.
tacve	Lado derecho.
tacvejtaqui	Pasar algún objeto del lado izquierdo a la derecha.
tacya'	Quedarse allí.
tacya'dye	Ahí mismo.
tachjete	Golpear, dar puñete.
ta'dyety	Que sirve para amarrar.
tạ'dyity	Olla.
tạij	¡Váyase! ¡Ándate!
tai'je'	Untar, pintar casa.
tai'jete, ta'yiti	Mecer hamaca.
tạijje'	Decir: ¡cuje! al perro.
tai'taqui	Pintar, dibujar.
tai'taquis	Pintura.
tại'ya'	En medio camino, medio del cuerpo.
taja've	En la orilla.
tajñi'	Pampa, paja.
tami	Dormir pesado.
tamiñi	Soñar.
tamin'dye'	Sueño.
tamin'dye'ĉan	El sentido del sueño.
tamintuqui	Soñarse con alguien.
tam'yi	Dormir un poco.
tana'caqui	Sacar cuero de animal.
tanacje'	Pelar, sacar piel.
tạn'joij	Cansarse, agotado.
tapĉhuc	Detenido, atrasado.
tapchute-i'	Tener agarrado.
tapĉhuja'	Tenemos agarrado, detenido.
tápi	Bejuco que se utiliza para amarrar.
tapje'	Agarrar, tomar, recibir.
taquem	Poder ver larga distancia.
taquen'	Entero, un paquete, unidad.
táqui o'yi	Sacar yuca, etc.
tạr	Pierna trasera de animal en división de carne.
tạ́ra'	Maíz.
táraqui	Lamentar, llorar por alguien.
tare'a	Tarea.
táredye'	Tristeza.
tári	Llorar, estar triste.
táris	Lágrimas.
tas	1. Todo. 2. Fin.
tasje'	Terminar, acabarlos, destruir todos.
tash	Adelante.
tashmuñi	Adelantar.
tashche'	Adelante, primero, antes.
tashche' tashche'yi	Sin vergüenza, agresivo rimero, el mas viejo, gran (hombre, libro).
tásheshei'	Claro, sin nubes, sin lluvia.
tashi	Adelantar, ir adelante, primero.
tashin	Pecho, seno.
táta	Papá, padre.
ta'ta'	Batán, para moler.
tátacdye'	Juguete.
tạtạjqui	Diente canino, colmillo.
tạ'taqui, tạ'tyeban	(leng. fam.) Comer.
tạ'tuqui	Ungir con ají el cadáver para castigar a que le hechizó.
távara	Clase de pez.
ta'yacdyes	Color.
táyen'	Clase de hormiga.
te'caqui	Tesar, templar.
tẹcjẹyaqui	Templar, tesar.
tecon'je', teco'naqui	Volcar la cabeza a mirar.
te'coty, te'cos	Torcido, inclinado.
tef	Satisfecho, lleno de comer.
tejcaqui	Templar cuero.
temtemje'	Tocar guitarra, harpa.
teracajca'	Carcana, ave.
tétev'	Ave de la pampa.
