
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
lluchka	<span fgcolor="#228B22">(s).</span> Mana murkuyuq, liqyay liqyay qaqusqa. Mana sayay atina hawa mitu. <span fgcolor="#ff0000">Resbaladizo, Liso.</span>\n<span fgcolor="#a403fb">- Lluchka qatapi urmaruni.</span>\n<span fgcolor="#0000ff">- Me caí en la ladera resbaladiza.</span>
lluchkay	<span fgcolor="#228B22">(r).</span> Mitu allpapi purichkaspa wichiykuypas urmaypas. <span fgcolor="#ff0000">Resbalar.</span>\n<span fgcolor="#a403fb">- Mitupi purichkaspa uywa lluchkarqun.</span>\n<span fgcolor="#0000ff">- Caminando en el barro se resbaló el animal.</span>
llukllu	<span fgcolor="#228B22">(s).</span> Kuwahuwan kuchuchisqa ñukñu; katkatataq lichi api. <span fgcolor="#ff0000">Leche cuajada.</span>\n<span fgcolor="#a403fb">- Miskiyuq lluklluta qusqayki.</span>\n<span fgcolor="#0000ff">- Te voy a dar nata con miel.</span>
llukiy	<span fgcolor="#228B22">(r).</span> Mana qullqipaq imapas quy. <span fgcolor="#ff0000">Donar, regalar.</span>\n<span fgcolor="#a403fb">- Pukllanachata llukiykun.</span>\n<span fgcolor="#0000ff">- Le regalan juguete.</span>
lluku	<span fgcolor="#228B22">(s).</span> Challwanapaq awasqa llika. <span fgcolor="#ff0000">Red.</span>\n<span fgcolor="#a403fb">- Llukuta mayu apakun.</span>\n<span fgcolor="#0000ff">- El río se llevó la red.</span>
llulla	<span fgcolor="#228B22">(s).</span> Mana chiqapchu. Atiqali. <span fgcolor="#ff0000">Mentira.</span>\n<span fgcolor="#a403fb">- Wak llulla warmi awqachiwan.</span>\n<span fgcolor="#0000ff">- Esa mujer mentirosa me hace enemistar.</span>
llullu	<span fgcolor="#228B22">(s).</span> Manaraq puqusqa, wawallaraq. <span fgcolor="#ff0000">Tierno, verde (inmaduro).</span>\n<span fgcolor="#a403fb">- Llullu papata allaykuy.</span>\n<span fgcolor="#0000ff">- Escarba la papa tierna.</span>
llumchuy	<span fgcolor="#228B22">(s).</span> Qari churipa warmin. Qachun. <span fgcolor="#ff0000">Nuera.</span>\n<span fgcolor="#a403fb">- Churiypa warminqa allin sunquyuqmi.</span>\n<span fgcolor="#0000ff">- La esposa de mi hijo es una mujer de buen corazón.</span>
llunkuy	<span fgcolor="#228B22">(r).</span> Pitapas kumuykachaspa lampipayay. Llaqwapayay. <span fgcolor="#ff0000">Adular.</span>\n<span fgcolor="#a403fb">- Paytam taytachata hinaña llunkupayan.</span>\n<span fgcolor="#0000ff">- A él lo adula como si fuera Dios.</span>
lluptiy	<span fgcolor="#228B22">(r).</span> Imamantapas ayqiy. <span fgcolor="#ff0000">Escapar, huir.</span>\n<span fgcolor="#a403fb">- Kuchinchik lluptirqusqa.</span>\n<span fgcolor="#0000ff">- Escapó nuestro chancho.</span>
lluqay	<span fgcolor="#228B22">(r).</span> Tawan chakinpa wichayman puriy; makiwan, chakiwan yanapakuspa sachaman utaq imamanpas wichariy. <span fgcolor="#ff0000">Trepar.</span>\n<span fgcolor="#a403fb">- Sumaqllata sachaman lluqasun.</span>\n<span fgcolor="#0000ff">- Subamos despacio al árbol.</span>
lluqi	<span fgcolor="#228B22">(s).</span> Ichuq maki. Alliqpa awqan. Ichuq. <span fgcolor="#ff0000">Izquierda.</span>\n<span fgcolor="#a403fb">- Lluqi makiykichikta huqariychik.</span>\n<span fgcolor="#0000ff">- Alcen la mano izquierda.</span>
lluqlla	<span fgcolor="#228B22">(s).</span> Allpantin, rumintin hamuq lipli. <span fgcolor="#ff0000">Torrentera, aluvión.</span>\n<span fgcolor="#a403fb">- Lluqllam kawsaykunata aparqusqa.</span>\n<span fgcolor="#0000ff">- El aluvión había arrasado la sementera.</span>
lluqsiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Hawaman riy. <span fgcolor="#ff0000">Salir.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Ima tarpusqapas rikurimuy. <span fgcolor="#ff0000">Brotar el sembrío.</span>\n<span fgcolor="#a403fb">1. Wasiymantaqa manam lluqsinichu.</span>\n<span fgcolor="#0000ff">- Yo no salgo de mi casa.</span>\n<span fgcolor="#a403fb">2. Sara lluqsimuchkanña.</span>\n<span fgcolor="#0000ff">- El maíz ya está germinando.</span>
llusiy	<span fgcolor="#228B22">(r).</span> Mitu, lawa, utaq imawanpas makiwan sumaqlla llutay. <span fgcolor="#ff0000">Embadurnar, untar.</span>\n<span fgcolor="#a403fb">- Uyantam wirachawan llusikuchkan.</span>\n<span fgcolor="#0000ff">- Se unta con mucho cuidado su rostro.</span>
machaqway	<span fgcolor="#228B22">(s).</span> Mana atakayuq charapahina umayuq, hatun lliwqa kaqlla suchuykachaq uru. Amaru. <span fgcolor="#ff0000">Culebra.</span>\n<span fgcolor="#a403fb">- Tutapas machaqwayqa sukamunmi.</span>\n<span fgcolor="#0000ff">- La culebra silba también de noche.</span>
machay	<b>1.</b> <span fgcolor="#228B22">(s).</span> Qaqapi utaq raqchipi tutayaq wasihina hatun uchku.<span fgcolor="#ff0000"> Caverna, cueva.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Aqata utaq ima sinkachinatapas upyaspa yuyay chinkachiy. <span fgcolor="#ff0000">Emborracharse.</span>\n<span fgcolor="#a403fb">1. Machaypim puñurqani.</span>\n<span fgcolor="#0000ff">- He dormido en la cueva.</span>\n<span fgcolor="#a403fb">2. Inti raymipim warmikuna macharqa musqaku.</span>\n<span fgcolor="#0000ff">- Las mujeres se habían emborrachado en la fiesta del sol.</span>
machina	<span fgcolor="#228B22">(s).</span> Suqta uyayuq siqi. <span fgcolor="#ff0000">Cubo.</span>\n<span fgcolor="#a403fb">- Machinakunata ruraspa huklawpi rantikuchwan.</span>\n<span fgcolor="#0000ff">- Construyendo cubos podríamos venderlos en otro sitio.</span>
machka	<span fgcolor="#228B22">(s).</span> Chaki rurukunamanta kutasqa kawsay. <span fgcolor="#ff0000">Harina de cereal.</span>\n<span fgcolor="#a403fb">- Payqa siwara machkatam kutan.</span>\n<span fgcolor="#0000ff">- El prepara machca de cebada.</span>
machu	<span fgcolor="#228B22">(s).</span> Watasapa qari, machula qari. Yuyaq. <span fgcolor="#ff0000">Abuelo.</span>\n<span fgcolor="#a403fb">- Machu runaqa manañam machaypi purinañachu.</span>\n<span fgcolor="#0000ff">- Un anciano ya no debe emborracharse.</span>
malliy	<span fgcolor="#228B22">(r).</span> Imapas allin kasqan musyanapaq hukllata mikuchaykuy utaq qallariykuy. <span fgcolor="#ff0000">Probar, saborear.</span>\n<span fgcolor="#a403fb">- ¡Malliykuy kay apita!.</span>\n<span fgcolor="#0000ff">- ¡Prueba esta mazamorra!.</span>
mama	<span fgcolor="#228B22">(s).</span> Runa wachaq warmi; yuyayniyuq warmi. <span fgcolor="#ff0000">Madre.</span>\n<span fgcolor="#a403fb">- Maman michakuchkaptinmi kasarakun.</span>\n<span fgcolor="#0000ff">- Sin que quiera su madre se casó.</span>
mamaku	<span fgcolor="#228B22">(s).</span> Watasapa warmi. Paya. <span fgcolor="#ff0000">Anciana.</span>\n<span fgcolor="#a403fb">- Mamakutaqa yanapanam.</span>\n<span fgcolor="#0000ff">- A la anciana hay que ayudarla.</span>
mañay	<span fgcolor="#228B22">(r).</span> Pitapas quwananchikpaq rimapayay. Uyllay. <span fgcolor="#ff0000">Pedir.</span>\n<span fgcolor="#a403fb">- Tanta qunanpaq mamanta mañakun.</span>\n<span fgcolor="#0000ff">- Le pide pan a su mamá.</span>
mañakuy	<span fgcolor="#228B22">(r).</span> Llampu sunqullawan imapatas mañay. <span fgcolor="#ff0000">Suplicar.</span>\n<span fgcolor="#a403fb">- Warmam taytan muchaykunanpaq mañakun.</span>\n<span fgcolor="#0000ff">- El niño le pide a su padre que le bese.</span>
manchachi	<span fgcolor="#228B22">(s).</span> Imapas ayqichinapaq ratapakunamanta runakaqlla churasqa. <span fgcolor="#ff0000">Espantapájaros.</span>\n<span fgcolor="#a403fb">- Manchachinata saranchikpi churamusun.</span>\n<span fgcolor="#0000ff">- Hay que colocar espantapájaros en nuestro maizal.</span>
manchakuy	<span fgcolor="#228B22">(r).</span> Pitapas imatapas manchachitahina qaway; katkatataywan hapichikuy. <span fgcolor="#ff0000">Temer.</span>\n<span fgcolor="#a403fb">- Tuta puriytam manchakuni.</span>\n<span fgcolor="#0000ff">- Temo andar en las noches.</span>
manchay	<span fgcolor="#228B22">(r).</span> Pimantapas imamantapas hayllanmanta chukcha sayarisqahina asukuy. <span fgcolor="#ff0000">Asustarse.</span>\n<span fgcolor="#a403fb">- Ratam misita qawarquspa manchakun.</span>\n<span fgcolor="#0000ff">- La rata se asusta viendo al gato.</span>
manka	<span fgcolor="#228B22">(s).</span> Ruyru siki, iskay rinriyuqpas aysanayuqpas ninawan waykuspa mikuy rurana. <span fgcolor="#ff0000">Olla.</span>\n<span fgcolor="#a403fb">- Allpa mankapim patachiqa sumaqta chayan.</span>\n<span fgcolor="#0000ff">- El mondongo se cocina bien en olla de barro.</span>
manukuy	<span fgcolor="#228B22">(s).</span> Qipa punchaw qullqi qunapaq imapas rantiy. <span fgcolor="#ff0000">Endeudarse, fiarse.</span>\n<span fgcolor="#a403fb">- Mulli aqata manukuykuni.</span>\n<span fgcolor="#0000ff">- Me he fiado chicha de molle.</span>
manu	<span fgcolor="#228B22">(s).</span> Qipa punchaw qullqi haywaykunapaq ranti wasimanta imapas mañakusqa. <span fgcolor="#ff0000">Deuda.</span>\n<span fgcolor="#a403fb">- Manu mañaqmi hamusqa.</span>\n<span fgcolor="#0000ff">- Vino a cobrar la deuda.</span>
maqay	<span fgcolor="#228B22">(r).</span> Pitapas ukun nanachiy. <span fgcolor="#ff0000">Golpear, pegar.</span>\n<span fgcolor="#a403fb">- Pitapas manam yanqapuniqa maqanachu.</span>\n<span fgcolor="#0000ff">- A nadie se le debe golpear por las puras.</span>
maqana	<span fgcolor="#228B22">(s).</span> Kaspi utaq asuti, waqtanapaq. <span fgcolor="#ff0000">Garrote, porra.</span>\n<span fgcolor="#a403fb">- Raku maqanawanmi waqtarqun.</span>\n<span fgcolor="#0000ff">- Le pegó con un garrote grueso.</span>
maqchiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Tarpunapaq siwarapas tirihupas chakraman wischuy.<span fgcolor="#ff0000"> Esparcir cereales, takay.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Allpa pichanapaq nuyuchiqhina yaku chaqchuy. <span fgcolor="#ff0000">Rociar agua.</span>\n<span fgcolor="#a403fb">1. Siwarata maqchichkan.</span>\n<span fgcolor="#0000ff">- Está esparciendo la Cebada.</span>\n<span fgcolor="#a403fb">2. ¡Yakuta maqchirqamuy!</span>\n<span fgcolor="#0000ff">- ¡Rocía el agua!</span>
maqlla	<span fgcolor="#228B22">(s).</span> Mana imanpas quykukuq runa; kapka maki, mana ima kachariq runa. Micha. <span fgcolor="#ff0000">Tacaño.</span>\n<span fgcolor="#a403fb">- Maqlla runaqa kay pachapim manan imata tarinqachu.</span>\n<span fgcolor="#0000ff">- El hombre tacaño no enconrará nada en este mundo.</span>
maqma	<span fgcolor="#228B22">(s).</span> Aqa puñuchinapaq puyñu kaqlla hatun hatun allpa mankahina. <span fgcolor="#ff0000">Recipiente grande.</span>\n<span fgcolor="#a403fb">- Huk maqma aqatam tukurqunku.</span>\n<span fgcolor="#0000ff">- Lograron terminar un recipiente grande de chicha.</span>
maqta	<span fgcolor="#228B22">(s).</span> Warma wataman qatiq qari runa, manaraq puqusqa qari runa. <span fgcolor="#ff0000">Joven varón.</span>\n<span fgcolor="#a403fb">- Maqta kaspa llamkaysapa karqa.</span>\n<span fgcolor="#0000ff">- Siendo joven fue muy trabajador.</span>
maray	<span fgcolor="#228B22">(s).</span> Pukru, lluchka rumi imapas tunawwan kutanapaq. <span fgcolor="#ff0000">Batán.</span>\n<span fgcolor="#a403fb">- Marayta wasiypi munayman.</span>\n<span fgcolor="#0000ff">- Quisiera un batán en mi casa.</span>
marqay	<span fgcolor="#228B22">(r).</span> Iskaynin makiwan wankiy. <span fgcolor="#ff0000">Cargar en brazos.</span>\n<span fgcolor="#a403fb">- Kullutahinam qamta marqachkayki.</span>\n<span fgcolor="#0000ff">- Te estoy abrazando como si fueras un tronco.</span>
masa	<span fgcolor="#228B22">(s).</span> Tayta mamapa, warmi churinpa qusan. <span fgcolor="#ff0000">Yerno.</span>\n<span fgcolor="#a403fb">- Masaytam hampichimusaq.</span>\n<span fgcolor="#0000ff">- Haré curar a mi yerno.</span>
mastay	<span fgcolor="#228B22">(r).</span> Pachata, qarata, imatapas chutariy; puñuna allinchay. <span fgcolor="#ff0000">Tender.</span>\n<span fgcolor="#a403fb">- Mastakusunña puñunapaq.</span>\n<span fgcolor="#0000ff">- Ya hay que tender la cama para dormir.</span>
masu	<span fgcolor="#228B22">(s).</span> Ukucha kaqlla uyayuq, makinpi raprayuq, tutan pawaq yawar mikuq uru. <span fgcolor="#ff0000">Murciélago.</span>\n<span fgcolor="#a403fb">- Machuyasqa ukuchamantas masu rikurin.</span>\n<span fgcolor="#0000ff">- Dicen que el murciélago proviene del ratón viejo.</span>
maswa	<span fgcolor="#228B22">(s).</span> Añu. Papa ayllu kawsay, allpapi qillu ruruq kawsay, maka kaqlla kawsay. <span fgcolor="#ff0000">Isaño, mashua.</span>\n<span fgcolor="#a403fb">- Maswa yanuyta mikuniku.</span>\n<span fgcolor="#0000ff">- Comemos mashua sancochada.</span>
mati	<b>1.</b> <span fgcolor="#228B22">(s).</span> Purumantapas kalawasapa rurunmantapas chuwahina rurasqa. <span fgcolor="#ff0000">Mate, vacija.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Runapa urkun. <span fgcolor="#ff0000">Frente.</span>\n<span fgcolor="#a403fb">1. Anqara matipi papata qaramuy.</span>\n<span fgcolor="#0000ff">- Sirve en el mate grante la papa.</span>\n<span fgcolor="#a403fb">2. Runapa matinpi rumiwan chuqarqamun.</span>\n<span fgcolor="#0000ff">- Le tiró con piedra en la frente.</span>
maytu	<span fgcolor="#228B22">(s).</span> Qillqasqa patarasqa raprakuna. <span fgcolor="#ff0000">Libro.</span>\n<span fgcolor="#a403fb">- Maytu qachachakurqun.</span>\n<span fgcolor="#0000ff">- Se ensució el libro.</span>
mayu	<span fgcolor="#228B22">(s).</span> Hatun hatun yarqanta puriq yaku. <span fgcolor="#ff0000">Río.</span>\n<span fgcolor="#a403fb">- Putka mayuta chimpasunchik.</span>\n<span fgcolor="#0000ff">- Cruzaremos el río turbio.</span>
michiy	<span fgcolor="#228B22">(r).</span> Uywakunata qiwa qiwapi qawapayay; hawka kananpaq pitapas utaq uywatapas waqaychay. <span fgcolor="#ff0000">Pastear.</span>\n<span fgcolor="#a403fb">- Kananmi wakanchikunata michimusun.</span>\n<span fgcolor="#0000ff">- Hoy vamos a pastear nuestras vacas.</span>
mikuy	<b>1.</b> <span fgcolor="#228B22">(s).</span> Kallpachachiwaqninchik kawsay. <span fgcolor="#ff0000">Comida.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Kawsay wiksaman yaykuchiy. <span fgcolor="#ff0000">Comer.</span>\n<span fgcolor="#a403fb">1. Amahina kaspayki mikuyta qaraykamuway.</span>\n<span fgcolor="#0000ff">- Sírveme la comida, por favor.</span>\n<span fgcolor="#a403fb">2. Chuñuta mikun.</span>\n<span fgcolor="#0000ff">- Come el chuño.</span>
millakuy	<span fgcolor="#228B22">(r).</span> Mana munasqa mikuykunata qawaspa hukmanyay. Amiy. <span fgcolor="#ff0000">Asquearse.</span>\n<span fgcolor="#a403fb">- Llumpayta saksarquspaqa mikuyta millakurqunñam.</span>\n<span fgcolor="#0000ff">- Al hartarse demasiado siente asco por la comida.</span>
millay	<span fgcolor="#228B22">(s).</span> Qaqchu manchachiku. Asnaqllaña; mana sumaqchachu. <span fgcolor="#ff0000">Horrible, feo.</span>\n<span fgcolor="#a403fb">- Millay uyayuqtam rikurqani.</span>\n<span fgcolor="#0000ff">- Lo vi con una cara horrible.</span>
millpu	<span fgcolor="#228B22">(s).</span> Timpuq allpa, mikukuq pukyu. <span fgcolor="#ff0000">Tragadero.</span>\n<span fgcolor="#a403fb">- Uqupampa wallpata millpum</span>\n<span fgcolor="#0000ff">- El pantano se traga a la gallina.</span>
millpuy	<span fgcolor="#228B22">(r).</span> Mana allinta kachuspa mikuykuna rakray. <span fgcolor="#ff0000">Tragar.</span>\n<span fgcolor="#a403fb">- ¡Wallpahina millpuchkanki!</span>\n<span fgcolor="#0000ff">- ¡Estás tragando como la gallina!</span>
millwa	<span fgcolor="#228B22">(s).</span> Uwihapa llamapa qaspa llampu utkuhina chukcha. Willma, millma. <span fgcolor="#ff0000">Lana.</span>\n<span fgcolor="#a403fb">- Llamapa millwanmanta waskatam kawpunku.</span>\n<span fgcolor="#0000ff">- Se tuercen las sogas de lana de llama.</span>
mini	<span fgcolor="#228B22">(s).</span> Pachapi chakatampa awasqa qaytukuna. <span fgcolor="#ff0000">Trama.</span>\n<span fgcolor="#a403fb">- Punchuypa mininta mamay awan.</span>\n<span fgcolor="#0000ff">- Mi madre teje la trama de mi poncho.</span>
minka	<span fgcolor="#228B22">(s).</span> Yanapakuspa huñunpi llamkay. <span fgcolor="#ff0000">Trabajo colectivo, minga.</span>\n<span fgcolor="#a403fb">- Pacha taqsay minkaman hakuchik.</span>\n<span fgcolor="#0000ff">- Vamos a la minga de lavar ropas.</span>
mirachiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Hukllamanta achkayachiy. <span fgcolor="#ff0000">Reproducir.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Wachachiy, churiyakuy. Uriy. <span fgcolor="#ff0000">Procrear.</span>\n<span fgcolor="#a403fb">1. Kulli sarata mirachin.</span>\n<span fgcolor="#0000ff">- Está haciendo reproducir maíz morado.</span>\n<span fgcolor="#a403fb">2. Llama mirachichkan.</span>\n<span fgcolor="#0000ff">- La llama está procreando.</span>
miray	<span fgcolor="#228B22">(r).</span> Imapas achkayay; hatun wiñayman puririy. Achkayay. <span fgcolor="#ff0000">Procrear, multiplicar, desarrollar, aumentar.</span>\n<span fgcolor="#a403fb">- Chiya umaykipi mirarqusqa.</span>\n<span fgcolor="#0000ff">- Había aumentado liendres en tu cabeza.</span>
misi	<span fgcolor="#228B22">(s).</span> Llampu chukcha, tipaq sillu, tutan rikuq, «ñaw-ñaw» nispa waqaq, ukucha mikuq wasi uywa. <span fgcolor="#ff0000">Gato.</span>\n<span fgcolor="#a403fb">- Misiqa allquwanpas pukllanmi.</span>\n<span fgcolor="#0000ff">- El gato también juega con el perro.</span>
miski	<span fgcolor="#228B22">(s).</span> Waytakunamanta wanquyrupa rurasqan añaka; miski wirumanta rurasqa ñutu rumichakuna, qallupaq añaka. <span fgcolor="#ff0000">Dulce, miel.</span>\n<span fgcolor="#a403fb">- Yukalitutam miskiyuqta upyana uhupaq.</span>\n<span fgcolor="#0000ff">- Hay que tomar eucalipto con miel de abejas contra la tos.</span>
mismiy	<span fgcolor="#228B22">(r).</span> Nina imatapas allillamanta qusñispalla, mana rupaspa kañay. <span fgcolor="#ff0000">Propagarse fuego.</span>\n<span fgcolor="#a403fb">- Urqupi ischu kañasqay mismichkan.</span>\n<span fgcolor="#0000ff">- La paja que quemé en la puna se propaga.</span>
mita	Ima pachapas. <span fgcolor="#ff0000">Época, tiempo.</span>\n<span fgcolor="#a403fb">- Paray mitañam.</span>\n<span fgcolor="#0000ff">- Es época de lluvia.</span>
mitay	<span fgcolor="#228B22">(s).</span> Wawa aka waranta nuyuchakurquptin huk ratapawan churay. <span fgcolor="#ff0000">Pañal del bebé.</span>\n<span fgcolor="#a403fb">- Wawapa mitanta haywamuway.</span>\n<span fgcolor="#0000ff">- Alcánzame el pañal de la bebé.</span>
mitu	<span fgcolor="#228B22">(s).</span> Yakuwan chapusqa allpa. Turu, ñiqi, llinka. <span fgcolor="#ff0000">Barro.</span>\n<span fgcolor="#a403fb">- Ñanqa mitullañam kachkan.</span>\n<span fgcolor="#0000ff">- El camino está lleno de barro.</span>
miyu	<span fgcolor="#228B22">(s).</span> Wañuchiq hampi. <span fgcolor="#ff0000">Veneno.</span>\n<span fgcolor="#a403fb">- Puriq allqukunaman miyuta mikurqachinku.</span>\n<span fgcolor="#0000ff">- Envenenaron a los perros callejeros.</span>
muchay	<span fgcolor="#228B22">(r).</span> Simipura laqanakuspa kuyanakuy; simiwan imatapas «chuq» nichiy. <span fgcolor="#ff0000">Besar.</span>\n<span fgcolor="#a403fb">- Makiykita muchaykusqayki.</span>\n<span fgcolor="#0000ff">- Te besaré las manos.</span>
muchi	<span fgcolor="#228B22">(s).</span> Wirpupi uchuy punkichakuna. Suchiwanpas riqsinkum. <span fgcolor="#ff0000">Acné.</span>\n<span fgcolor="#a403fb">- Uyaypi muchikuna rikurirqusqa.</span>\n<span fgcolor="#0000ff">- Ha aparecido acné en mi rostro.</span>
muchu	<span fgcolor="#228B22">(s).</span> Kunkapa qipan; wasa kunka. Kukuti. <span fgcolor="#ff0000">Nuca.</span>\n<span fgcolor="#a403fb">- Suqta watayuq turupa muchunqa hatunsum.</span>\n<span fgcolor="#0000ff">- La nuca del toro de seis años es muy grande.</span>
muchuy	<span fgcolor="#228B22">(s).</span> Mana paramuptin kawsay pisiyasqa pacha. Unay usyay. <span fgcolor="#ff0000">Hambruna.</span>\n<span fgcolor="#a403fb">- Muchuypim uywakunapas charkiyarqun.</span>\n<span fgcolor="#0000ff">- En tiempos de hambruna los animales enflaquecen.</span>
muhu	<span fgcolor="#228B22">(s).</span> Tarpunapaq akllasqa rurukuna. <span fgcolor="#ff0000">Semilla.</span>\n<span fgcolor="#a403fb">- Muhuta rantimusun.</span>\n<span fgcolor="#0000ff">- Vamos a comprar semilla.</span>
muki	<span fgcolor="#228B22">(s).</span> Qusñi atipaptin mana samay atina. Kunkata imapas harkaptin mana samay atina. Iqipay. <span fgcolor="#ff0000">Asfixia, ahogo.</span>\n<span fgcolor="#a403fb">- Mukiwanmi wañurusqa.</span>\n<span fgcolor="#0000ff">- Había muerto con asfixia.</span>
mukiy	<span fgcolor="#228B22">(r).</span> Mana pitapas samachiy. <span fgcolor="#ff0000">Asfixiar.</span>
munay	<span fgcolor="#228B22">(r).</span> Runa masi utaq pipas imatapas waylluy. Kuyay. <span fgcolor="#ff0000">Querer.</span>\n<span fgcolor="#a403fb">- Anchatam aychata munani.</span>\n<span fgcolor="#0000ff">- Me gusta demasiado la carne.</span>
