Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Nube	Masa visible suspendida en la atmósfera, de color y densidad variable, formada por la acumulación de partículas diminutas de agua. <font color=ForestGreen><b>n.f.:</b></font> Úkoji
Yoperojobobo	Serpiente, vibora muy venenosa que vive en las bajuras, pampas y selvas. <font color=ForestGreen><b>zool.n.f.:</b></font> Úsepi
Pozas de agua	Espacio de agua detenida en los bajios, montes, cerros y pampas. <font color=ForestGreen><b>n.f.pl.:</b></font> Unekure
Diarrea	Alteración intestinal que se caracteriza por alguna enfermedad malestar estomacal que se da con mayor frecuencia, en las personas o animales.  <font color=ForestGreen><b>n.f.:</b></font> Unechkore
Mudo	Persona que tiene discapacidad física en las cuerdas vocales. No habla. <font color=ForestGreen><b>adj. n.f.m.:</b></font> Upa
Personaje mítico que tenía poderes en el pueblo trinitario	<font color=ForestGreen><b>mit.:</b></font> Chawre
Mosquitero	Ropaje. Cortina de tejido fino casi transparente, como gasa, que cuelga sobre una cama cubriéndola por completo para impedir el ingreso de insectos. <font color=ForestGreen><b>n.m.:</b></font> Chaku
Charque	Carne salada que se ha dejado secar al aire o al sol para que pierda humedad y se conserve más tiempo. <font color=ForestGreen><b>n.m.:</b></font> Cháragi
Comida	Sustancia sólida que se come y sirve de alimento <font color=ForestGreen><b>n.f.:</b></font> Charuji
Serere	Ave silvestre de la orilla de las lagunas. <font color=ForestGreen><b>zool.n.m.:</b></font> 'Chavesi
Ají	Planta herbácea americana con diferentes sabores de picante. <font color=ForestGreen><b>bot.n.m.:</b></font> 'Cheti
Cuchillo	Utensilio para cortar que consiste en una hoja de metal generalmente alargada y afilada por un solo lado, a veces puntiagudo, con un mango de metal, madera u otro material. <font color=ForestGreen><b>n.m.:</b></font> 'Chátrope
General	Pez comestible de los ríos de la Amazonía. <font color=ForestGreen><b>zool.:</b></font> 'Chugiesi
Sal	Sustancia blanca, cristalina que le da sabor a la comida. <font color=ForestGreen><b>n.f.:</b></font> 'Cheve
Mutún	Ave de color negro o gris, de montes y pampas. <font color=ForestGreen><b>zool.:</b></font> Chuni
Zorro	Animal silvestre de las pampas y ríos. <font color=ForestGreen><b>zool.n.m.f.:</b></font> Chuye
Pugilla (mosquito)	Insecto punsante mayormente que habitan en las pampas. <font color=ForestGreen><b>zool.:</b></font> Chupi
Grande	<font color=ForestGreen><b>adj.:</b></font> 'Chope
Sabayón	Insecto lombríz de tierra que se utiliza para carnada en la pesca. <font color=ForestGreen><b>zool.n.f.:</b></font> Chepi
Color verde lechuga	<font color=ForestGreen><b>n.m.adj.:</b></font> Chora
Sabalina	Pez de río con escamas muy menudas. <font color=ForestGreen><b>zool.:</b></font> Chororo
Toco / taburete	<font color=ForestGreen><b>n.m.:</b></font> Chumo
Mosca	Insecto de cuerpo negro de unos 6 mm de largo, con dos alas transparentes cruzadas de nervios. Ojos grandes y salientes, y un aparato bucal para chupar las sustancias de las que se alimenta. <font color=ForestGreen><b>zool.:</b></font> 'Chuve
Sicurí (anaconda)	Boa semi-acuática que mayormente vive en el agua de los ríos profundos. <font color=ForestGreen><b>zool.:</b></font> Churu
Chirimoya	Fruto del chirimoyo, del tamaño aproximado de una manzana, de color verde. <font color=ForestGreen><b>bot.:</b></font> Chiimoya
Mazorca	Espiga grande, formada por granos gruesos y apretados: fruta del árbol de chocolate. <font color=ForestGreen><b>bot.:</b></font> Chukrate
Árbol	Planta de tronco leñoso, grueso y elevado que se ramifica a cierta altura del suelo formando la copa: árbol del chocolate <font color=ForestGreen><b>bot.:</b></font> Chukrategie
Cabello	Pelo de la cabeza de una persona. <font color=ForestGreen><b>n.m.:</b></font> Chutmoko
Cabello	Pelo que se encuentra en un lugar o depósito. <font color=ForestGreen><b>n.m.:</b></font> Chtimkore
Cabeza	Puede ser de animal o persona encontrada en un lugar. <font color=ForestGreen><b>n.f.anat.:</b></font> 'Chtire
Sabayonera o criadero de lombrices	<font color=ForestGreen><b>adj.n.f.:</b></font> 'Cheprisi
Camino	franja de terreno donde se puede transitar. <font color=ForestGreen><b>n.m.:</b></font> 'Chene
Seno, pecho/senos, pechos	Órgano glandular de las hembras de los mamíferos que produce la leche que sirve para alimentar a las crías. <font color=ForestGreen><b>n.f.anat.pl.sing.:</b></font> Chene <font color=purple>/</font> cheñono
Redondo	Objeto que tiene forma circular o esférica. <font color=ForestGreen><b>adj.:</b></font> 'Choyoro
Turbio	Agua de ríos, lagunas que están alterado por una cosa que le quita la transparencia o la claridad. También se utiliza para referirse a otros líquidos. <font color=ForestGreen><b>adj.:</b></font> Chipyomo
Sucio	Que no cuida su higiene personal, o descuida la limpieza de su ropa o de sus cosas. <font color=ForestGreen><b>adj.:</b></font> Chípeji
Persona sucia	Personas que están sucias por trabajo, borrachera, etc. <font color=ForestGreen><b>adj.:</b></font> Chípe'o
Salmuera	Agua saturada de sal. <font color=ForestGreen><b>n.f.:</b></font> 'Chevyomo
Tarope	Planta acuática que tiene forma deslumbrante. <font color=ForestGreen><b>bot.:</b></font> 'Cheveji
Taropal	Lugar de taropes, en lagunas o en ríos. <font color=ForestGreen><b>bot.:</b></font> 'Chevejikre
Enano / pequeño	Persona o animal de baja estatura. <font color=ForestGreen><b>adj.n.f.m.:</b></font> 'Chichchu
Excremento	Materia compuesta de residuos de alimento que el organismo elimina por el ano tras haber hecho la digestión. <font color=ForestGreen><b>n.m.:</b></font> 'Chigi
Tigre/jaguar	Mamífero felino feroz, temible; que viven en los bosques amazónicos. <font color=ForestGreen><b>zool.:</b></font> 'Chini
Machetero	Persona que baila la danza típica del machetero, baile propio del Beni. <font color=ForestGreen><b>n.m.:</b></font> Chriperu
Carachupa	Animal mamífero marsupial, omnívoro y nocturno del monte que ataca a los gallineros. <font color=ForestGreen><b>zool.n.f.:</b></font> Chrisi
Morral, mochila, bolsón	Sirve para llevar alimento, material, etc. <font color=ForestGreen><b>n.f.:</b></font> Chmoro
Pez Raya	Similar a la raya de tamaño gigante que vive en aguas profundas. <font color=ForestGreen><b>zool.:</b></font> Chrumere
Verde retoño	Color verde retoño: liñada, soga, cable, etc <font color=ForestGreen><b>adj.:</b></font> Chorapi
Peto o avispa	Insecto que segrega liquido que causa dolor fuerte al picar. <font color=ForestGreen><b>zool.:</b></font> Jane
Fécula de chivé	Alimento elaborado de la yuca, propio de la Amazonia. Harina de yuca. <font color=ForestGreen><b>n.f.:</b></font> Jarina
Afirmación / verdad	<font color=ForestGreen><b>n.f.:</b></font> Je'chu
Pez	Animal vertebrado acuático provisto de aletas, con el cuerpo generalmente cubierto de escamas, respira por branquias y se reproduce por huevos. <font color=ForestGreen><b>zool.:</b></font> Jimo
Pescado preparado para el consumo humano	<font color=ForestGreen><b>n.f.:</b></font> Jimueche
Culebra / chicotillo	Reptil que tiene la forma de un chicotillo que ataca con su cola como chicoteando. <font color=ForestGreen><b>zool.:</b></font> Jimtsugi
Raya	Familia de los peces, es acuático, tiene forma redondeada. <font color=ForestGreen><b>zool.:</b></font> 'Jínomo
Vestido	Prenda de vestir de una dama que encuentra en un lugar especifico. <font color=ForestGreen><b>n.m.:</b></font> Jmú'i
Ictiófago(a)	Persona, animal o ave que le gusta comer carne de pescado. <font color=ForestGreen><b>adj.zool.:</b></font> Jimomore
Uña	Placa cornea dura que protege la parte superior de la punta de los dedos del hombre y de otros vertebrados. <font color=ForestGreen><b>n.f.:</b></font> Jipño
Chiriguano	Tipo de peto o avispa que pica y posee un aguijón que provoca picaduras muy dolorosas. <font color=ForestGreen><b>zool.:</b></font> Jisgi
Ambaibo	Árbol que crece cerca de los ríos y bosques de la región amazónica. <font color=ForestGreen><b>bot.:</b></font> Joyno
Horno	Aparato elaborado de barro o ladrillo para la cocción de pan de arroz, pan, carne, etc. <font color=ForestGreen><b>n.m.:</b></font> Joono
Barriga	Vientre, cavidad abdominal de los vertebrados que contiene diversos órganos del cuerpo. <font color=ForestGreen><b>anat.n.f.:</b></font> Ju'e
Baboso	Persona o animal que echan baba por la boca. <font color=ForestGreen><b>adj.:</b></font> Juve
Pava campanilla	Ave que vive en las selvas y pampas que se alimenta de frutas e insectos. <font color=ForestGreen><b>zool.:</b></font> Juvi
Ahora	Indica el momento mismo en el que se habla, está o escribe. <font color=ForestGreen><b>adv.t.:</b></font> Juiti.  <font color=purple>Ej.</font> Ahora, llegamos a Trinidad. <font color=purple>/</font> <font color=blue>Juiti vitekpoyre te trinra.</font>
Más un rato	<font color=ForestGreen><b>loc.adv.:</b></font> Juitney'e.  <font color=purple>Ej.</font> Voy mas rato a la casa. <font color=purple>/</font> <font color=blue>Juitney'e nñonño te peti.</font>
Ahorita	Indica un momento muy próximo al presente, inmediatamente antes o después del momento que se habla, está o escribe. <font color=ForestGreen><b>adv.t.:</b></font> Juitrichu.  <font color=purple>Ej.</font> Ahorita voy. <font color=purple>/</font> <font color=blue>Juitrichu nutekyo.</font>
Jueves	Cuarto día de la semana. <font color=ForestGreen><b>n.m.:</b></font> Juévesi
¡Andá traé!	Orden de una persona a otra de que tiene que traer algún objeto. <font color=ForestGreen><b>vtr.imper.:</b></font> Jvejna
Urupé	Cernidor que sirve para apartar del grano más grande a los más menudos. <font color=ForestGreen><b>n.m.:</b></font> Jremo
Estrella	Astro o cuerpo celeste que brilla con luz propia en el firmamento. <font color=ForestGreen><b>n.f.:</b></font> Jraeegi
Canastilla	Cesta pequeña de mimbre utilizada por las señoras para sacudir el algodón para que salga la suciedad. <font color=ForestGreen><b>n.f.:</b></font> Jre'i
Calzonsillo / calzón	Ropa interior. En idioma trinitario la misma palabra es usada para los dos géneros de ropa. <font color=ForestGreen><b>n.m.:</b></font> Kaasonsiyu
Camote	Planta trepadora comestible dulce de color amarillo, blanco y morado. <font color=ForestGreen><b>bot.:</b></font> Kaere
Camisa	Prenda de vestir. <font color=ForestGreen><b>n.f.:</b></font> Kamisa
Catalina	Nombre de persona de sexo femenino. <font color=ForestGreen><b>n.:</b></font> Katarina
Carretón	Medio de transporte elaborado de madera que es jalado por bueyes. <font color=ForestGreen><b>n.m.:</b></font> Kareta
Tucura	Grillo. Insecto que vive en los montes, pampa y yomomo. <font color=ForestGreen><b>zool.:</b></font> Katsa
Café	Semilla del cafeto. <font color=purple>/</font> También se utiliza para referirse al color café. <font color=ForestGreen><b>bot.n.m.:</b></font> Kajve
Plátano	Fruto del platanero. Comestible. <font color=ForestGreen><b>bot.n.m.:</b></font> Keeno
Penga del plátano	Conjunto de frutos que están sostenidos por un mismo tallo. <font color=ForestGreen><b>n.m.:</b></font> Keenochowa
Raíz del plátano	Órgano de la planta, desprovisto de hojas y generalmente introducido en la tierra. <font color=ForestGreen><b>bot.n.m.:</b></font> Keenochpu
Hoja de plátano	<font color=ForestGreen><b>bot.n.f.:</b></font> Keenopoko
Conejo silvestre	Animal mamífero de la selva y monte. <font color=ForestGreen><b>zool.:</b></font> Kaeiji
Pala	Herramienta utilizada para carpir, cavar. <font color=ForestGreen><b>n.f.:</b></font> Kaeicha (kicha)
Querosén	Líquido inflamable. Combustible. <font color=ForestGreen><b>n.m.:</b></font> Kirosena
Chuchió	Planta gramínea perenne, cuyo tallo puede alcanzar hasta 10 m de altura. Crece en las orillas de algunos ríos. <font color=ForestGreen><b>bot.:</b></font> Krino
Clase formada por aves	<font color=ForestGreen><b>zool.:</b></font> Koyre
Luna / Mes	Astro, satélite natural de la Tierra, que gira alrededor de ella y refleja la luz del Sol. <font color=ForestGreen><b>n.f.:</b></font> Koje
Guayabochi	Árbol maderable. <font color=ForestGreen><b>bot.:</b></font> Kojegie
Algodón	Planta. Fibra natural que se obtiene del algodón y se utiliza en industria textil. <font color=ForestGreen><b>bot.:</b></font> Kjoregie
Motacusillo	Variedad de la planta del guineo comestible. <font color=ForestGreen><b>bot.:</b></font> Kochigira
Pacai	Fruta propia de América del Sur. Fruto dulce. <font color=ForestGreen><b>bot.:</b></font> Kópopi
Caña	Caña de tallo leñoso que está lleno de un tejido esponjoso y dulce del que se extrae el azúcar. <font color=ForestGreen><b>bot.:</b></font> 'Kuteno
Yuca	Tubérculo comestible. <font color=ForestGreen><b>bot.:</b></font> Kujpa
Hormiga	Variedad exclusiva de hormiga. <font color=ForestGreen><b>zool.:</b></font> Kchiru
Achachairú	Planta y fruto exótico de la Amazonia. <font color=ForestGreen><b>bot.:</b></font> Kchicheru
Cusiré	Tubérculo de color morado y blaco comestible. <font color=ForestGreen><b>bot.:</b></font> Ktsire
Clavo	Material de acero exclusivo para clavar cosas. <font color=ForestGreen><b>n.m.:</b></font> Krawo
Tucán	Ave pico grande de las pampas de mojos. <font color=ForestGreen><b>zool.:</b></font> Knore
Cuervo	Ave solitaria, omnívora, monógama de río. <font color=ForestGreen><b>zool.:</b></font> Ktino
Lagarto	Reptil que vive en los ríos y lagunas. <font color=ForestGreen><b>zool.:</b></font> Kjiure
Anguila	Pez con cuerpo de serpiente. Vive en los ríos y lagunas de la Amazonía. <font color=ForestGreen><b>zool.:</b></font> Ktírepi
Bagre	Pez del río muy común del Mamoré y otros ríos. <font color=ForestGreen><b>zool.:</b></font> Ktoru
Curichi	Espacios de acumulados de agua donde especies de plantas como el junco viven. <font color=ForestGreen><b>n.m.coloq.:</b></font> Kricheji
Bagre	Especie de Bagres o pez de color cristalino, pardusco dependiendo del color de agua. <font color=ForestGreen><b>zool.:</b></font> Kyúrare
Hoja de chuchió	Especie de hierba que sirve para elaborar artesanía y techos de casa. <font color=ForestGreen><b>bot.:</b></font> Krinopoko
Totaí	Árbol de palmera que crece en las pampas de la Amazonía. <font color=ForestGreen><b>bot.:</b></font> Kyara
Tejón	Mamífero, carnívoro, silvestre de las selvas. <font color=ForestGreen><b>zool.:</b></font> Kpeji
Tucancillo	Ave mediana de las pampas y selvas de la Amazonía. <font color=ForestGreen><b>zool.:</b></font> ktso'i
Ciervo	Mamífero rumiante, silvestre que vive en los pantanos. Yom omales de la Amazonía. <font color=ForestGreen><b>zool.:</b></font> Kjowo
Marayaú	Plantas con espinas que crecen en las selvas y montes. <font color=ForestGreen><b>bot.:</b></font> Kyagi
Pájaro Carpintero	Ave silvestre de las selvas y pampas. <font color=ForestGreen><b>zool.:</b></font> Kyowre
Carayana	Seudónimo o apodo a los grupos de poder no considerados indígenas. Descendientes de los españoles. <font color=ForestGreen><b>adj.coloq.:</b></font> Króyono
Plato	Utensilio de cocina útil para servir los alimentos. <font color=ForestGreen><b>n.m.:</b></font> Krujo
Doradillo	Pez que habita mayormente en las cachuelas de los ríos. <font color=ForestGreen><b>zool.:</b></font> Krujpangi
Puerto	Lugar de desembarco de barcos, canoas, pontones o también se utiliza para referirnos a un cruzadero. <font color=ForestGreen><b>n.m.:</b></font> Kwooku
Caballo	Mamífero herbívoro doméstico útil para transporte y la ganadería. <font color=ForestGreen><b>zool.:</b></font> Kwoyu
Buey caballo	Buey que es utilizado como caballo que es útil para transporte y carga. <font color=ForestGreen><b>zool.:</b></font> Kwoysumu
Mata caballo	Insecto casi parecido a la tucura, que vive en las pampas, bajío. <font color=ForestGreen><b>zool.:</b></font> Kwoyette
Cuchara	Utensilio que sirve para llevar los alimentos a la boca. <font color=ForestGreen><b>n.f.:</b></font> Kchara
Su estómago	Meme: <font color=ForestGreen><b>n.f.coloq.:</b></font> Mamá <font color=purple>/</font> señora. <font color=ForestGreen><b>adj.dem.:</b></font> Mami
También	persona que participó en algún hecho, trabajo o acontecimiento. <font color=ForestGreen><b>adv.afirm.:</b></font> Mamuire.  <font color=purple>Ej.</font> <font color=blue>Mamuire emjaa'i te t-semkokompo.</font> <font color=purple>/</font> También él estaba presente en la discusión. 
Lo llevará	Persona que se encargara de llevar o traer a una persona, animal o cosa. <font color=ForestGreen><b>vtr.:</b></font> Mamyore.  <font color=purple>Ej.</font> <font color=blue>Mamyore ma napyaru to pkure.</font> <font color=purple>/</font> Mi tío va a llevar/traer la canoa.
¡Lo encontró!	Persona que encuentra a otra persona, animal o cosa. <font color=ForestGreen><b>vtr.excl.:</b></font> Maroto
Chuturubí	Peto avispa de color rojizo negro que su picada es dolorida. <font color=ForestGreen><b>zool.:</b></font> Máchosi
Su hijo	Se utiliza para referirse al hijo de un hombre. <font color=ForestGreen><b>adj.dem.:</b></font> Machicha
Manteca	Grasa extraía de animal o de pescado grasoso. <font color=ForestGreen><b>n.f.:</b></font> Mateka
