acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
jorz̈	<font color=#2E8B57>ESP:</font> tronar de lejos\n<font color=blue>AYM:</font> q'ixuña\n<font color=#FF8C00>ENG:</font> to thunder far away
josi	<font color=#2E8B57>ESP:</font> casi\n<font color=blue>AYM:</font> ña\n<font color=#FF8C00>ENG:</font> almost
josipan	<font color=#2E8B57>ESP:</font> casi no más\n<font color=blue>AYM:</font> ñapini\n<font color=#FF8C00>ENG:</font> almost (more emphatic)
jotz	<font color=#2E8B57>ESP:</font> vomitar\n<font color=blue>AYM:</font> lansuña\n<font color=#FF8C00>ENG:</font> to vomit
juc'anti	<font color=#2E8B57>ESP:</font> peor\n<font color=blue>AYM:</font> juk'anti\n<font color=#FF8C00>ENG:</font> worse
juc'anti	<font color=#2E8B57>ESP:</font> mucho\n<font color=blue>AYM:</font> juk'anti\n<font color=#FF8C00>ENG:</font> a lot of
jucu	<font color=#2E8B57>ESP:</font> buho\n<font color=blue>AYM:</font> juku\n<font color=#FF8C00>ENG:</font> a large owl
julz	<font color=#2E8B57>ESP:</font> sentarse\n<font color=blue>AYM:</font> q'untasiña\n<font color=#FF8C00>ENG:</font> to sit down
juntantiz	<font color=#2E8B57>ESP:</font> reunir\n<font color=blue>AYM:</font> aptapiña, tantaña\n<font color=#FF8C00>ENG:</font> to gather
juntaz	<font color=#2E8B57>ESP:</font> reunirse\n<font color=blue>AYM:</font> tantasiña\n<font color=#FF8C00>ENG:</font> to meet
juntiz	<font color=#2E8B57>ESP:</font> recoger, juntar\n<font color=blue>AYM:</font> juntaña\n<font color=#FF8C00>ENG:</font> to gather, to assemble
juntuñ	<font color=#2E8B57>ESP:</font> encima, sobre\n<font color=blue>AYM:</font> uka patana\n<font color=#FF8C00>ENG:</font> on top of, above
juñi	<font color=#2E8B57>ESP:</font> madeja de lana\n<font color=blue>AYM:</font> juñi\n<font color=#FF8C00>ENG:</font> skein of yarn/wool
juñi	<font color=#2E8B57>ESP:</font> rio con poca agua\n<font color=blue>AYM:</font> juk'a umallaniki jawira\n<font color=#FF8C00>ENG:</font> shallow river, stream
juñilla	<font color=#2E8B57>ESP:</font> charco de agua\n<font color=blue>AYM:</font> qhuchi\n<font color=#FF8C00>ENG:</font> pool of water
juñtunkaz	<font color=#2E8B57>ESP:</font> encima no más\n<font color=blue>AYM:</font> patanpini\n<font color=#FF8C00>ENG:</font> only on top (more emphatic)
jura	<font color=#2E8B57>ESP:</font> oveja de dos años\n<font color=blue>AYM:</font> jura\n<font color=#FF8C00>ENG:</font> two year old sheep
juramintu	<font color=#2E8B57>ESP:</font> juramento\n<font color=blue>AYM:</font> juramintu\n<font color=#FF8C00>ENG:</font> oath
juratura	<font color=#2E8B57>ESP:</font> borrador\n<font color=blue>AYM:</font> wurarura\n<font color=#FF8C00>ENG:</font> eraser
jurmali	<font color=#2E8B57>ESP:</font> formal\n<font color=blue>AYM:</font> jurmala\n<font color=#FF8C00>ENG:</font> formal
jurmaz	<font color=#2E8B57>ESP:</font> formar\n<font color=blue>AYM:</font> jurmaña\n<font color=#FF8C00>ENG:</font> to form
jurnu	<font color=#2E8B57>ESP:</font> horno\n<font color=blue>AYM:</font> jurnu\n<font color=#FF8C00>ENG:</font> oven
juruna	<font color=#2E8B57>ESP:</font> hurón\n<font color=blue>AYM:</font> juruna\n<font color=#FF8C00>ENG:</font> ferret
jurz	<font color=#2E8B57>ESP:</font> recoger\n<font color=blue>AYM:</font> aptapiña\n<font color=#FF8C00>ENG:</font> to gather (by scraping together)
jurz	<font color=#2E8B57>ESP:</font> borrar\n<font color=blue>AYM:</font> wursuña\n<font color=#FF8C00>ENG:</font> to erase
juuri	<font color=#2E8B57>ESP:</font> vapor\n<font color=blue>AYM:</font> samaña, juri\n<font color=#FF8C00>ENG:</font> steam, vapor, breath in winter
juuriz	<font color=#2E8B57>ESP:</font> hacer vapor\n<font color=blue>AYM:</font> juriyaña\n<font color=#FF8C00>ENG:</font> to steam
juuz	<font color=#2E8B57>ESP:</font> jueves\n<font color=blue>AYM:</font> juywisa\n<font color=#FF8C00>ENG:</font> Thursday
juyza	<font color=#2E8B57>ESP:</font> juez\n<font color=blue>AYM:</font> juwisa\n<font color=#FF8C00>ENG:</font> judge
juyzu	<font color=#2E8B57>ESP:</font> juicio\n<font color=blue>AYM:</font> juyshu\n<font color=#FF8C00>ENG:</font> judgment
juztaz	<font color=#2E8B57>ESP:</font> gustar\n<font color=blue>AYM:</font> yustaña, munaña\n<font color=#FF8C00>ENG:</font> to like
juztaz c̈heri = amantaz	<font color=#2E8B57>ESP:</font> gustar mucho (comida)\n<font color=blue>AYM:</font> anch (manq'a) munaña\n<font color=#FF8C00>ENG:</font> to greatly enjoy (food)
juzturu	<font color=#2E8B57>ESP:</font> tranquilamente\n<font color=blue>AYM:</font> suma sumaki\n<font color=#FF8C00>ENG:</font> calmly, slowly
jwakz	<font color=#2E8B57>ESP:</font> aullar\n<font color=blue>AYM:</font> awllaña\n<font color=#FF8C00>ENG:</font> to howl
jwala	<font color=#2E8B57>ESP:</font> llama\n<font color=blue>AYM:</font> qarwa\n<font color=#FF8C00>ENG:</font> llama
jweranz	<font color=#2E8B57>ESP:</font> envolver con pita o lazo\n<font color=blue>AYM:</font> khuyt'aña\n<font color=#FF8C00>ENG:</font> to wrap with rope or string
jwers	<font color=#2E8B57>ESP:</font> desamarrarse\n<font color=blue>AYM:</font> jarartapisiña\n<font color=#FF8C00>ENG:</font> to become untied
jwerz	<font color=#2E8B57>ESP:</font> amarrar\n<font color=blue>AYM:</font> chinuraña\n<font color=#FF8C00>ENG:</font> to tie
jwes	<font color=#2E8B57>ESP:</font> sacar\n<font color=blue>AYM:</font> apsuña\n<font color=#FF8C00>ENG:</font> to take out
jwes	<font color=#2E8B57>ESP:</font> criar niños\n<font color=blue>AYM:</font> wawa uywaña\n<font color=#FF8C00>ENG:</font> to raise children
jwetz	<font color=#2E8B57>ESP:</font> cavar\n<font color=blue>AYM:</font> alliña\n<font color=#FF8C00>ENG:</font> to dig
jwiipi	<font color=#2E8B57>ESP:</font> llovizna\n<font color=blue>AYM:</font> chhullchha\n<font color=#FF8C00>ENG:</font> drizzle
jwijtz	<font color=#2E8B57>ESP:</font> frotar\n<font color=blue>AYM:</font> qaquña\n<font color=#FF8C00>ENG:</font> to rub
jwijtz	<font color=#2E8B57>ESP:</font> escribir puntos, sacar punta\n<font color=blue>AYM:</font> arichaña\n<font color=#FF8C00>ENG:</font> to write dots, to sharpen
kaakaañi	<font color=#2E8B57>ESP:</font> llorón\n<font color=blue>AYM:</font> jachiri, q'asiri\n<font color=#FF8C00>ENG:</font> crybaby
kaana	<font color=#2E8B57>ESP:</font> montón de cereales\n<font color=blue>AYM:</font> qäna\n<font color=#FF8C00>ENG:</font> pile of cereals/grains
kaata	<font color=#2E8B57>ESP:</font> crudo\n<font color=blue>AYM:</font> ch'uqi\n<font color=#FF8C00>ENG:</font> raw
kaaz	<font color=#2E8B57>ESP:</font> llorar\n<font color=blue>AYM:</font> jachaña\n<font color=#FF8C00>ENG:</font> to cry, to weep
kaaz	<font color=#2E8B57>ESP:</font> alzar y llevar\n<font color=blue>AYM:</font> apaña, ichuña, aptaña\n<font color=#FF8C00>ENG:</font> to lift and carry
kajja	<font color=#2E8B57>ESP:</font> deuda\n<font color=blue>AYM:</font> manu\n<font color=#FF8C00>ENG:</font> debt
kajkz	<font color=#2E8B57>ESP:</font> volver al pueblo después del trabajo en el campo\n<font color=blue>AYM:</font> markar kutiña\n<font color=#FF8C00>ENG:</font> to return to the village after working in the fields
kajkz	<font color=#2E8B57>ESP:</font> pasar un río\n<font color=blue>AYM:</font> pasaña\n<font color=#FF8C00>ENG:</font> to cross a river
kajma	<font color=#2E8B57>ESP:</font> el próximo año\n<font color=blue>AYM:</font> qhipa mara\n<font color=#FF8C00>ENG:</font> next year
kajz	<font color=#2E8B57>ESP:</font> fiar\n<font color=blue>AYM:</font> phiyaña\n<font color=#FF8C00>ENG:</font> to sell on credit
kakju	<font color=#2E8B57>ESP:</font> huaco (ave color plomo que come pez)\n<font color=blue>AYM:</font> waku\n<font color=#FF8C00>ENG:</font> Black-crowned Night-Heron (gray bird that eats fish)
kala	<font color=#2E8B57>ESP:</font> apretado\n<font color=blue>AYM:</font> mat'i, qala\n<font color=#FF8C00>ENG:</font> tight
kalachuca	<font color=#2E8B57>ESP:</font> gaviota\n<font color=blue>AYM:</font> qillwa, qiwña\n<font color=#FF8C00>ENG:</font> seagull
kalpa	<font color=#2E8B57>ESP:</font> ave acuática negra\n<font color=blue>AYM:</font> suqa\n<font color=#FF8C00>ENG:</font> a black waterbird (red beak and small red crest)
kalu	<font color=#2E8B57>ESP:</font> leña verde\n<font color=blue>AYM:</font> ch'uxña t'ula\n<font color=#FF8C00>ENG:</font> green firewood
kallachi	<font color=#2E8B57>ESP:</font> lana cruda\n<font color=blue>AYM:</font> t'arwa llawirata\n<font color=#FF8C00>ENG:</font> crude wool
kalltiz	<font color=#2E8B57>ESP:</font> empezar\n<font color=blue>AYM:</font> qallantaña\n<font color=#FF8C00>ENG:</font> to begin, to start
kallz	<font color=#2E8B57>ESP:</font> comenzar a usar\n<font color=blue>AYM:</font> qalltaña\n<font color=#FF8C00>ENG:</font> to start to use
kamaña	<font color=#2E8B57>ESP:</font> tipo de vida\n<font color=blue>AYM:</font> qamaña\n<font color=#FF8C00>ENG:</font> lifestyle, way of life
kamiri	<font color=#2E8B57>ESP:</font> frazada gruesa\n<font color=blue>AYM:</font> ikiña, jant'uku, kurjirura, qamiri\n<font color=#FF8C00>ENG:</font> thick blanket
kamz	<font color=#2E8B57>ESP:</font> descansar del trabajo\n<font color=blue>AYM:</font> samaraña\n<font color=#FF8C00>ENG:</font> to take a break from work
kanz	<font color=#2E8B57>ESP:</font> contar\n<font color=blue>AYM:</font> jakhuña\n<font color=#FF8C00>ENG:</font> to count
kañawi	<font color=#2E8B57>ESP:</font> cañahua, quinua pequeña\n<font color=blue>AYM:</font> qañawi\n<font color=#FF8C00>ENG:</font> small variety of quinoa
kapjjatz	<font color=#2E8B57>ESP:</font> zurcir, juntar hilos\n<font color=blue>AYM:</font> ch'ukjaña, t'irt'aña, paytaña\n<font color=#FF8C00>ENG:</font> to darn, to join threads
kara	<font color=#2E8B57>ESP:</font> peine de raíces\n<font color=blue>AYM:</font> chhaxraña\n<font color=#FF8C00>ENG:</font> comb made of roots
kara	<font color=#2E8B57>ESP:</font> raíz dura para tocar guitarra/mandolina, plectro\n<font color=blue>AYM:</font> chhaxraña\n<font color=#FF8C00>ENG:</font> hard root to strike cords (guitar pick)
karachi	<font color=#2E8B57>ESP:</font> sarna (animales)\n<font color=blue>AYM:</font> qarachi\n<font color=#FF8C00>ENG:</font> mange
kari	<font color=#2E8B57>ESP:</font> madriguera\n<font color=blue>AYM:</font> putu\n<font color=#FF8C00>ENG:</font> burrow of an animal (undergroud), hole
karu	<font color=#2E8B57>ESP:</font> cuerda de paja\n<font color=blue>AYM:</font> phala\n<font color=#FF8C00>ENG:</font> cord of straw
karz	<font color=#2E8B57>ESP:</font> hacer cuerda de paja\n<font color=blue>AYM:</font> phalaña\n<font color=#FF8C00>ENG:</font> to make a cord of straw
katchi	<font color=#2E8B57>ESP:</font> perdido\n<font color=blue>AYM:</font> chhaqhata\n<font color=#FF8C00>ENG:</font> lost
katwenz	<font color=#2E8B57>ESP:</font> pasado mañana\n<font color=blue>AYM:</font> payüru\n<font color=#FF8C00>ENG:</font> day after tomorrow
katz	<font color=#2E8B57>ESP:</font> poner (sol), desaparecer\n<font color=blue>AYM:</font> mantaña\n<font color=#FF8C00>ENG:</font> to set (sun), to disappear
katz	<font color=#2E8B57>ESP:</font> perder\n<font color=blue>AYM:</font> chhaqhaña\n<font color=#FF8C00>ENG:</font> to lose
kawanz	<font color=#2E8B57>ESP:</font> hilar\n<font color=blue>AYM:</font> qapuña\n<font color=#FF8C00>ENG:</font> to spin threads
kawñi	<font color=#2E8B57>ESP:</font> hilo, kaito\n<font color=blue>AYM:</font> q'aytu\n<font color=#FF8C00>ENG:</font> thread
kayka	<font color=#2E8B57>ESP:</font> tendón\n<font color=blue>AYM:</font> anku\n<font color=#FF8C00>ENG:</font> tendon
kayra	<font color=#2E8B57>ESP:</font> hilo/alambre fuerte\n<font color=blue>AYM:</font> thuru ch'anka\n<font color=#FF8C00>ENG:</font> strong thread/wire
kayra	<font color=#2E8B57>ESP:</font> persona fuerte\n<font color=blue>AYM:</font> thuru jaqi\n<font color=#FF8C00>ENG:</font> strong person
kayranca	<font color=#2E8B57>ESP:</font> cocinerito (pájaro)\n<font color=blue>AYM:</font> jamach'i\n<font color=#FF8C00>ENG:</font> a small bird with black head and body and brownish back
kaz	<font color=#2E8B57>ESP:</font> solamente\n<font color=blue>AYM:</font> -ki, ukqaliqaki\n<font color=#FF8C00>ENG:</font> only
kaz	<font color=#2E8B57>ESP:</font> ponerse de acuerdo\n<font color=blue>AYM:</font> parlaña\n<font color=#FF8C00>ENG:</font> to reach an agreement
kaza	<font color=#2E8B57>ESP:</font> pato real\n<font color=blue>AYM:</font> qamqatu\n<font color=#FF8C00>ENG:</font> kind of duck
kazi	<font color=#2E8B57>ESP:</font> cuello\n<font color=blue>AYM:</font> kunka\n<font color=#FF8C00>ENG:</font> neck
kekara	<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (negro/café y blanco)\n<font color=blue>AYM:</font> qhiqhara\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (black/brown and white)
kichi	<font color=#2E8B57>ESP:</font> orejas que paran rectas\n<font color=blue>AYM:</font> jinchu sayt'ata\n<font color=#FF8C00>ENG:</font> ears that stick straight out
kichi kichi	<font color=#2E8B57>ESP:</font> diseño de zigzag en tejidos\n<font color=blue>AYM:</font> llink'u llink'u\n<font color=#FF8C00>ENG:</font> zigzag pattern in weaving
kichjaz	<font color=#2E8B57>ESP:</font> pelear\n<font color=blue>AYM:</font> nuwasiña\n<font color=#FF8C00>ENG:</font> to fight, to quarrel
kiiñi	<font color=#2E8B57>ESP:</font> persona encargada\n<font color=blue>AYM:</font> jaytata\n<font color=#FF8C00>ENG:</font> person in charge
killwa	<font color=#2E8B57>ESP:</font> combinación de dos colores de llama (negro y blanco)\n<font color=blue>AYM:</font> qillwa\n<font color=#FF8C00>ENG:</font> combination of two colors on llama (black and white)
kincha	<font color=#2E8B57>ESP:</font> corral de leña\n<font color=blue>AYM:</font> uyu t'ula\n<font color=#FF8C00>ENG:</font> corral made of firewood
kiñwa	<font color=#2E8B57>ESP:</font> tipo de árbol\n<font color=blue>AYM:</font> qiñwa\n<font color=#FF8C00>ENG:</font> kind of tree
kiri	<font color=#2E8B57>ESP:</font> chancho mediano\n<font color=blue>AYM:</font> maltuna\n<font color=#FF8C00>ENG:</font> medium-sized pig
kis	<font color=#2E8B57>ESP:</font> mover\n<font color=blue>AYM:</font> jiruña\n<font color=#FF8C00>ENG:</font> to move
kis	<font color=#2E8B57>ESP:</font> cocinar\n<font color=blue>AYM:</font> phayaña\n<font color=#FF8C00>ENG:</font> to cook
kiti	<font color=#2E8B57>ESP:</font> zorro\n<font color=blue>AYM:</font> lari\n<font color=#FF8C00>ENG:</font> fox
kitz	<font color=#2E8B57>ESP:</font> golpear\n<font color=blue>AYM:</font> liq'intaña\n<font color=#FF8C00>ENG:</font> to hit, to beat
kiza	<font color=#2E8B57>ESP:</font> papa\n<font color=blue>AYM:</font> ch'uqi\n<font color=#FF8C00>ENG:</font> potato
kjaach'a	<font color=#2E8B57>ESP:</font> incestuoso\n<font color=blue>AYM:</font> jaq atjiri\n<font color=#FF8C00>ENG:</font> incestuous
kjaaz	<font color=#2E8B57>ESP:</font> contestar\n<font color=blue>AYM:</font> kutt'aña\n<font color=#FF8C00>ENG:</font> to answer
kjaaz	<font color=#2E8B57>ESP:</font> resonar\n<font color=blue>AYM:</font> kutt'aña\n<font color=#FF8C00>ENG:</font> to echo
kjaazñi	<font color=#2E8B57>ESP:</font> eco\n<font color=blue>AYM:</font> qullu yatxasiri\n<font color=#FF8C00>ENG:</font> echo
kjajcz	<font color=#2E8B57>ESP:</font> descuartizar\n<font color=blue>AYM:</font> tarushnuqaña\n<font color=#FF8C00>ENG:</font> to quarter, to cut up
kjajchallz	<font color=#2E8B57>ESP:</font> hacer cosquillas\n<font color=blue>AYM:</font> qhichiliraña\n<font color=#FF8C00>ENG:</font> to tickle
kjajchi	<font color=#2E8B57>ESP:</font> comida no bien cocida\n<font color=blue>AYM:</font> qhachi\n<font color=#FF8C00>ENG:</font> under-cooked food
kjajchz	<font color=#2E8B57>ESP:</font> raspar, aplanar con azadón\n<font color=blue>AYM:</font> qhachjaña\n<font color=#FF8C00>ENG:</font> to scrape, to level with a hoe
kjajja	<font color=#2E8B57>ESP:</font> tocado por el rayo\n<font color=blue>AYM:</font> arnaqirin purita\n<font color=#FF8C00>ENG:</font> struck by a bolt of lightning
kjajpa	<font color=#2E8B57>ESP:</font> caparazón\n<font color=blue>AYM:</font> qhapaña\n<font color=#FF8C00>ENG:</font> shell, carapace
kjajpa	<font color=#2E8B57>ESP:</font> algo que cabe bien/calza bien\n<font color=blue>AYM:</font> kasantata\n<font color=#FF8C00>ENG:</font> something that fits well
kjajpz	<font color=#2E8B57>ESP:</font> cortar leña con la mano\n<font color=blue>AYM:</font> khuchuqaña\n<font color=#FF8C00>ENG:</font> to cut/break-off firewood with the hand
kjajtjachi	<font color=#2E8B57>ESP:</font> uno que rie mucho\n<font color=blue>AYM:</font> larusiri\n<font color=#FF8C00>ENG:</font> person who laughs a lot
kjajtjats	<font color=#2E8B57>ESP:</font> apretar las tramas del tejido\n<font color=blue>AYM:</font> wich'untaña\n<font color=#FF8C00>ENG:</font> to weave real tight
kjajtz	<font color=#2E8B57>ESP:</font> aplanar muro de tepes\n<font color=blue>AYM:</font> ch'ampa qhachjaña\n<font color=#FF8C00>ENG:</font> to level a wall of earth
kjaki = kutñi	<font color=#2E8B57>ESP:</font> caliente\n<font color=blue>AYM:</font> junt'u\n<font color=#FF8C00>ENG:</font> hot
kjakñi	<font color=#2E8B57>ESP:</font> carne utilizada para dar sabor a la comida\n<font color=blue>AYM:</font> xaxt'anchaña, xaxt'a\n<font color=#FF8C00>ENG:</font> piece of meat to flavor food
kjakz	<font color=#2E8B57>ESP:</font> calentar\n<font color=blue>AYM:</font> junt'uyaña\n<font color=#FF8C00>ENG:</font> to warm, to warm up
kjan	<font color=#2E8B57>ESP:</font> suegra de la esposa (+ saludo)\n<font color=blue>AYM:</font> mama\n<font color=#FF8C00>ENG:</font> mother-in-law of wife (+ greeting)
kjana	<font color=#2E8B57>ESP:</font> de día, a la luz\n<font color=blue>AYM:</font> qhana\n<font color=#FF8C00>ENG:</font> by day, by daylight
kjana	<font color=#2E8B57>ESP:</font> hablar claramente, francamente\n<font color=blue>AYM:</font> qhana\n<font color=#FF8C00>ENG:</font> to speak clearly, frankly
kjana	<font color=#2E8B57>ESP:</font> luz, claridad\n<font color=blue>AYM:</font> qhana\n<font color=#FF8C00>ENG:</font> light, brightness
kjanpacha	<font color=#2E8B57>ESP:</font> clarito\n<font color=blue>AYM:</font> qhanapacha\n<font color=#FF8C00>ENG:</font> clear
kjantati	<font color=#2E8B57>ESP:</font> el amanecer\n<font color=blue>AYM:</font> qhantati\n<font color=#FF8C00>ENG:</font> dawn, daybreak
kjantatilla	<font color=#2E8B57>ESP:</font> al amanecer\n<font color=blue>AYM:</font> qhantatilla\n<font color=#FF8C00>ENG:</font> at dawn, at daybreak
kjantatz	<font color=#2E8B57>ESP:</font> desvelar toda la noche\n<font color=blue>AYM:</font> qhanaña\n<font color=#FF8C00>ENG:</font> to stay awake all night
kjanz	<font color=#2E8B57>ESP:</font> alumbrar, brillar\n<font color=blue>AYM:</font> qhanaña\n<font color=#FF8C00>ENG:</font> to illuminate, to shine
kjañkatz	<font color=#2E8B57>ESP:</font> hacerse quitar\n<font color=blue>AYM:</font> aparayasiña\n<font color=#FF8C00>ENG:</font> to have something taken away
kjañz	<font color=#2E8B57>ESP:</font> quitar con fuerza\n<font color=blue>AYM:</font> aparaña\n<font color=#FF8C00>ENG:</font> to take away by force
kjar isñi	<font color=#2E8B57>ESP:</font> uña de dedo\n<font color=blue>AYM:</font> sillu\n<font color=#FF8C00>ENG:</font> fingernail
