a	Aka arsuxa laka manqhata arsuña sallawa.
chinta	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chintaxa jaya markanaka jisk'a jach'a jaqi saririwa. Maynixa chikt'ata yanapiri arkiri ukawa. Chinta jaqixa qarwanakampi chikt'ata mä yanapirimpi qhipata arkt'ata jaya markanaka kayuki sarapxi. Nayra pachanakaxa sunita qhirwaru yänaka qarwaru khumuntata, turkasiniñataki apnaqapxirïtayna. <font color=blue>// Achachilajaru chinta sasawa sutichapxirïtayna, kunatï nayraxa junt'u markanakaru wali sarirïtayna. </font>
chintaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mä jaqixa jaqi masipampi chikt'ata sarnaqi, kawkirusa jupampipuni irpt'ata sarnaqi, jani antutasisa. Ukhamaraki Chintañaxa uywaru kuna wiskhampisa waxrata jani ukaxa kayuta chinuntasa ch'akururu, ch'illiwarusa jani sarxañapataki katuntayañawa. <font color=blue>// Uka waka wali tuxuwa, siwararu chint'añawa. imilla, uka iwija alpharuwa chint'äta. </font>
china	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinaxa mä jaqi masipampi utana manq'a phayiri, isi t'axsuri yanapiri warmiwa. Qachu wakaruxa china sata uñt'atarakiwa. Jichha pachanxa murinu phunchhawina yaqhipa warmixa jisk'a phunu pulliritani thuqhupxi, ukawa. <font color=blue>// Uka murinu thuqhuña tama nayraqatapana chinaxa thuqhunti. Qharüruwa markajana chinaxa thuqhuntani. Chinchasuyusu inkapacha mä suyütaynawa.</font>
chinchasuyu	<font color=ForestGreen>st.</font> Pirwa markana lamara thiyana, araxana ukana jach'a sinka uraqiruwa. Chinchasuyu ukhama inka pachanxa uñt'ata. Tawantinsuyu jach'a uraqitxa Chinchasuyuxa, pusitxa,  mayïri t'aqapawa. <font color=blue>// Chinchasuyuxa wali jach'awa. </font>
chinchi	<font color=ForestGreen>st.</font> Wayk'a. <font color=ForestGreen>/</font> Chinchixa wila, q'illu, ch'ujña sayt'u janq'u chiranakani utji. Junt'u qhirwa markana achuriwa, uka achuxa k'iyatawa manq'asi. <font color=blue>// Qhirwata chinchi wayk'a apanta. Chinchimpi tumatimpi llaxwaxa wali sumawa, ququmpi manqt'asiña. <font color=purple>[Am.: Jaxu]</font></font>
chinki	<font color=ForestGreen>st.</font> Jilïri. <font color=ForestGreen>/</font> Chinkixa mä wila masita jilïri kullakawa. Tayka awki tayka wawanïpxki, ukawa. <font color=blue>// Chinki kullakajampiwa jach'a marka qhathu sarä. Mama Martinaxa taqinita chinkiwa, jupaxa wali suma chinkiwa.</font>
chinkilla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinkillaxa quta thiyanakana uywana suma manq'aña, achuwa. Uywanakana maq'aña ch'usña qhuch'i, achu. <font color=blue>// Wakanakaxa quta thiyana chinkilla wali manq'aski. // Awichujaxa chinkilla aptiriwa qutaru sari. </font>
chinu	<font color=ForestGreen>st.</font> Chinja. <font color=ForestGreen>/</font> Chinuxa awkch'i, taykch'i, qulliri, yatiri, maynina ayni apxatiri saräwinakawa. Mä istallaru kukampi ch'amachampi chint'ata wakiyata, tantachawinakaru inkuntaña, ukwa. <font color=blue>// Jiwaskama suma aruskipasiñatakixa kuka chinuxa uskuñapuniwa. // Achilajaxa kuka chinu apanitayna. </font>
chinu	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> kuna yäsa chint'ata, jani ukaxa muqucht'atawa. Chinuxa kuna ch'ankha, ch'ankhulla chint'ata, jani ukaxa muqucht'atawa. Mä tariru kuka wakicht'ataru, mirinta, kuka chinu sapxarakiwa. <font color=blue>// Wiska chinuxa janiwa jararayaskiti. Jiwaskama suma aruskipañataki kuka chinuxa apasiñasawa.</font>
chinu	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Chinuxa jakhuñanakana apnaqata, maya, paya, kimsa chinu sasa jakhutaspa. Sawuñansa chinu apnaqapxiwa. <font color=blue>// Qawqha chinunisa uka tarillamaxa. Uka awayumana walja chinunirakisä, saltapasa jiwakirakisä. Awichajaxa kimsa chinuni punchu sawu.</font>
chinu chinu	<font color=ForestGreen>st.</font> laq'u. <font color=ForestGreen>/</font> Chinu chinuxa mä jisk'a ch'umphi jalnaqiri, laq'uwa. Niya tanqa tanqa laq'jama, pankataya ukch'a, thuqhtiri jisk'a laq'uwa. Ch'uqi achuqki ukjakiwa, uka laq'uxa uñsti. <font color=blue>// Chinu chinuxa tanqa tanqjama laqhañaniwa. Jichha maraxa chinu chinu yapuru wali mantatayna. Anata phaxsina waka, qarwa, iwija willk'iñataki wiskampiwa kayunakapata chinuntaña.</font>
chinuña	<font color=ForestGreen>ar.</font> Ñach'aña. <font color=ForestGreen>/</font> Chinuñaxa wiska k'anatawa uywanakaru waxrata, kunkata katt'ayañawa. <font color=blue>// Satuku uka asnitunaka chinkatanima, siwararuwa mantani. Aka ch'iyara wakana chinuñapaxa ancha thanthawa, yaqha machaqa chinuña alaniñawa. [Am.:Yapiña]</font>
chinjasiña	<font color=ForestGreen>ar.</font> Chint'aña. <font color=ForestGreen>/</font> Chinujasiñaxa phullu, awaysa t'iphañampi t'irt'asisawa uskt'asiña, ukawa. Warminakaxa phullu katt'asipxi. <font color=blue>// Uka imillaxa janisa phullu chinjasitäkiti chhaqhayarakispa, walpuni unch'ukïta, juk'ampjaruxa chinthapisima, sätawa. Uka kullakana awayupa janiwa suma chinjasitäkiti. </font>
chintiri	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chintirixa thuquña isinaka k'achacht'iri, sawukipiri jaqiwa. <font color=blue>// Chintiri utapana kunaymana kasta kasta isinakarakisa machaqa, mirq'i tama utjataynaxä. Uka jaqixa sawutanaka sumpini chintiri. Uka warmixa kunaymani awuyu sawutanaka chintiriwa.</font>
chinthapiña	<font color=ForestGreen>ar.</font> Chint'aña. <font color=ForestGreen>/</font> Chinthapiñaxa kuna jaljata, t'aqjata payata mayaru tukuyañawa. <font color=blue>// Aka wiskha payaru jaljatarakisä, chinthapisina mayaru tukuyä. Uka iwijaxa chinuñapa t'aqjatayna, chinthapiñawa.</font>
chint'aña	<font color=ForestGreen>ar.</font> Chinthapiña. <font color=ForestGreen>/</font> Chint'añaxa kuna jaljatsa chint'asa mayaru tukuyañawa. Uywanakaru Wiskampi kayunakata jani t'ijtañapataki chint'aña. <font color=blue>// Isaku wakawa jaraqtatäna chint'anima. Uka khuchhiwa jaraqtanitayna chint'aniñawa. Jani willi williskañapatakixa awayuru apthapisa suma q'ipicht'asa chint'aña. <font color=purple>[Am.: Chintkataña, chinunaqaña]</font></font>
chinuku	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinukuxa uywanakana kunka chinuñawa. Walqanaka mayaru chint'añataki apthapita axu tukuyatawa. <font color=blue>// Uka anutaki chinuku alaniñawa. Awichajaxa waka chinuku lurarapita, situwa.</font>
chinuqa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinuqaxa mara phaxsi qalltawa; uka phaxsinwa chinu chinu laq'uwa ch'uqi yapunakana uñstaraki. Chinu chinuxa mä jisk'a ch'umphi jalnaqiri, ch'uqi chinuqiri laq'uwa. <font color=blue>// Alasitaxa pä tunka pusini uru, chinuqa phaxsi saraqatankiwa. Jilata chinu chinuwa uñstatayna. Kuna pachatï nayriri jisk'a ch'uqinaka achuqki, uka pachawa laq'unakaxa uñstiri. </font>
chinuqalla	<font color=ForestGreen>st.</font> Wathaña. <font color=ForestGreen>/</font> Chinuqallaxa jani unxtañapataki jach'a qalampi uma manqharu uskuña, ukawa. <font color=blue>// Uka chinuqalla machaqa alaniñawa. Tatajaxa janiwa suma chinuqalla alankataynati.</font>
chinuraña	<font color=ForestGreen>ar.</font> Chinkataña. <font color=ForestGreen>/</font> Chinurañaxa kunasa chinkatatäki uka jararañawa. Uywanaka mächiqaru chint'apxki, ukata ch'uxñanaka manq'ayañataki jararaña, ukawa. <font color=blue>// Yuqalla wakawa manq'ata jiwki, jararanima. Uka khuchhinaka sinti sarnaqi chinurañawa. <font color=purple>[Am.: Chint'aña]</font></font>
chinusiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chinusiñaxa, chinukipasiña chinthapisina mayaru tukuyañataki apthapiña. Ch'ankhanaka k'anthita kitthapisa chinthapiña, ukawa. <font color=blue>// Marsila, uka phulluru q'ipi chinukipasïtawa. </font>
chinusiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Anunaka chinusiri, qamaqi laq'u. Qachu, urqu anumpiwa aksa uksa wayunaktiri. <font color=blue>// Uka anuxa arumanakawa khaykata anumpi chinusiña yati. // Pampana anu annaqiriwa chinusi.</font>
chinuta	<font color=purple>[May.: ÑACH'ATA]</font> <font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chinutaxa ñach'thapisa kunasa payata mayaru tukuyatawa. Ch'akuru qala, t'ula aliru, maya muytayasa muqucht'añawa. <font color=blue>// Yunta wakaruxa waxraparu yukumpi wali chinuntaña. Mariya, wakaxa suma chinutati. </font>
chiñi	<font color=ForestGreen>st.</font> Uywa. <font color=ForestGreen>/</font> Chiñixa chhiqhani achaku ajanuru uñtani, khuchhjama lakani, aruma jalnaqiri, sarnaqiri jisk'a ñawqha laq'uwa. Ñuñuri kasta jisk'a achakjama ajanuni, q'ara juch'usa ch'iyara janchini chhiqhani, arumaxa jakkiri uywanakata wilapa ch'amsuri, laq'uwa. Chiñi wila, aycha t'uku usutakiwa. <font color=blue>// Chiñixa chinkana p'iyana thantha nayra utanakana ch'isiqiskiri. Surat'a markana chiñinakawa wali utji.</font>
chiñiju	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiñijuxa qurita, qullqita, suma k'achacht'ata luratawa. Kunaymani sawuta jiwa lurt'ata saminakani utjaraki. Jaqinakaxa ampararu kunkaru jiwaki uskusipxi, ukawa. <font color=blue>// Taykajaxa chiñiju amparajaru uchasiñataki churitu. Nayaxa chiñiju ch'ankhanakata lurasta.</font>
chiñira	<font color=ForestGreen>st.</font> Walja. <font color=ForestGreen>/</font> Chiñiraxa kuna pachatixa walja ch'uqi achuxa achuntki ukaruwa chiñira sata. <font color=blue>// Jichha maraxa llamayunxa ch'uqixa chiñirawa, janiwa manq'ata t'aqhiskañäniti. // Jichhüru nayaxa juk'aki jawasa k'ichta. <font color=purple>[Am.: Walpacha]</font></font>
chipana	<font color=ForestGreen>st.</font> Chiñiju. <font color=ForestGreen>/</font> Chipanaxa qurita, qullqita, suma k'achacht'ata ampararu kayuru ajuntayañataki luratawa. <font color=blue>// Nayra pachanxa inkanakaxa chipananipuniwa sarnaqirïtayna. Inkanakaxa chipana amparanakaparu kayunakaparu ajuntatawa sarnaqapxirïtayna.</font>
chipaya	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chipayanakaxa kunaymani nayra pacha, aruni, sarawini yatiñäni markawa. Uru Uru markana chipaya jaqinaka utjasipxi, nayra pachatpachawa utjapxatayna, uma thiyamana challwa, k'anwa apsurinakapxataynawa, ukhamaraki yapumpi uywampisa qamapxarakirïtaynaw, jupanakaxa aruni, sarnaqäwini, markawa.  <font color=blue>// Urunakaxa tuturata yänaka luririnakataynawa. Chipayanakaxa pusi aru arsupxi: chipaya, aymara, qhichhwa, kastilla arunaka. Chipaya aruxa wali suma aruwa.</font>
chipluna	<font color=ForestGreen>st.</font> Ch'ulla q'urutani. <font color=ForestGreen>/</font> Chiplunaxa uywasa jaqisa mä sapa q'urutani ukawa. Janchi manqhana purakaru lip'kata q'urutani urqu uywa. Jani urqu janiraki qachu ukhamawa. <font color=blue>// Aka iwija qalluxa chiplunarakisä, ch'ulla q'urutanikiwa jach'äxani ukaxa inamayawa muchüskani janiwa qalluchaykaspati aljxañakipunïspawa.  Uka anuxa chiplunjamarakisä, jani waliwa. <font color=purple>[Am.: Chipuna, Chipuluna, chiltu, chipuku]</font></font>
chiñiraya	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiñirayaxa kuna pachatixa mä jaqixa arusiskaki jaya jani amukt'aña muniri, ukawa. <font color=blue>// Uka jaqixa tantachawina, jupaki wali arusiskchixa, chiñiraya jaqiwa. Jach'a yatiqaña utana mä waynuchuwa utji, chiñiraya sasawa, sutichapxi.</font>
chipiña	<font color=ForestGreen>ar.</font> K'uchirt'asiña. <font color=ForestGreen>/</font> Chipiñaxa wali k'uchikïña, kusisita, llamp'u chuymakïñawa. Jaqixa taqi kunatsa wali k'uchiki sarnaqaña, ukawa. <font color=blue>// Phunchhawinxa tata Satukuxa wali chipitapiniwa thuqht'asi. Taykajaxa chipikipuniwa sarnaqt'asi. <font color=purple>[Am.: Lart'aña, jachaña]</font></font>
chipiyaña	<font color=ForestGreen>ar.</font> Kusisiyaña. <font color=ForestGreen>/</font> Chipiyañaxa mayni jaqiru llakitakïpana kusist'ayañawa. Jaqiru amutäskiriru sawkanakampi lart'ayaña. <font color=blue>// Mama Katalinaxa wali llakitawa utana qunuskatayna, ukata siwsawinaka arxayta, ukampi lart'asirakiwa. Qhathuna aljirinakaxa chipiraskiwa. <font color=purple>[Am.: Thuqhuyaña, lart'ayaña, k'uchirt'ayaña]</font></font>
chiphiña	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Pacha aru)</font> <font color=ForestGreen>/</font> Chiphiñaxa tapa kamani achuqallkasa waylla qalltañataki nayraqata ch'ijma wichhu uchañawa, ukaxa arunakäki uksaxa chikatkama ñiq'i lawitaru sunt'irayasa jani suchuqaniñapataki uchapxi, ukata saphi ukswa wañaki suma suk'antata thiyamaru uchatawa, manqhata uñkatataxa saphikiwa yatisi, ukaxa satawa punta chilla uka patxaruwa sari wayllaxa ch'ina chillampi qalltasina wayllañawa. <font color=blue>// Jichhüruxa uta achuqallañäni, markaruxa sapa mayniwa yatiyatawa, wichhu q'ipt'atawa jutapxani, sikuya wichhu apanipxaspa ukaxa walïspawa, punta chillatakiwa sikuyaxa wakisi. </font>
chiqa	<font color=purple>[May.: CHIQPA]</font> <font color=ForestGreen>st.</font> <font color=ForestGreen>(Pacha aru)</font> <font color=ForestGreen>/</font> Janiwa wist'ükiti, suma chiqapawa; lawanakaxa chiqa chiqakiwa, quqa lawaxa chiqa chiqakiwa wali munkaña. <font color=blue>// Ayllujaxa chiqaki thakhi sarañankiwa. Quqanakaxa wali wixruratawa. <font color=purple>[Aa.: Q'iwt'ata, k'umu, wixru]</font></font>
chiqa	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> Chiqpacha. <font color=ForestGreen>/</font> Chiqa jaqiwa. Chiqaxa kunsa chiqpacha arsuña, saña, jani k'arïkixa, ukawa. <font color=blue>// Tata antukuxa wali chiqa arusiri jaqiwa. Marka irpirinakaxa tantachawinakanxa chiqaki irpxarupxi. Mama Santukaxa janiwa chiqa warmïkiti, k'arisiriwa. </font>
chiqachasiña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiqachasiñaxa jaqïña kankañanxa thaqhinchasa chiqpachäñawa, amuyunsa chiqaru amuyt'aña kuna lurawinsa chiqanchaña ukawa. <font color=blue>// Marka awatiri kamanixa wali chiqaruwa sarti axsarkañpachawa. </font>
chiqpacha	<font color=ForestGreen>st.</font> Chiqa. <font color=ForestGreen>/</font> Chiqpachaxa kunasa chiqa arsuña, chiqa sañawa. <font color=blue>// Janiwa kunasa inaki arsuñäkiti chiqpacha ukhamaru puriskañapuniwa, sapxiwa. <font color=purple>[Am.: Chiqana, chiqpachïri]</font> <font color=purple>[Aa.: Q'iwt'ata, wixru, k'umu]</font></font>
chiqachaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Pacha aru)</font> chiqatatayaña. <font color=ForestGreen>/</font> Chiqachañaxa kuna wist'uptaña munkchi, maysaru q'iwtasa jathinakampi uskt'asa chiqaptayaña, k'umu yänaka khuskhaki jani akch'asa wixru tukuyasa chiqachañawa, jaqïña kankañanxa suma thakhiru irpantasa thakhiñchañawa, jani wali thakhiru saririnakaru chiqachañawa. <font color=blue>// Aka lawaxa k'umuwa, uta utachañatakixa, chiqachañäspawa. Uka jach'a lawaxa k'umutaynawa chiqachañäspawa. [Am.:Chiqa, chiqpachaña, chiqaptayaña] <font color=purple>[Aa.: Wixru, k'umu]</font></font>
chiqachaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Ajayu aru)</font>. <font color=ForestGreen>/</font> Wawanakaru, q'axu wayna tawaquru ukhamaraki jichha jaqi sasirinakarusa amuyunakampi, ch'ikhi arunakampi, jani pantjasiñapataki taqi chuyma iwxt'anakampi chiqachaña. <font color=blue>// Uka waynaxa chiqachañawa, jani walt'awinakana sarnaqaski.</font>
chiqachuyma	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> <font color=ForestGreen>/</font> Chiqachuymaxa jani sawkasisa, taqi amtanaka arsutaru phuqhaña wakt'ayañawa,. <font color=blue>// Jilaqataxa chiqa chumampi marka irpaxaru.</font>
chiqaki	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chiqakixa chiqpa sarañawa, chiqpa amuyt'aña, chiqpa arkaña suma thakhiru jani pallqtasa kunasa luraña arsuñawa. <font color=blue>// Yatichiri tataxa yatiqiri wawanakaruxa chiqpacha amuyumpi thakhichranti. <font color=purple>[Am.: Chiqa, chiqpacha, chiqanchaña, chiqachaña.]</font> <font color=purple>[Aa.: Wixrt'aña]</font></font>
chiqanchaña	<font color=ForestGreen>st.</font> Chiqa uñtayaña. <font color=ForestGreen>/</font> Chiqanchañaxa kuna jani wali luratäki uka chiqaptayaña, ayllu taypinxa thakhinaka saranaka amtanakawa utji, ukhamaru phuqhasawa ayllu taypinsa sarnaqasita, taqpacha kamachi amta qallta chiqpaptayañawa. <font color=blue>// Wawajaxa jichhakiwa panichasiski, jaqinsa yäqatañapataki thakhinchañawa wakisi. <font color=purple>[Am.: Chiqaki, chiqachaña, chiqpachaña]</font> <font color=purple>[Aa.: Wixrt'aña]</font> </font>
chiqachiri	<font color=ForestGreen>sm.</font> Chiqanchaña. <font color=ForestGreen>/</font> Chiqachirixa chiqpacha thakiru irpiri jaqiwa. <font color=blue>// Chijinkasaxa tata Salukuruwa sikht'asiña, jupawa wali chiqa amuyt'asa thakhiru irpiri. <font color=purple>[Aa.: Wist'u]</font></font>
chiqapa	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Pacha aru)</font>  <font color=ForestGreen>/</font> Chiqapaxa jani k'umükixa, jani wixrükixa, ukawa. Chiqapaxa kuna lawasa yäsa chiqakixa, ukawa. <font color=blue>// Uka timuna lawaxa chiqpati, yuntampi irnaqañatakixa chiqpawa wakisi. Uka lawaxa atimjamama k'umuwa, janiwa chiqapakiti. <font color=purple>[Am.: Chiqpa]</font> <font color=purple>[Aa.: Wixru, wist'u]</font></font>
chiqapa	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> <font color=ForestGreen>/</font> Chiqapa saña. Janiwa k'arïkiti mayjt'ayatäkisa kunjamäkiti uka pachpapuniskiwa. Jaqixa amuyuna, aruna jani k'umüki, jani wixrüki, ukawa. <font color=blue>// Uka jaqixa chiqapa aruniwa.</font>
chiqpa	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> <font color=ForestGreen>/</font> Chiqpaxa qamawina chiqapa qamaña sarnaqañawa. Chiqapa saña kuna pachasa ukhamapunïki uka pachawa. <font color=blue>// Jiwasa aymara qhichhwa markanakaxa chiqpana sarnaqapxirïtayna. Chiqpana irnaqt'askakiñäni. </font>
chiqt'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>(Pacha aru)</font> <font color=ForestGreen>/</font> Chiqt'añaxa arsutarjama, jani ukaxa amuyatarjama lurañawa, wali tantiyt'asa chiqt'añawa, jani ukaxa mä kunarusa chiqaki jaqt'aña. <font color=blue>// Suma yatirinakaxa kuna jani walinkaña, chijinkaña chiqt'apuniriwa. Suma yatirinakaxa chiqt'apxapuniwa.</font>
chiqt'ata	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> <font color=ForestGreen>/</font> Chiqt'ataxa kuna chijiru jani ukaxa kuna kusisiñaru puriñatakisa chiqt'atawa. Yäparu wali amuyumpi pachaparu wakt'ayañaxa wakisiwa. <font color=blue>// Marka tantachawinxa yaqhipa arunakaxa amuyunakarjama chiqt'apuniwa. Ququmpi puriniña amtamaxa suma chiqt'atawa.</font>
chiqt'ayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chiqt'ayañaxa kuna arsutana, lurañansa chiqaparu wakt'ayaña, aski amtaru puriyañawa. <font color=blue>// Jilata Satukuxa palamu anatañanxa chiqt'ayapuniwa. Uka awayu sawutamanxa saminakapa tinkuyañanxa suma chiqt'atapuni. </font>
chira	<font color=ForestGreen>st.</font> Ali jatha. <font color=ForestGreen>/</font> Chiraxa yaqhipa achunakana jathapa. Achunaka taypina mä jisk'a t'alphjama, sayt'jama, muruq'jama, yaqhipaxa ch'ullqhi, ali jathaxa ukawa. <font color=blue>// Wila wayk'axa walja chiranakaniwa, k'iyañatakixa apsuñapuniwa. Chirimuyaxa walja chiranakaniwa.</font>
chiraña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Chirañaxa chiranaka mä achuta chira apsuñawa. <font color=blue>// Uka wayk'axa jariqasa chirarañawa, ukata qalaruwa wayk'iña lixwjama k'iyjañawa. Ch'iraraña.</font>
