acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
ispíritu	<font color=green>ESP:</font> espíritu, alma\n<font color=blue>AYM:</font> ispiritu, alma\n<font color=orange>ENG:</font> spirit, soul
ispuyla	<font color=green>ESP:</font> espuela, espolón\n<font color=blue>AYM:</font> ispuyla\n<font color=orange>ENG:</font> spur (on boots, on birds)
isquinatu	<font color=green>ESP:</font> cuadrado\n<font color=blue>AYM:</font> iskin iskina\n<font color=orange>ENG:</font> square
ist'as	<font color=green>ESP:</font> ponerse ropa nueva\n<font color=blue>AYM:</font> istrinaña, ist'asiña, machaq isi isintasiña\n<font color=orange>ENG:</font> to put on new clothes
istutiiz	<font color=green>ESP:</font> estudiar\n<font color=blue>AYM:</font> isturyaña\n<font color=orange>ENG:</font> to study
itallapi	<font color=green>ESP:</font> ortiga\n<font color=blue>AYM:</font> ithapallu\n<font color=orange>ENG:</font> nettle
itchz	<font color=green>ESP:</font> pastear\n<font color=blue>AYM:</font> awatiña\n<font color=orange>ENG:</font> to graze
itirincu = utjuruncu	<font color=green>ESP:</font> relámpago a la distancia\n<font color=blue>AYM:</font> lliju lliju, lliphi lliphi\n<font color=orange>ENG:</font> far-away lightening
ititi	<font color=green>ESP:</font> flamenco grande\n<font color=blue>AYM:</font> jututu\n<font color=orange>ENG:</font> big flamingo
its	<font color=green>ESP:</font> cantar\n<font color=blue>AYM:</font> kirkiña\n<font color=orange>ENG:</font> to sing
itsa	<font color=green>ESP:</font> rastrojo\n<font color=blue>AYM:</font> chala\n<font color=orange>ENG:</font> stubble
itz	<font color=green>ESP:</font> cuidar\n<font color=blue>AYM:</font> awatiña\n<font color=orange>ENG:</font> to take care of
itz	<font color=green>ESP:</font> dar de mamar\n<font color=blue>AYM:</font> ñuñuyaña\n<font color=orange>ENG:</font> to let nurse
iwa	<font color=green>ESP:</font> estéril\n<font color=blue>AYM:</font> machura\n<font color=orange>ENG:</font> sterile, infertile
iwarz	<font color=green>ESP:</font> chismear\n<font color=blue>AYM:</font> chismusa, kuñtu q'ipiña\n<font color=orange>ENG:</font> to gossip
iya	<font color=green>ESP:</font> más\n<font color=blue>AYM:</font> juk'anti\n<font color=orange>ENG:</font> more
iyaw cji	<font color=green>ESP:</font> aceptar, estar de acuerdo\n<font color=blue>AYM:</font> iyaw siwa\n<font color=orange>ENG:</font> to accept, to agree
iz	<font color=green>ESP:</font> hacer el acto sexual\n<font color=blue>AYM:</font> aniña\n<font color=orange>ENG:</font> to have sexual intercourse
izpantiz	<font color=green>ESP:</font> espantar\n<font color=blue>AYM:</font> ispantaña, sustjaña\n<font color=orange>ENG:</font> to frighten, to scare
iztaca	<font color=green>ESP:</font> palito, estaca\n<font color=blue>AYM:</font> istaka\n<font color=orange>ENG:</font> stick, stake, post
iztira	<font color=green>ESP:</font> molde de queso\n<font color=blue>AYM:</font> tikantañataki\n<font color=orange>ENG:</font> cheese mold
iz̈i wiri	<font color=green>ESP:</font> adulterio, fornicario, adúltero\n<font color=blue>AYM:</font> yaqhanti ikiña, qhincha jaqi\n<font color=orange>ENG:</font> adultery, fornication, adulterer/adulteress
iz̈i wiri z̈ejlz	<font color=green>ESP:</font> cometer adulterio\n<font color=blue>AYM:</font> qhinchachiri\n<font color=orange>ENG:</font> to commit adultery
iz̈ke	<font color=green>ESP:</font> dientes\n<font color=blue>AYM:</font> laka ch'aka\n<font color=orange>ENG:</font> teeth
jaa	<font color=green>ESP:</font> ¡¿cómo?!, ¡¿qué?!\n<font color=blue>AYM:</font> jä\n<font color=orange>ENG:</font> what?!, hu?!
jacamutz	<font color=green>ESP:</font> herir hasta medio muerto\n<font color=blue>AYM:</font> jakakipan chhuxrintaña\n<font color=orange>ENG:</font> to wound almost to death
jacatatz	<font color=green>ESP:</font> resucitar\n<font color=blue>AYM:</font> jakatataña\n<font color=orange>ENG:</font> to resurrect, to revive
jacs	<font color=green>ESP:</font> cortejar\n<font color=blue>AYM:</font> turyasiña\n<font color=orange>ENG:</font> to woo, to court
jach'iz	<font color=green>ESP:</font> estornudar\n<font color=blue>AYM:</font> jach'iña\n<font color=orange>ENG:</font> to sneeze
jajmuz̈t	<font color=green>ESP:</font> ¿porqué?\n<font color=blue>AYM:</font> kunama?\n<font color=orange>ENG:</font> why?
jajzkatz	<font color=green>ESP:</font> ahogarse\n<font color=blue>AYM:</font> jan samaqt'aña\n<font color=orange>ENG:</font> to drown
jaka	<font color=green>ESP:</font> mañana\n<font color=blue>AYM:</font> qharuru\n<font color=orange>ENG:</font> tomorrow
jakataz̈uqui	<font color=green>ESP:</font> pasado mañana\n<font color=blue>AYM:</font> payüruta\n<font color=orange>ENG:</font> the day after tomorrow
jakawenz	<font color=green>ESP:</font> en la mañana\n<font color=blue>AYM:</font> qhalt'ina\n<font color=orange>ENG:</font> in the morning
jaknuz̈	<font color=green>ESP:</font> ¿cómo?\n<font color=blue>AYM:</font> kunama?\n<font color=orange>ENG:</font> how?, in what manner?
jaknuz̈quin	<font color=green>ESP:</font> ¿por dónde?\n<font color=blue>AYM:</font> kawkins?\n<font color=orange>ENG:</font> in which direction?
jaknuz̈quiztanami	<font color=green>ESP:</font> de todas maneras\n<font color=blue>AYM:</font> kunamapasa\n<font color=orange>ENG:</font> at any rate, anyway, by any means
jakuntiz	<font color=green>ESP:</font> botar\n<font color=blue>AYM:</font> jaquntaña\n<font color=orange>ENG:</font> to throw away, to throw out
jakuntiz	<font color=green>ESP:</font> culpar sin motivo, calumniar\n<font color=blue>AYM:</font> tumpaña\n<font color=orange>ENG:</font> to accuse without reason, to calumniate
jakzi	<font color=green>ESP:</font> donde, ¿dónde?\n<font color=blue>AYM:</font> kawksa, kawki?\n<font color=orange>ENG:</font> where, where?
jakzilta	<font color=green>ESP:</font> ¿cúal?\n<font color=blue>AYM:</font> kawksa?\n<font color=orange>ENG:</font> which?
jalantiz	<font color=green>ESP:</font> dos personas tejiendo un telar\n<font color=blue>AYM:</font> pampach sawuña\n<font color=orange>ENG:</font> two persons weaving together
jalantiz	<font color=green>ESP:</font> entrar en un lugar para escaparse de algo\n<font color=blue>AYM:</font> pantjasis mantaña\n<font color=orange>ENG:</font> to enter some place to escape something
jalantiz	<font color=green>ESP:</font> entrar en un sitio equivocado\n<font color=blue>AYM:</font> pantjasis mantaña\n<font color=orange>ENG:</font> to enter a place by mistake
jalarz	<font color=green>ESP:</font> separar, apartar\n<font color=blue>AYM:</font> jalaraña, apartaña\n<font color=orange>ENG:</font> to separate
jaljiz	<font color=green>ESP:</font> partir\n<font color=blue>AYM:</font> jaljaña\n<font color=orange>ENG:</font> to divide
jaljjtiz	<font color=green>ESP:</font> divorciarse, separarse\n<font color=blue>AYM:</font> jaljtaña\n<font color=orange>ENG:</font> to divorce, to separate
jalnakz	<font color=green>ESP:</font> correr de un lugar a otro, inquietarse\n<font color=blue>AYM:</font> jalnaqaña tannaqaña\n<font color=orange>ENG:</font> to run from one place to another, to worry
jalt'as	<font color=green>ESP:</font> caer en algún problema sin culpa\n<font color=blue>AYM:</font> jalt'asiña, jaqt'asiña\n<font color=orange>ENG:</font> to have problems which are not your fault
jalz	<font color=green>ESP:</font> moler con piedra redonda\n<font color=blue>AYM:</font> iyaña\n<font color=orange>ENG:</font> to mill with round stone
jalz	<font color=green>ESP:</font> atropellar\n<font color=blue>AYM:</font> taqxataña\n<font color=orange>ENG:</font> to run over
jalzuri	<font color=green>ESP:</font> vertiente\n<font color=blue>AYM:</font> jalsuri, uma jalsu\n<font color=orange>ENG:</font> spring (of water)
jalla	<font color=green>ESP:</font> así\n<font color=blue>AYM:</font> jalla\n<font color=orange>ENG:</font> so
jalla nuz̈	<font color=green>ESP:</font> es así\n<font color=blue>AYM:</font> jalla ukhama\n<font color=orange>ENG:</font> that's the way it is
jallc'a	<font color=green>ESP:</font> débil de salud, delicado\n<font color=blue>AYM:</font> kanwa\n<font color=orange>ENG:</font> weak, frail
jallc'a	<font color=green>ESP:</font> tímido\n<font color=blue>AYM:</font> jiwtawxaru\n<font color=orange>ENG:</font> timid
jamachaca	<font color=green>ESP:</font> desconfiado\n<font color=blue>AYM:</font> jamachaka\n<font color=orange>ENG:</font> distrustful, suspicious
jamana	<font color=green>ESP:</font> sobrio en la borrachera\n<font color=blue>AYM:</font> jan machjata, talu\n<font color=orange>ENG:</font> sober
jamana	<font color=green>ESP:</font> persona que se amanece temprano\n<font color=blue>AYM:</font> sanuki\n<font color=orange>ENG:</font> early-riser
jamchi	<font color=green>ESP:</font> producto para hacer chicha\n<font color=blue>AYM:</font> qunchu\n<font color=orange>ENG:</font> product to make chicha
jamchis	<font color=green>ESP:</font> masticar comida para dar a las crías\n<font color=blue>AYM:</font> jamch'iña\n<font color=orange>ENG:</font> to chew food to give to children/offspring
jamilla = pjamilla	<font color=green>ESP:</font> familia\n<font color=blue>AYM:</font> phamilya\n<font color=orange>ENG:</font> family
jamiri	<font color=green>ESP:</font> el que da adivinanzas\n<font color=blue>AYM:</font> jamasaki\n<font color=orange>ENG:</font> person who tells riddles
jamp'ali	<font color=green>ESP:</font> ala del sombrero\n<font color=blue>AYM:</font> jamp'ala lamp'a\n<font color=orange>ENG:</font> brim on hat
jampiz	<font color=green>ESP:</font> embrujar\n<font color=blue>AYM:</font> jamp'iña, layqaña\n<font color=orange>ENG:</font> to bewitch, to cast a spell on
jamuziri	<font color=green>ESP:</font> curandero\n<font color=blue>AYM:</font> qulliri\n<font color=orange>ENG:</font> traditional healer
jamz	<font color=green>ESP:</font> adivinar\n<font color=blue>AYM:</font> jamasat qhanaña\n<font color=orange>ENG:</font> to predict, to guess
jananiz	<font color=green>ESP:</font> apurarse\n<font color=blue>AYM:</font> apurasiña, jank'achasiña, laqaki\n<font color=orange>ENG:</font> to hurry
janchi	<font color=green>ESP:</font> piel del cuerpo humano\n<font color=blue>AYM:</font> janchi\n<font color=orange>ENG:</font> human skin
janchuri	<font color=green>ESP:</font> animal líder del grupo\n<font color=blue>AYM:</font> jañachu\n<font color=orange>ENG:</font> animal that's the leader of the group
jante	<font color=green>ESP:</font> ¿no cierto?, ¿verdad?, ¿no ve?\n<font color=blue>AYM:</font> janti\n<font color=orange>ENG:</font> ...isn't it so?
janziz + janantiz	<font color=green>ESP:</font> cambiar pañales\n<font color=blue>AYM:</font> janant k'irsuña\n<font color=orange>ENG:</font> to change diapers
jañintiz	<font color=green>ESP:</font> gemido de camélidos\n<font color=blue>AYM:</font> jañi jañi\n<font color=orange>ENG:</font> bray of cameloids
jar	<font color=green>ESP:</font> otro tiempo\n<font color=blue>AYM:</font> yaqha\n<font color=orange>ENG:</font> another time
jara	<font color=green>ESP:</font> chiquero\n<font color=blue>AYM:</font> khuchi uta\n<font color=orange>ENG:</font> pigsty
jaraña	<font color=green>ESP:</font> lugar donde tropas pasan la noche\n<font color=blue>AYM:</font> jaraña\n<font color=orange>ENG:</font> place where herds spend the night
jarc'az	<font color=green>ESP:</font> proteger\n<font color=blue>AYM:</font> jark'asiña, jark'aña\n<font color=orange>ENG:</font> to protect
jariru	<font color=green>ESP:</font> acompañante de la tropa que ayuda a cargar y guiar\n<font color=blue>AYM:</font> jariru, kumpañiri yanapt'iri\n<font color=orange>ENG:</font> person who accompanies a herd to help load and guide
jarjarz	<font color=green>ESP:</font> estar con rabia/enojado\n<font color=blue>AYM:</font> kulirata, tiptata, tiputa\n<font color=orange>ENG:</font> to be angry/furious
jarjiz	<font color=green>ESP:</font> ser amargado\n<font color=blue>AYM:</font> kallk'u jaqi, jarujaqi\n<font color=orange>ENG:</font> to be bitter
jarkaizjiiz	<font color=green>ESP:</font> tiempo de monta\n<font color=blue>AYM:</font> jarqaña\n<font color=orange>ENG:</font> mating period
jarkatz	<font color=green>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=blue>AYM:</font> jariña\n<font color=orange>ENG:</font> to put chuño/quinua in water to remove the bitterness
jarkatz	<font color=green>ESP:</font> lavar\n<font color=blue>AYM:</font> jariña\n<font color=orange>ENG:</font> to wash
jarkawi	<font color=green>ESP:</font> viento del este\n<font color=blue>AYM:</font> arqawi\n<font color=orange>ENG:</font> the east wind
jark'az	<font color=green>ESP:</font> defenderse\n<font color=blue>AYM:</font> jark'aqasiña, tuwaqasiña\n<font color=orange>ENG:</font> to defend oneself
jarkjayz	<font color=green>ESP:</font> monta de los camélidos\n<font color=blue>AYM:</font> jarqayaña, takxaña\n<font color=orange>ENG:</font> mating of cameloids
jarma	<font color=green>ESP:</font> tipo de color oscuro de un animal\n<font color=blue>AYM:</font> jarma\n<font color=orange>ENG:</font> dark color of animal
jarma	<font color=green>ESP:</font> mineral\n<font color=blue>AYM:</font> jarma\n<font color=orange>ENG:</font> mineral
jarq'uiz	<font color=green>ESP:</font> atajar\n<font color=blue>AYM:</font> jarkaña\n<font color=orange>ENG:</font> to intercept, to halt
jaru	<font color=green>ESP:</font> amargo, picante\n<font color=blue>AYM:</font> xaru\n<font color=orange>ENG:</font> bitter, spicy
jaru	<font color=green>ESP:</font> bilis\n<font color=blue>AYM:</font> xaru\n<font color=orange>ENG:</font> bile
-jaru	<font color=green>ESP:</font> por, por medio de\n<font color=blue>AYM:</font> uknama, ukataypit\n<font color=orange>ENG:</font> by means of
-jaru	<font color=green>ESP:</font> atrás de\n<font color=blue>AYM:</font> ukjaru\n<font color=orange>ENG:</font> behind
jarz	<font color=green>ESP:</font> construir chiquero\n<font color=blue>AYM:</font> utachaña khuchitaki\n<font color=orange>ENG:</font> to build a pigsty
jarz	<font color=green>ESP:</font> poner chuño/quinua en el agua para sacar lo amargo\n<font color=blue>AYM:</font> jariña\n<font color=orange>ENG:</font> to put chuño/quinua in water to remove the bitterness
jata	<font color=green>ESP:</font> (plato de) mucha carne, cuerpo musculoso\n<font color=blue>AYM:</font> phatu, ancha aychani\n<font color=orange>ENG:</font> (dish with) a lot of meat, muscular body
jatz	<font color=green>ESP:</font> afilar\n<font color=blue>AYM:</font> aphilaña, arichaña\n<font color=orange>ENG:</font> to sharpen
jawarcjujzñi	<font color=green>ESP:</font> pequeña mariposa nocturna\n<font color=blue>AYM:</font> thutha\n<font color=orange>ENG:</font> moth
jawaza	<font color=green>ESP:</font> haba\n<font color=blue>AYM:</font> jawasa\n<font color=orange>ENG:</font> lima bean, fava bean
jawi	<font color=green>ESP:</font> diarrea\n<font color=blue>AYM:</font> q'ichalira\n<font color=orange>ENG:</font> diarrhea
jawiiz	<font color=green>ESP:</font> regar\n<font color=blue>AYM:</font> uma irpantaña\n<font color=orange>ENG:</font> to water, to sprinkle water
jawinz = jawunz	<font color=green>ESP:</font> moler\n<font color=blue>AYM:</font> qhunaña, piqatataña\n<font color=orange>ENG:</font> to grind
jawiri	<font color=green>ESP:</font> cobarde\n<font color=blue>AYM:</font> q'iwsa\n<font color=orange>ENG:</font> cowardly
jawiri	<font color=green>ESP:</font> enfermo con diarrea\n<font color=blue>AYM:</font> qichalirinti\n<font color=orange>ENG:</font> having diarrhea
jawk'aña	<font color=green>ESP:</font> palo para desgranar (quinua, trigo)\n<font color=blue>AYM:</font> jawq'aña\n<font color=orange>ENG:</font> stick to thresh (quinua, wheat)
jawkjatz	<font color=green>ESP:</font> dar miedo a alguien, asustar\n<font color=blue>AYM:</font> sustjaña\n<font color=orange>ENG:</font> to scare
jawkjatz	<font color=green>ESP:</font> ayudar a alguien con diarrea al baño\n<font color=blue>AYM:</font> yanapt'aña\n<font color=orange>ENG:</font> to help a person with diarrhea to the bathroom
jawkjatz	<font color=green>ESP:</font> cobrar más a personas ricas\n<font color=blue>AYM:</font> mayjasiña, waqjasiña\n<font color=orange>ENG:</font> to charge rich people more
jawkt'az	<font color=green>ESP:</font> cocinar juntos\n<font color=blue>AYM:</font> purap phayaña\n<font color=orange>ENG:</font> to cook together
jawktita	<font color=green>ESP:</font> sacrificio, ya sacrificado\n<font color=blue>AYM:</font> wilanchata\n<font color=orange>ENG:</font> sacrifice, already sacrificed
jawktiz	<font color=green>ESP:</font> sacrificar\n<font color=blue>AYM:</font> wilanchaña\n<font color=orange>ENG:</font> to sacrifice
jawkulla	<font color=green>ESP:</font> medicina para diarrea\n<font color=blue>AYM:</font> ithapa, kursuqulla, wich'utak qulla\n<font color=orange>ENG:</font> medicine to treat diarrhea
