anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
chillpaña, chillpt'aña	<font color=red>CHP:</font> c̈hajczinz\n<font color=green>ESP:</font> poner cuña\n<font color=orange>ENG:</font> to drive a wedge
katjasiña	<font color=red>CHP:</font> c̈hajczinz\n<font color=green>ESP:</font> sostener\n<font color=orange>ENG:</font> to sustain, to support
qatatiña	<font color=red>CHP:</font> c̈hajpc̈hajpa\n<font color=green>ESP:</font> sonido de arrastrar los pies\n<font color=orange>ENG:</font> sound of shuffling feet
q'ataw qala	<font color=red>CHP:</font> c̈hara\n<font color=green>ESP:</font> piedra calcárea\n<font color=orange>ENG:</font> limestone
ch'intaña	<font color=red>CHP:</font> c̈heljz\n<font color=green>ESP:</font> atar\n<font color=orange>ENG:</font> to tie, to fasten
manq'a jajllita	<font color=red>CHP:</font> c̈heri amanta\n<font color=green>ESP:</font> comida favorita\n<font color=orange>ENG:</font> favorite food
arut int'aña	<font color=red>CHP:</font> c̈hjaajs\n<font color=green>ESP:</font> reconocer por la voz\n<font color=orange>ENG:</font> to recognize by voice
sik'acht'aña	<font color=red>CHP:</font> c̈hjaawjkatz\n<font color=green>ESP:</font> insultar\n<font color=orange>ENG:</font> to insult
iñisiña	<font color=red>CHP:</font> c̈hjaawjz\n<font color=green>ESP:</font> odiar\n<font color=orange>ENG:</font> to hate
sataña, yapuchaña	<font color=red>CHP:</font> c̈hjacz\n<font color=green>ESP:</font> sembrar\n<font color=orange>ENG:</font> to sow, to plant
khankha	<font color=red>CHP:</font> c̈hjajjta\n<font color=green>ESP:</font> áspero\n<font color=orange>ENG:</font> rough
ch'isllichasita, qhirqhintasita	<font color=red>CHP:</font> c̈hjajjtz\n<font color=green>ESP:</font> estar sucio con comida\n<font color=orange>ENG:</font> to be dirty from eating
kayu qatatiña	<font color=red>CHP:</font> c̈hjajp c̈hjajpa\n<font color=green>ESP:</font> caminar arrastrando los pies\n<font color=orange>ENG:</font> to shuffle the feet when walking
qatatiña, latt'aña	<font color=red>CHP:</font> c̈hjajpa\n<font color=green>ESP:</font> arrastrando los pies\n<font color=orange>ENG:</font> shuffling feet
ch'iyartata, taxa	<font color=red>CHP:</font> c̈hjajri\n<font color=green>ESP:</font> rajado\n<font color=orange>ENG:</font> cracked, old with fine hairline cracks
ch'iyart'asiña	<font color=red>CHP:</font> c̈hjajrins\n<font color=green>ESP:</font> rajarse\n<font color=orange>ENG:</font> to crack
thuqhthapiña, waxrtapiña	<font color=red>CHP:</font> c̈hjakz\n<font color=green>ESP:</font> chocarse, toparse\n<font color=orange>ENG:</font> to bump into, to crash
chimpuña, chhitsuña	<font color=red>CHP:</font> c̈hjapunz\n<font color=green>ESP:</font> poner marca en oreja de animal con aguja\n<font color=orange>ENG:</font> to put a thread in animal's ear to mark
chhuqhuntaña, ch'akuntaña	<font color=red>CHP:</font> c̈hjapz\n<font color=green>ESP:</font> punzar, clavar\n<font color=orange>ENG:</font> to prick, to nail, to pierce
wiskhu	<font color=red>CHP:</font> c̈hjata\n<font color=green>ESP:</font> sandalia\n<font color=orange>ENG:</font> sandal
wiskhuntasiña	<font color=red>CHP:</font> c̈hjatz\n<font color=green>ESP:</font> ponerse sandalias\n<font color=orange>ENG:</font> to put on sandals
phaña phaña	<font color=red>CHP:</font> c̈hjawjwa\n<font color=green>ESP:</font> piedra liviana y blanca\n<font color=orange>ENG:</font> light and white stone
amparanti manq'aña, muk'untaña	<font color=red>CHP:</font> c̈hjawkz\n<font color=green>ESP:</font> comer con las manos\n<font color=orange>ENG:</font> to eat with hands
jalatataña	<font color=red>CHP:</font> c̈hjeetz\n<font color=green>ESP:</font> estirarse, tesar\n<font color=orange>ENG:</font> to stretch oneself, to extend
jawasa	<font color=red>CHP:</font> c̈hjejkjallu\n<font color=green>ESP:</font> haba\n<font color=orange>ENG:</font> lima bean
llawsakipaña	<font color=red>CHP:</font> c̈hjekanz\n<font color=green>ESP:</font> babear\n<font color=orange>ENG:</font> to drool
khuchi qallu	<font color=red>CHP:</font> c̈hjela\n<font color=green>ESP:</font> cochinillo\n<font color=orange>ENG:</font> piglet
juyra taksuña	<font color=red>CHP:</font> c̈hjeranz\n<font color=green>ESP:</font> pisar quinua\n<font color=orange>ENG:</font> to press quinua (by stepping on it)
manq'a	<font color=red>CHP:</font> c̈hjeri\n<font color=green>ESP:</font> comida\n<font color=orange>ENG:</font> food
walikipaña	<font color=red>CHP:</font> c̈hjetinz\n<font color=green>ESP:</font> sanar\n<font color=orange>ENG:</font> to heal, to make well
chhaxrasiña	<font color=red>CHP:</font> c̈hjijcz\n<font color=green>ESP:</font> peinar\n<font color=orange>ENG:</font> to comb
t'ajaña	<font color=red>CHP:</font> c̈hjijlc̈hjijlz\n<font color=green>ESP:</font> sentir una sensación suave\n<font color=orange>ENG:</font> to feel a soft sensation
qhichiliraña	<font color=red>CHP:</font> c̈hjijlinz\n<font color=green>ESP:</font> cosquillear suavemente\n<font color=orange>ENG:</font> to tickle real softly
llawiraña	<font color=red>CHP:</font> c̈hjijpz\n<font color=green>ESP:</font> trasquilar\n<font color=orange>ENG:</font> to shear
sarruta	<font color=red>CHP:</font> c̈hjijtchi\n<font color=green>ESP:</font> oxidado\n<font color=orange>ENG:</font> rusty
siraña	<font color=red>CHP:</font> c̈hjijts\n<font color=green>ESP:</font> echar pedos\n<font color=orange>ENG:</font> to pass gas
sirakipaña	<font color=red>CHP:</font> c̈hjijts\n<font color=green>ESP:</font> lanzar un líquido fétido (mofeta)\n<font color=orange>ENG:</font> to stink (skunk)
sarruntaña	<font color=red>CHP:</font> c̈hjijtz\n<font color=green>ESP:</font> oxidar\n<font color=orange>ENG:</font> to rust
chhuxra	<font color=red>CHP:</font> c̈hjojra\n<font color=green>ESP:</font> Playerito (ave acuática con patas negras)\n<font color=orange>ENG:</font> Baird's Sandpiper (waterbird with black feet)
chuyma	<font color=red>CHP:</font> c̈hjojri\n<font color=green>ESP:</font> pulmón\n<font color=orange>ENG:</font> lung
ch'aqaña	<font color=red>CHP:</font> c̈hjojz\n<font color=green>ESP:</font> gotear\n<font color=orange>ENG:</font> to drip
lasu	<font color=red>CHP:</font> c̈hjoyi\n<font color=green>ESP:</font> lazo preparado para enlazar\n<font color=orange>ENG:</font> lasso prepared to catch animals
lasuntaña	<font color=red>CHP:</font> c̈hjoyz\n<font color=green>ESP:</font> enlazar\n<font color=orange>ENG:</font> to lasso
nayra phichu	<font color=red>CHP:</font> c̈hjujc ata\n<font color=green>ESP:</font> párpado\n<font color=orange>ENG:</font> eyelid
nayra chhipchu	<font color=red>CHP:</font> c̈hjujc tsems\n<font color=green>ESP:</font> pestaña\n<font color=orange>ENG:</font> eyelash
nayra	<font color=red>CHP:</font> c̈hjujqui\n<font color=green>ESP:</font> ojo\n<font color=orange>ENG:</font> eye
nayra	<font color=red>CHP:</font> c̈hjujqui\n<font color=green>ESP:</font> diseño en el tejido\n<font color=orange>ENG:</font> weaving pattern
taypi q'urawa	<font color=red>CHP:</font> c̈hjujquic̈hjujqui\n<font color=green>ESP:</font> soga de 16 caitos\n<font color=orange>ENG:</font> rope of 16 threads
aphiytasiña	<font color=red>CHP:</font> c̈hjujs\n<font color=green>ESP:</font> afeitar\n<font color=orange>ENG:</font> to shave
pichaña	<font color=red>CHP:</font> c̈hjujz\n<font color=green>ESP:</font> limpiar\n<font color=orange>ENG:</font> to clean
kunataki?	<font color=red>CHP:</font> c̈hjul jjapa\n<font color=green>ESP:</font> ¿para qué?\n<font color=orange>ENG:</font> what for?
kunamas sutmax?	<font color=red>CHP:</font> c̈hjul tjuuchiz ni\n<font color=green>ESP:</font> ¿cómo se llama?\n<font color=orange>ENG:</font> what's his name?, what's this called?
kunasa?	<font color=red>CHP:</font> c̈hjulo\n<font color=green>ESP:</font> ¿qué cosa?\n<font color=orange>ENG:</font> what?, what's up?
kunuru?, kuna urasa?	<font color=red>CHP:</font> c̈hjulora\n<font color=green>ESP:</font> ¿cuándo?, ¿a qué hora?\n<font color=orange>ENG:</font> when?, at what time?
taqikuna	<font color=red>CHP:</font> c̈hjultaki\n<font color=green>ESP:</font> todas las cosas, todo\n<font color=orange>ENG:</font> everything
kuna?	<font color=red>CHP:</font> c̈hjulu\n<font color=green>ESP:</font> ¿qué?\n<font color=orange>ENG:</font> what?
kawkipasa	<font color=red>CHP:</font> c̈hjulumi\n<font color=green>ESP:</font> cualquiera\n<font color=orange>ENG:</font> whichever, whatever
juk'anti kuna?	<font color=red>CHP:</font> c̈hjulut iya\n<font color=green>ESP:</font> ¿qué más?\n<font color=orange>ENG:</font> what else?
chapuña	<font color=red>CHP:</font> c̈hjuuz\n<font color=green>ESP:</font> amasar pan\n<font color=orange>ENG:</font> to knead bread
samkaña, muspaña	<font color=red>CHP:</font> c̈hjuuz\n<font color=green>ESP:</font> soñar\n<font color=orange>ENG:</font> to dream
chara	<font color=red>CHP:</font> c̈hojk komi\n<font color=green>ESP:</font> muslo\n<font color=orange>ENG:</font> thigh
phatu	<font color=red>CHP:</font> c̈hokja\n<font color=green>ESP:</font> grueso, gordo\n<font color=orange>ENG:</font> thick, fat
ch'apintata	<font color=red>CHP:</font> c̈hoqui\n<font color=green>ESP:</font> espina en la piel\n<font color=orange>ENG:</font> thorn in the skin
q'ayma	<font color=red>CHP:</font> c̈horinz\n<font color=green>ESP:</font> inarmónico\n<font color=orange>ENG:</font> disharmonious
llupantaña	<font color=red>CHP:</font> c̈h'aaz\n<font color=green>ESP:</font> tapar\n<font color=orange>ENG:</font> to cover
p'achjaña, jaljaña	<font color=red>CHP:</font> c̈h'ajlz\n<font color=green>ESP:</font> partir con las manos\n<font color=orange>ENG:</font> to break/to divide with the hands
achuqaña	<font color=red>CHP:</font> c̈h'atz\n<font color=green>ESP:</font> morder\n<font color=orange>ENG:</font> to bite
ch'axa	<font color=red>CHP:</font> c̈h'eja\n<font color=green>ESP:</font> voz ronca\n<font color=orange>ENG:</font> hoarse voice
kayu wintu	<font color=red>CHP:</font> c̈h'eka\n<font color=green>ESP:</font> talón\n<font color=orange>ENG:</font> heel
jachjasiña	<font color=red>CHP:</font> c̈h'etz\n<font color=green>ESP:</font> gimotear, lloriquear\n<font color=orange>ENG:</font> to whine, to whimper
amukt'aña	<font color=red>CHP:</font> c̈h'icz\n<font color=green>ESP:</font> dar codazo para silenciar\n<font color=orange>ENG:</font> to nudge, to poke with elbow to silence
sirka	<font color=red>CHP:</font> c̈h'iwu\n<font color=green>ESP:</font> vena\n<font color=orange>ENG:</font> vein
junt'u	<font color=red>CHP:</font> c̈h'ujlñi\n<font color=green>ESP:</font> fiebre\n<font color=orange>ENG:</font> fever
jupuqu	<font color=red>CHP:</font> c̈h'utu\n<font color=green>ESP:</font> espuma\n<font color=orange>ENG:</font> foam
ch'ulluchaña jimp'itaki	<font color=red>CHP:</font> c̈h'utz\n<font color=green>ESP:</font> remojar para tostar\n<font color=orange>ENG:</font> to soak in order to toast
jaytata	<font color=red>CHP:</font> eca\n<font color=green>ESP:</font> dejado\n<font color=orange>ENG:</font> left
kirasiña, ukhamankaña	<font color=red>CHP:</font> ecliz\n<font color=green>ESP:</font> quedar\n<font color=orange>ENG:</font> to stay
jaytaña	<font color=red>CHP:</font> ecz\n<font color=green>ESP:</font> dejar\n<font color=orange>ENG:</font> to leave
manq'at awtjayasiña	<font color=red>CHP:</font> eecz̈\n<font color=green>ESP:</font> tener hambre\n<font color=orange>ENG:</font> to be hungry
jiwtaña	<font color=red>CHP:</font> ejcks\n<font color=green>ESP:</font> miedo\n<font color=orange>ENG:</font> fear
jiwtasiña	<font color=red>CHP:</font> ejcksnuc̈ha\n<font color=green>ESP:</font> temer\n<font color=orange>ENG:</font> to fear, to be afraid of
jiwtayasiña	<font color=red>CHP:</font> ejks\n<font color=green>ESP:</font> tener miedo\n<font color=orange>ENG:</font> to fear
tata	<font color=red>CHP:</font> ejp\n<font color=green>ESP:</font> padre, papá\n<font color=orange>ENG:</font> father
puquraña	<font color=red>CHP:</font> ejtz\n<font color=green>ESP:</font> hincharse\n<font color=orange>ENG:</font> to swell
iqa	<font color=red>CHP:</font> eka\n<font color=green>ESP:</font> cuerda para medir\n<font color=orange>ENG:</font> string to measure distance
wiskha, (iqaña)	<font color=red>CHP:</font> ekaña\n<font color=green>ESP:</font> soga larga\n<font color=orange>ENG:</font> long rope
lik'i	<font color=red>CHP:</font> ekara\n<font color=green>ESP:</font> grasa alrededor de organos internos\n<font color=orange>ENG:</font> fat on organs
kutu, q'utu	<font color=red>CHP:</font> enke\n<font color=green>ESP:</font> buche\n<font color=orange>ENG:</font> crop (birds)
irqi irqi	<font color=red>CHP:</font> erke erke\n<font color=green>ESP:</font> cuernito de vaca usado como instrumento de música en carnaval\n<font color=orange>ENG:</font> small horn of cow used as musical instrument during carnival
mimara	<font color=red>CHP:</font> ewi\n<font color=green>ESP:</font> el año pasado\n<font color=orange>ENG:</font> last year
iwxaña	<font color=red>CHP:</font> ewjiz\n<font color=green>ESP:</font> encargar\n<font color=orange>ENG:</font> to advise, to entrust, to order
iwxt'aña	<font color=red>CHP:</font> ewjt'iz\n<font color=green>ESP:</font> recomendar\n<font color=orange>ENG:</font> to recommend
machaqa	<font color=red>CHP:</font> ewu\n<font color=green>ESP:</font> nuevo\n<font color=orange>ENG:</font> new
jaquqtaña, tinktaña	<font color=red>CHP:</font> ez\n<font color=green>ESP:</font> caer\n<font color=orange>ENG:</font> to fall, to lay back
jaqukiptaña	<font color=red>CHP:</font> ezezñi\n<font color=green>ESP:</font> caerse a cada rato\n<font color=orange>ENG:</font> to fall all the time
iklisha	<font color=red>CHP:</font> icliza\n<font color=green>ESP:</font> iglesia\n<font color=orange>ENG:</font> church
puraka, (qhalampaña)	<font color=red>CHP:</font> icz\n<font color=green>ESP:</font> vientre\n<font color=orange>ENG:</font> belly
walq'iraña	<font color=red>CHP:</font> icz\n<font color=green>ESP:</font> preñar\n<font color=orange>ENG:</font> to impregnate (animals)
ñuñuña	<font color=red>CHP:</font> ich\n<font color=green>ESP:</font> mamar\n<font color=orange>ENG:</font> to suckle, to nurse
khitsuña	<font color=red>CHP:</font> ijcz\n<font color=green>ESP:</font> raspar\n<font color=orange>ENG:</font> to scrape
qhalampaña, kitarjat'iña	<font color=red>CHP:</font> ijcz\n<font color=green>ESP:</font> tocar la guitarra\n<font color=orange>ENG:</font> to play the guitar
churaña	<font color=red>CHP:</font> ijtz\n<font color=green>ESP:</font> dar\n<font color=orange>ENG:</font> to give
q'aytu	<font color=red>CHP:</font> ilu\n<font color=green>ESP:</font> hilo\n<font color=orange>ENG:</font> thread
illawa	<font color=red>CHP:</font> illawa\n<font color=green>ESP:</font> palo envuelto con hilo para levantar los urdimbres\n<font color=orange>ENG:</font> stick with thread to raise the warps (weaving)
illa	<font color=red>CHP:</font> illmaz\n<font color=green>ESP:</font> amuleto de piedra relacionado con la fertilidad\n<font color=orange>ENG:</font> fertility amulet made of stone
jajlliña	<font color=red>CHP:</font> ills\n<font color=green>ESP:</font> escoger, seleccionar\n<font color=orange>ENG:</font> to choose, to select
pallsuña	<font color=red>CHP:</font> illz\n<font color=green>ESP:</font> levantar uno por uno\n<font color=orange>ENG:</font> to pick up/to raise one by one
janira	<font color=red>CHP:</font> imazi\n<font color=green>ESP:</font> todavía\n<font color=orange>ENG:</font> still, not yet
imill ch'uqi	<font color=red>CHP:</font> imill kiza\n<font color=green>ESP:</font> papa morada\n<font color=orange>ENG:</font> purple potato
impuru	<font color=red>CHP:</font> impuru\n<font color=green>ESP:</font> embudo\n<font color=orange>ENG:</font> funnel
inapini, janipini	<font color=red>CHP:</font> ina\n<font color=green>ESP:</font> nunca\n<font color=orange>ENG:</font> never
inaki	<font color=red>CHP:</font> inakaz\n<font color=green>ESP:</font> en vano, sin éxito\n<font color=orange>ENG:</font> in vain, unsuccessfully
inaki	<font color=red>CHP:</font> inapampa\n<font color=green>ESP:</font> sin sentido\n<font color=orange>ENG:</font> meaningless
inakipini	<font color=red>CHP:</font> inapan\n<font color=green>ESP:</font> en vano\n<font color=orange>ENG:</font> in vain
inaki	<font color=red>CHP:</font> inapankaz\n<font color=green>ESP:</font> en vano, sin mucho motivo\n<font color=orange>ENG:</font> in vain, without reason or purpose
