anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
apsuña	<font color=red>CHP:</font> jes\n<font color=#2E8B57>ESP:</font> sacar\n<font color=#FF8C00>ENG:</font> to take out, to remove, to obtain
thakhi	<font color=red>CHP:</font> jicz\n<font color=#2E8B57>ESP:</font> camino\n<font color=#FF8C00>ENG:</font> road
jichuntata	<font color=red>CHP:</font> jichu\n<font color=#2E8B57>ESP:</font> acostumbrado\n<font color=#FF8C00>ENG:</font> accustomed
phaxsi, killa	<font color=red>CHP:</font> jiiz\n<font color=#2E8B57>ESP:</font> luna, mes, deidad feminina\n<font color=#FF8C00>ENG:</font> moon, month, female goddess
intinti phaxsinti jikhisipxi	<font color=red>CHP:</font> jiiztupc̈ha\n<font color=#2E8B57>ESP:</font> cuando el sol se pone y la luna sale al mismo tiempo + viceversa\n<font color=#FF8C00>ENG:</font> when sun sets and moon rises at the same time + viceversa
sumsillp'iraña, qaqt'aña	<font color=red>CHP:</font> jijcz\n<font color=#2E8B57>ESP:</font> frotar/pisar/descascarar...bien\n<font color=#FF8C00>ENG:</font> to rub/to press/to peel...well
jiptayaña	<font color=red>CHP:</font> jijptaiz\n<font color=#2E8B57>ESP:</font> avanzar rápido\n<font color=#FF8C00>ENG:</font> to advance quickly
jiptaña	<font color=red>CHP:</font> jijptiñi\n<font color=#2E8B57>ESP:</font> trabajo que avanza rápido\n<font color=#FF8C00>ENG:</font> work that advances rapidly
jittaña	<font color=red>CHP:</font> jijtz\n<font color=#2E8B57>ESP:</font> recorrer lentamente\n<font color=#FF8C00>ENG:</font> to move/to walk along slowly
sirasu, rallarura	<font color=red>CHP:</font> jijtz\n<font color=#2E8B57>ESP:</font> cernidor, rollador\n<font color=#FF8C00>ENG:</font> sieve
jila, ancha	<font color=red>CHP:</font> jila\n<font color=#2E8B57>ESP:</font> mucho\n<font color=#FF8C00>ENG:</font> much, a lot
jila	<font color=red>CHP:</font> jila\n<font color=#2E8B57>ESP:</font> caro\n<font color=#FF8C00>ENG:</font> expensive
jilata	<font color=red>CHP:</font> jila\n<font color=#2E8B57>ESP:</font> hermano\n<font color=#FF8C00>ENG:</font> brother
jila sullka	<font color=red>CHP:</font> jila zullca\n<font color=#2E8B57>ESP:</font> ser hermanos\n<font color=#FF8C00>ENG:</font> to be brothers
jilalla	<font color=red>CHP:</font> jilala\n<font color=#2E8B57>ESP:</font> saludo entre hermanos\n<font color=#FF8C00>ENG:</font> greeting among brothers
jilallaq, jilatay	<font color=red>CHP:</font> jilall\n<font color=#2E8B57>ESP:</font> ola, ¿qué tal? (saludo a un hombre)\n<font color=#FF8C00>ENG:</font> hello, how are you? (greeting to a man)
jilanaka	<font color=red>CHP:</font> jilanaca\n<font color=#2E8B57>ESP:</font> saludo a hermanos religiosos\n<font color=#FF8C00>ENG:</font> greeting to religious brothers
unxtata	<font color=red>CHP:</font> jilinz\n<font color=#2E8B57>ESP:</font> moverse (algo inestable)\n<font color=#FF8C00>ENG:</font> to move (something unstable)
jilir yuqa	<font color=red>CHP:</font> jilir majchz\n<font color=#2E8B57>ESP:</font> primer hijo/hermano\n<font color=#FF8C00>ENG:</font> first son/brother
jilir phucha	<font color=red>CHP:</font> jilir majt\n<font color=#2E8B57>ESP:</font> primera hija/hermana\n<font color=#FF8C00>ENG:</font> first daughter/sister
jiliri	<font color=red>CHP:</font> jiliri\n<font color=#2E8B57>ESP:</font> autoridad\n<font color=#FF8C00>ENG:</font> authority
jiliri	<font color=red>CHP:</font> jiliri\n<font color=#2E8B57>ESP:</font> hermano/a mayor\n<font color=#FF8C00>ENG:</font> oldest brother/sister
jiljallanti	<font color=red>CHP:</font> jiljalla\n<font color=#2E8B57>ESP:</font> un poco más\n<font color=#FF8C00>ENG:</font> a bit more
unuqtashi	<font color=red>CHP:</font> jilnatc̈ha\n<font color=#2E8B57>ESP:</font> avisar que algo está inseguro/suelto\n<font color=#FF8C00>ENG:</font> to warn that something is insecure/loose
jilatanaka	<font color=red>CHP:</font> jilwich\n<font color=#2E8B57>ESP:</font> hermanos de una chica\n<font color=#FF8C00>ENG:</font> brothers of a girl
jilantaña	<font color=red>CHP:</font> jilz\n<font color=#2E8B57>ESP:</font> subir el precio\n<font color=#FF8C00>ENG:</font> to raise the price
suwrinu	<font color=red>CHP:</font> jilz̈ ocjala\n<font color=#2E8B57>ESP:</font> sobrino/sobrina\n<font color=#FF8C00>ENG:</font> nephew/niece
kuñara	<font color=red>CHP:</font> jilz̈ tjun\n<font color=#2E8B57>ESP:</font> cuñada\n<font color=#FF8C00>ENG:</font> sister-in-law
kustal phuqhantata	<font color=red>CHP:</font> jinchiya\n<font color=#2E8B57>ESP:</font> costal lleno\n<font color=#FF8C00>ENG:</font> sack which is full
jinchu tiraña	<font color=red>CHP:</font> jinchiz\n<font color=#2E8B57>ESP:</font> agarrar de las orejas\n<font color=#FF8C00>ENG:</font> to grab by the ears
wisxataña	<font color=red>CHP:</font> jinzins\n<font color=#2E8B57>ESP:</font> aumentar líquido al cocinar\n<font color=#FF8C00>ENG:</font> to add water while cooking
k'anwa katt'ata	<font color=red>CHP:</font> jinz̈inta\n<font color=#2E8B57>ESP:</font> huevo prendido\n<font color=#FF8C00>ENG:</font> fecundated egg
kaltu	<font color=red>CHP:</font> jiña\n<font color=#2E8B57>ESP:</font> caldo\n<font color=#FF8C00>ENG:</font> soup, broth
umatataña	<font color=red>CHP:</font> jiñz\n<font color=#2E8B57>ESP:</font> derretir\n<font color=#FF8C00>ENG:</font> to melt
jipt'aña	<font color=red>CHP:</font> jiq'uiz\n<font color=#2E8B57>ESP:</font> hipo\n<font color=#FF8C00>ENG:</font> hiccups
jira	<font color=red>CHP:</font> jira\n<font color=#2E8B57>ESP:</font> montón de guano\n<font color=#FF8C00>ENG:</font> pile of dung
t'ijuña, tannaqaña, jirjasiña	<font color=red>CHP:</font> jirjirz\n<font color=#2E8B57>ESP:</font> corretear\n<font color=#FF8C00>ENG:</font> to run around
jira	<font color=red>CHP:</font> jirquiz\n<font color=#2E8B57>ESP:</font> algo que está en el guano\n<font color=#FF8C00>ENG:</font> something which is in the guano
jiru	<font color=red>CHP:</font> jiru\n<font color=#2E8B57>ESP:</font> hierro\n<font color=#FF8C00>ENG:</font> iron
jiwruña	<font color=red>CHP:</font> jirwiñi\n<font color=#2E8B57>ESP:</font> madre que rechaza a sus crías\n<font color=#FF8C00>ENG:</font> mother who rejects offspring
jiwruyaña	<font color=red>CHP:</font> jirwiz\n<font color=#2E8B57>ESP:</font> rechazar cría\n<font color=#FF8C00>ENG:</font> to reject offspring
t'ijuña, chhuktaña, arkantaña	<font color=red>CHP:</font> jirz\n<font color=#2E8B57>ESP:</font> correr (grupo de personas o animales)\n<font color=#FF8C00>ENG:</font> to run (group of persons, animals)
qasawsxaki	<font color=red>CHP:</font> jirz\n<font color=#2E8B57>ESP:</font> marchitarse pronto\n<font color=#FF8C00>ENG:</font> to wilt quickly
arkaña	<font color=red>CHP:</font> jirz\n<font color=#2E8B57>ESP:</font> perseguir\n<font color=#FF8C00>ENG:</font> to pursue, to chase
jiwantaña	<font color=red>CHP:</font> jiwantiz\n<font color=#2E8B57>ESP:</font> ansiar\n<font color=#FF8C00>ENG:</font> to crave, to long for
jiwaña, chiqapini	<font color=red>CHP:</font> jiwaña\n<font color=#2E8B57>ESP:</font> hacer algo con ansia/rápidamente\n<font color=#FF8C00>ENG:</font> to do something eagerly/quickly
k'uk'ulljata	<font color=red>CHP:</font> jiwata\n<font color=#2E8B57>ESP:</font> adormecido, dormido profundamente, anestesiado\n<font color=#FF8C00>ENG:</font> sleepy, fast asleep, numb
mayiri yatintata	<font color=red>CHP:</font> jiwazquiri\n<font color=#2E8B57>ESP:</font> mendigo vicioso\n<font color=#FF8C00>ENG:</font> depraved beggar
jiwjataña	<font color=red>CHP:</font> jiwjatz\n<font color=#2E8B57>ESP:</font> temer\n<font color=#FF8C00>ENG:</font> to fear
jiwjatiri	<font color=red>CHP:</font> jiwtjjara\n<font color=#2E8B57>ESP:</font> temeroso\n<font color=#FF8C00>ENG:</font> timid
jilluku	<font color=red>CHP:</font> jjilli\n<font color=#2E8B57>ESP:</font> vicioso\n<font color=#FF8C00>ENG:</font> incorrect, depraved
muchharaña	<font color=red>CHP:</font> jjojjz\n<font color=#2E8B57>ESP:</font> desgranar con las manos\n<font color=#FF8C00>ENG:</font> to shell with the hands
t'uruna	<font color=red>CHP:</font> jjojjz\n<font color=#2E8B57>ESP:</font> masticar algo duro\n<font color=#FF8C00>ENG:</font> to chew something hard
malq'a	<font color=red>CHP:</font> jjora\n<font color=#2E8B57>ESP:</font> garganta\n<font color=#FF8C00>ENG:</font> throat
malq'a	<font color=red>CHP:</font> jjora\n<font color=#2E8B57>ESP:</font> voz\n<font color=#FF8C00>ENG:</font> voice
qhurqhuña	<font color=red>CHP:</font> jjoranz\n<font color=#2E8B57>ESP:</font> roncar\n<font color=#FF8C00>ENG:</font> to snore
warkhantasiña	<font color=red>CHP:</font> jjorcanz\n<font color=#2E8B57>ESP:</font> poner algo al cuello\n<font color=#FF8C00>ENG:</font> to put something around the neck
phaxcha	<font color=red>CHP:</font> jjorzñi\n<font color=#2E8B57>ESP:</font> cascada\n<font color=#FF8C00>ENG:</font> waterfall
phusnu	<font color=red>CHP:</font> jjoz̈a\n<font color=#2E8B57>ESP:</font> bosta\n<font color=#FF8C00>ENG:</font> manure
istansha	<font color=red>CHP:</font> jochi\n<font color=#2E8B57>ESP:</font> estancia\n<font color=#FF8C00>ENG:</font> house in the field
quta	<font color=red>CHP:</font> jochi\n<font color=#2E8B57>ESP:</font> laguna\n<font color=#FF8C00>ENG:</font> small lake, pond
unkhayllu	<font color=red>CHP:</font> joka\n<font color=#2E8B57>ESP:</font> pato, jerga\n<font color=#FF8C00>ENG:</font> a small duck
jälla, ukhamawa	<font color=red>CHP:</font> joo\n<font color=#2E8B57>ESP:</font> ¡así es!\n<font color=#FF8C00>ENG:</font> is that right?, you don't say?
jä, jan sasmati	<font color=red>CHP:</font> joo\n<font color=#2E8B57>ESP:</font> ¡no me diga!, ¡cómo es posible! (sorpresa)\n<font color=#FF8C00>ENG:</font> that's impossible! (surprise)
qatatiña	<font color=red>CHP:</font> joocan\n<font color=#2E8B57>ESP:</font> arrastrar sin notar\n<font color=#FF8C00>ENG:</font> to drag without noticing
apaña	<font color=red>CHP:</font> joocan\n<font color=#2E8B57>ESP:</font> llevar de la mano\n<font color=#FF8C00>ENG:</font> to take by the hand
warkhantata, lip'jata	<font color=red>CHP:</font> joochi\n<font color=#2E8B57>ESP:</font> colgado, prendido\n<font color=#FF8C00>ENG:</font> hung
qatattwa	<font color=red>CHP:</font> joochinc̈ha\n<font color=#2E8B57>ESP:</font> arrastrado\n<font color=#FF8C00>ENG:</font> dragged/pulled
apnaqaña	<font color=red>CHP:</font> joojooz\n<font color=#2E8B57>ESP:</font> manejar\n<font color=#FF8C00>ENG:</font> to handle
apsuña	<font color=red>CHP:</font> joozincha\n<font color=#2E8B57>ESP:</font> sacado\n<font color=#FF8C00>ENG:</font> taken out, recovered
arnaqaña	<font color=red>CHP:</font> jorjoranzquic̈ha\n<font color=#2E8B57>ESP:</font> estar tronando\n<font color=#FF8C00>ENG:</font> to thunder
arnaqiri	<font color=red>CHP:</font> jorjorñi\n<font color=#2E8B57>ESP:</font> trueno\n<font color=#FF8C00>ENG:</font> thunder
t'unqhuri	<font color=red>CHP:</font> jork'oto\n<font color=#2E8B57>ESP:</font> manzana de Adán\n<font color=#FF8C00>ENG:</font> Adam's apple
amallu	<font color=red>CHP:</font> jork'oto\n<font color=#2E8B57>ESP:</font> tumor en el cuello\n<font color=#FF8C00>ENG:</font> tumor in the neck
wila juyra	<font color=red>CHP:</font> jorok'otu\n<font color=#2E8B57>ESP:</font> quinua roja\n<font color=#FF8C00>ENG:</font> red quinua
wallqa	<font color=red>CHP:</font> jorquiz̈a\n<font color=#2E8B57>ESP:</font> collar\n<font color=#FF8C00>ENG:</font> necklace
t'ullu	<font color=red>CHP:</font> jort'ullu\n<font color=#2E8B57>ESP:</font> tráquea\n<font color=#FF8C00>ENG:</font> trachea
chhikhattaña	<font color=red>CHP:</font> jorz\n<font color=#2E8B57>ESP:</font> extender (hilo)\n<font color=#FF8C00>ENG:</font> to extend thread
q'ixuña	<font color=red>CHP:</font> jorz̈\n<font color=#2E8B57>ESP:</font> tronar de lejos\n<font color=#FF8C00>ENG:</font> to thunder far away
ña	<font color=red>CHP:</font> josi\n<font color=#2E8B57>ESP:</font> casi\n<font color=#FF8C00>ENG:</font> almost
ñapini	<font color=red>CHP:</font> josipan\n<font color=#2E8B57>ESP:</font> casi no más\n<font color=#FF8C00>ENG:</font> almost (more emphatic)
lansuña	<font color=red>CHP:</font> jotz\n<font color=#2E8B57>ESP:</font> vomitar\n<font color=#FF8C00>ENG:</font> to vomit
juk'anti	<font color=red>CHP:</font> juc'anti\n<font color=#2E8B57>ESP:</font> peor\n<font color=#FF8C00>ENG:</font> worse
juk'anti	<font color=red>CHP:</font> juc'anti\n<font color=#2E8B57>ESP:</font> mucho\n<font color=#FF8C00>ENG:</font> a lot of
juku	<font color=red>CHP:</font> jucu\n<font color=#2E8B57>ESP:</font> buho\n<font color=#FF8C00>ENG:</font> a large owl
q'untasiña	<font color=red>CHP:</font> julz\n<font color=#2E8B57>ESP:</font> sentarse\n<font color=#FF8C00>ENG:</font> to sit down
aptapiña, tantaña	<font color=red>CHP:</font> juntantiz\n<font color=#2E8B57>ESP:</font> reunir\n<font color=#FF8C00>ENG:</font> to gather
tantasiña	<font color=red>CHP:</font> juntaz\n<font color=#2E8B57>ESP:</font> reunirse\n<font color=#FF8C00>ENG:</font> to meet
juntaña	<font color=red>CHP:</font> juntiz\n<font color=#2E8B57>ESP:</font> recoger, juntar\n<font color=#FF8C00>ENG:</font> to gather, to assemble
uka patana	<font color=red>CHP:</font> juntuñ\n<font color=#2E8B57>ESP:</font> encima, sobre\n<font color=#FF8C00>ENG:</font> on top of, above
juñi	<font color=red>CHP:</font> juñi\n<font color=#2E8B57>ESP:</font> madeja de lana\n<font color=#FF8C00>ENG:</font> skein of yarn/wool
juk'a umallaniki jawira	<font color=red>CHP:</font> juñi\n<font color=#2E8B57>ESP:</font> rio con poca agua\n<font color=#FF8C00>ENG:</font> shallow river, stream
qhuchi	<font color=red>CHP:</font> juñilla\n<font color=#2E8B57>ESP:</font> charco de agua\n<font color=#FF8C00>ENG:</font> pool of water
patanpini	<font color=red>CHP:</font> juñtunkaz\n<font color=#2E8B57>ESP:</font> encima no más\n<font color=#FF8C00>ENG:</font> only on top (more emphatic)
jura	<font color=red>CHP:</font> jura\n<font color=#2E8B57>ESP:</font> oveja de dos años\n<font color=#FF8C00>ENG:</font> two year old sheep
juramintu	<font color=red>CHP:</font> juramintu\n<font color=#2E8B57>ESP:</font> juramento\n<font color=#FF8C00>ENG:</font> oath
wurarura	<font color=red>CHP:</font> juratura\n<font color=#2E8B57>ESP:</font> borrador\n<font color=#FF8C00>ENG:</font> eraser
jurmala	<font color=red>CHP:</font> jurmali\n<font color=#2E8B57>ESP:</font> formal\n<font color=#FF8C00>ENG:</font> formal
jurmaña	<font color=red>CHP:</font> jurmaz\n<font color=#2E8B57>ESP:</font> formar\n<font color=#FF8C00>ENG:</font> to form
jurnu	<font color=red>CHP:</font> jurnu\n<font color=#2E8B57>ESP:</font> horno\n<font color=#FF8C00>ENG:</font> oven
juruna	<font color=red>CHP:</font> juruna\n<font color=#2E8B57>ESP:</font> hurón\n<font color=#FF8C00>ENG:</font> ferret
aptapiña	<font color=red>CHP:</font> jurz\n<font color=#2E8B57>ESP:</font> recoger\n<font color=#FF8C00>ENG:</font> to gather (by scraping together)
wursuña	<font color=red>CHP:</font> jurz\n<font color=#2E8B57>ESP:</font> borrar\n<font color=#FF8C00>ENG:</font> to erase
samaña, juri	<font color=red>CHP:</font> juuri\n<font color=#2E8B57>ESP:</font> vapor\n<font color=#FF8C00>ENG:</font> steam, vapor, breath in winter
juriyaña	<font color=red>CHP:</font> juuriz\n<font color=#2E8B57>ESP:</font> hacer vapor\n<font color=#FF8C00>ENG:</font> to steam
juywisa	<font color=red>CHP:</font> juuz\n<font color=#2E8B57>ESP:</font> jueves\n<font color=#FF8C00>ENG:</font> Thursday
juwisa	<font color=red>CHP:</font> juyza\n<font color=#2E8B57>ESP:</font> juez\n<font color=#FF8C00>ENG:</font> judge
juyshu	<font color=red>CHP:</font> juyzu\n<font color=#2E8B57>ESP:</font> juicio\n<font color=#FF8C00>ENG:</font> judgment
yustaña, munaña	<font color=red>CHP:</font> juztaz\n<font color=#2E8B57>ESP:</font> gustar\n<font color=#FF8C00>ENG:</font> to like
anch (manq'a) munaña	<font color=red>CHP:</font> juztaz c̈heri = amantaz\n<font color=#2E8B57>ESP:</font> gustar mucho (comida)\n<font color=#FF8C00>ENG:</font> to greatly enjoy (food)
suma sumaki	<font color=red>CHP:</font> juzturu\n<font color=#2E8B57>ESP:</font> tranquilamente\n<font color=#FF8C00>ENG:</font> calmly, slowly
awllaña	<font color=red>CHP:</font> jwakz\n<font color=#2E8B57>ESP:</font> aullar\n<font color=#FF8C00>ENG:</font> to howl
qarwa	<font color=red>CHP:</font> jwala\n<font color=#2E8B57>ESP:</font> llama\n<font color=#FF8C00>ENG:</font> llama
khuyt'aña	<font color=red>CHP:</font> jweranz\n<font color=#2E8B57>ESP:</font> envolver con pita o lazo\n<font color=#FF8C00>ENG:</font> to wrap with rope or string
jarartapisiña	<font color=red>CHP:</font> jwers\n<font color=#2E8B57>ESP:</font> desamarrarse\n<font color=#FF8C00>ENG:</font> to become untied
chinuraña	<font color=red>CHP:</font> jwerz\n<font color=#2E8B57>ESP:</font> amarrar\n<font color=#FF8C00>ENG:</font> to tie
apsuña	<font color=red>CHP:</font> jwes\n<font color=#2E8B57>ESP:</font> sacar\n<font color=#FF8C00>ENG:</font> to take out
wawa uywaña	<font color=red>CHP:</font> jwes\n<font color=#2E8B57>ESP:</font> criar niños\n<font color=#FF8C00>ENG:</font> to raise children
alliña	<font color=red>CHP:</font> jwetz\n<font color=#2E8B57>ESP:</font> cavar\n<font color=#FF8C00>ENG:</font> to dig
chhullchha	<font color=red>CHP:</font> jwiipi\n<font color=#2E8B57>ESP:</font> llovizna\n<font color=#FF8C00>ENG:</font> drizzle
qaquña	<font color=red>CHP:</font> jwijtz\n<font color=#2E8B57>ESP:</font> frotar\n<font color=#FF8C00>ENG:</font> to rub
arichaña	<font color=red>CHP:</font> jwijtz\n<font color=#2E8B57>ESP:</font> escribir puntos, sacar punta\n<font color=#FF8C00>ENG:</font> to write dots, to sharpen
jachiri, q'asiri	<font color=red>CHP:</font> kaakaañi\n<font color=#2E8B57>ESP:</font> llorón\n<font color=#FF8C00>ENG:</font> crybaby
qäna	<font color=red>CHP:</font> kaana\n<font color=#2E8B57>ESP:</font> montón de cereales\n<font color=#FF8C00>ENG:</font> pile of cereals/grains
ch'uqi	<font color=red>CHP:</font> kaata\n<font color=#2E8B57>ESP:</font> crudo\n<font color=#FF8C00>ENG:</font> raw
jachaña	<font color=red>CHP:</font> kaaz\n<font color=#2E8B57>ESP:</font> llorar\n<font color=#FF8C00>ENG:</font> to cry, to weep
apaña, ichuña, aptaña	<font color=red>CHP:</font> kaaz\n<font color=#2E8B57>ESP:</font> alzar y llevar\n<font color=#FF8C00>ENG:</font> to lift and carry
manu	<font color=red>CHP:</font> kajja\n<font color=#2E8B57>ESP:</font> deuda\n<font color=#FF8C00>ENG:</font> debt
markar kutiña	<font color=red>CHP:</font> kajkz\n<font color=#2E8B57>ESP:</font> volver al pueblo después del trabajo en el campo\n<font color=#FF8C00>ENG:</font> to return to the village after working in the fields
pasaña	<font color=red>CHP:</font> kajkz\n<font color=#2E8B57>ESP:</font> pasar un río\n<font color=#FF8C00>ENG:</font> to cross a river
qhipa mara	<font color=red>CHP:</font> kajma\n<font color=#2E8B57>ESP:</font> el próximo año\n<font color=#FF8C00>ENG:</font> next year
